评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
6.4, 印度, 希达·阿南德 / 阿迪提亚·乔普拉 / 什里达·拉加万 / 阿巴斯·特里瓦拉, 154分钟,2218, 希达·阿南德, 动作 / 惊悚, The battle of Bollywood / Batalla de los machos en Bollywood, 印地语 / 泰米尔语 / 泰卢固语 / 西班牙语 / 法语 / 俄语 / 英语 / 日语 / 希伯来语 / 阿拉伯语, tt7430722, 2019-10-02(印度),宝莱坞双雄之战, 赫里尼克·罗斯汉 / 泰戈·什罗夫 / 瓦妮·卡普尔 / 阿舒托史.拉纳 / 阿努普瑞雅·戈恩卡 / 亚什·拉杰·辛格 / 马什霍尔·阿姆罗希 / 桑吉耶夫·瓦萨 / 迪帕尼塔·夏尔玛 / 索妮·拉兹丹 / 阿里夫·扎卡里亚 / 阿米特·高尔 / 伊姆兰·艾哈迈德 / 沙巴兹·阿克萨 / 纳吉姆丁·哈达德 / 蒂希塔·塞加尔 / 陈大卫 / 托雷尔·文森
7.0, 美国 / 印度, Manjari Makijany / Vinati Makijany, 109分钟,1065, Manjari Makijany, 剧情 / 运动, Desert Dolphin, 英语 / 印地语, tt6964940, 2021-06-11(印度),滑板女孩, 阿姆里特·马赫拉 / 瓦希达·拉赫曼 / Rachel Saanchita Gupta / 阿努拉格·阿罗拉 / Jonathan Readwin / 凯姆利什·吉尔 / Vinayak Gupta / 斯沃蒂·达斯 / Janthavy Norton / Sahidur Rahaman / Anish Christopher Kevin / Shafin Patel / Shraddha Gaikwad / Ankit Rao / Ambarish Saxena
6.4, 印度, Trivikram Srinivas, 145分钟,2144, Trivikram Srinivas, 动作, 天翻地富 / 逆袭人生 / “产”权所有 / In Ala Vaikunthapurram / 版权所有 / All rights reserved, 泰卢固语, tt9537292, 2020-01-12(印度),调包富少的逆袭, 阿卢·阿尔军 / 普嘉·海婅 / 塔布 / 苏尼尔
6.3, 印度, 维杰耶德拉·普拉萨德 / 普拉松·乔希 / Himanshu Tripathi, 148分钟,557, Radha Krishna Jagarlamudi / 康格娜·拉瑙特, 剧情 / 传记 / 历史,, 印地语 / 泰米尔语 / 泰卢固语, tt6903440, 2019-01-25(印度),章西女王, 康格娜·拉瑙特 / 舒邦特拉·森 / 丹尼·邓宗帕 / 库尔布尚·卡尔班达 / 穆罕默德·齐尚·艾布 / 印德拉妮·查克拉博迪 / Edward Sonnenblick / Anil George / 阿图尔·库尔卡尼 / Ankita Lokhande / R. Bhakti Klein / Richard Keep / 纳尼什·尼尔 / Vikram Kochhar / Suparna Marwah / 基舒·森古普多 / Vaibbhav Tatwawdi / 拉姆·戈帕尔·巴贾杰
, 法国 / 印度, Payal Kapadia, 97分钟,, Payal Kapadia, 纪录片,, 印地语 / 孟加拉语, tt14812784, 2022-05(台湾国际纪录片影展),无知之夜, Bhumisuta Das
, 印度, Charudutt Acharya / Rohan Sippy,,, Vinay Waikul, 剧情 / 悬疑 / 惊悚 / 犯罪, 山林疑案, 印地语, tt14167344,,罪恶山林, Saurav Khurana / 莱薇娜·谭登 / 阿舒托史.拉纳 / 帕拉姆巴拉塔·查特吉 / 萨基尔·侯赛因 / 因德兰尼尔·森古普多
5.8, 印度, Vivek Soni / Aarsh Vora, 105分钟,152, Vivek Soni, 喜剧 / 爱情,, 印地语, tt13529034, 2021-11-05(印度),单身夫妻, 桑亚·玛荷塔 / 阿布希曼努·达萨尼 / Trishaan / Purnendu Bhattacharya
7.8, 印度, 卡努·贝尔 / 夏兰特·卡塔里亚, 112分钟,1201, 卡努·贝尔, 剧情 / 动作 / 惊悚, Butterfly / 破茧成蝶, 印地语 Hindi, tt3019620, 2014-05-20(戛纳电影节),蝴蝶, 兰维尔·肖里 / Shashank Arora / Shivani Raghuvanshi
, 印度,,,, Shoojit Sircar, 剧情 / 动作 / 历史 / 冒险, 刺杀英国总督的锡克复仇者, 印地语 / 英语, tt10280296, 2020-10-02(印度),印度刺客：萨达尔·辛格, 维杰·卡沙尔 / 斯蒂芬·霍根 / 芭妮塔·桑德胡 / 蒂姆·贝灵顿 / 马克·林伍德 / 萨曼莎·雷德福
5.8, 印度, Sanchit Bedre / Vidhi Ghodgaonkar / Yunus Sajawal / 法尔哈德 / 罗希特·谢迪, 145分钟,138, 罗希特·谢迪, 动作 / 惊悚 / 犯罪, 孟买特警, 印地语, tt9531772, 2021-11-05(印度),反恐追缉令, 阿克谢·库玛尔 / 卡特莉娜·卡芙 / 兰维尔·辛格 / 阿贾耶·德乌干 / Palak Singh / 杰奇·史洛夫 / 古山·格罗维 / 尼基丁·迪尔 / 贾维德·杰弗里 / Amritpal Singh / Aarushi Sharma / Niharica Raizada / 维万·巴特那 / Sikandar Kher / 库玛·米什拉 / 沙棘·乔杜里 / 阿西夫·巴斯拉
6.9, 印度 india, 桑杰·里拉·彭萨里 / 西达尔特·辛格, 150分钟,1421, 桑杰·里拉·彭萨里, 剧情 / 爱情,, 印地语 hindi, tt2215477, 2013-11-15(印度),枪林弹雨中的爱情, 兰维尔·辛格 / 迪皮卡·帕度柯妮 / Krishna Singh Bisht / 苏普丽亚·帕塔克 / 维万·巴特那 / 瑞恰·查达 / Gulshan Devaiah / Sharad Kelkar / 贾米勒汗 / Raza Murad / Abhimanyu Singh / Pathak Supriya / Aanshul Trivedi
7.7, 印度, 阿巴斯·特里瓦拉 / Saket Chaudhary / 桑托什·斯万,,14123, 桑托什·斯万, 剧情 / 动作 / 爱情 / 历史 / 战争, 利剑红尘 / Ashoka the Great, 印地语, tt0249371, 2001-09-13(加拿大),阿育王, 沙鲁克·汗 / 卡琳娜·卡普尔 / 丹尼·邓宗帕 / 拉胡尔.戴夫 / 瑞莎塔·布哈特 / Gerson Da Cunha
6.3, 美国 / 澳大利亚 / 加拿大 / 印度, 特里·鲁西奥 / 埃里克·皮尔森 / 麦克思·鲍伦斯坦 / 迈克尔·道赫蒂 / 扎克·希尔兹, 113分钟,271146, 亚当·温加德, 动作 / 科幻 / 冒险, 金刚大战哥斯拉 / 哥吉拉大战金刚(台) / King Kong vs. Godzilla / GvK, 英语 / 美国手语, tt5034838, 2021-03-26(中国大陆) / 2021-03-24(中国台湾) / 2021-03-31(美国),哥斯拉大战金刚, 亚历山大·斯卡斯加德 / 米莉·波比·布朗 / 丽贝卡·豪尔 / 凯莉·霍特尔 / 布莱恩·泰里·亨利 / 小栗旬 / 艾莎·冈萨雷斯 / 朱利安·迪尼森 / 兰斯·莱迪克 / 凯尔·钱德勒 / 德米安·比齐尔 / 哈基姆·凯-卡西姆 / 钱信伊 / 约翰·皮鲁切洛 / 克里斯·乔克 / 康兰·卡萨尔 / 布拉德·麦克默里 / 本杰明·里格比 / 普里西拉·道伊西 / 戴维·卡斯蒂洛 / 吉姆·帕尔默 / 柯蒂斯·布什 / 皮拉·福德 / 爱丽丝·兰斯伯里 / 肖恩·麦克布莱德 / 乔尔·皮尔斯 / 乔恩·奎斯蒂德 / 塔斯尼姆·罗克 / 艾梅伯·瓦尔斯 / 迪索·拉莫斯
, 印度, Atlee Kumar / 维杰耶德拉·普拉萨德 / Ramanagirivasan, 172分钟,, Atlee Kumar, 动作 / 惊悚, 魔鬼医联盟 / 五卢比医生 / Mersal / Vijay 61, 泰米尔语 / 泰卢固语, tt6485666, 2019(中国大陆) / 2017-10-18(印度),魔医联盟, 维杰 / S.J. Surya / 卡加·艾嘉 / 萨曼莎·鲁斯·帕布 / Nithya Menon / Vadivelu / 柯维伊·萨拉拉 / Sathyan / Rajendran / 约吉·巴布 / 萨嘉拉吉
9.6, 印度,,,4360, 萨蒂亚吉特·巴特卡尔, 纪录片 / 脱口秀, 真理战胜一切 / Truth Alone Prevails, 北印度语, tt2360717,,真相访谈 第一季, 阿米尔·汗
6.7, 印度, 普拉卡什·卡帕迪亚 / 桑杰·里拉·彭萨里, 164分钟,2465, 桑杰·里拉·彭萨里, 剧情 / 爱情 / 历史, 帕德玛瓦蒂：爱无所惧(台) / 帕德玛瓦蒂王后 / 帕德玛瓦蒂 / Rani Padmavati, 印地语, tt5935704, 2018-01-25(印度),印度艳后, 迪皮卡·帕度柯妮 / 阿努普瑞雅·戈恩卡 / 兰维尔·辛格 / 沙希德·卡普尔 / 阿娣提·拉奥·希达里 / 吉姆·萨伯 / 拉萨·默拉德 / 夏恩·辛格 / 曼吉特·辛格 / 帕德曼瓦蒂·拉奥
7.6, 印度, 阿皮谢克·卡普尔 / Kanika Dhillon,,80, 阿皮谢克·卡普尔, 剧情 / 爱情, केदारनाथ / কেদারনাথ, 印地语, tt7027278, 2018-12-07(印度),凯达尔纳特, 苏尚特·辛格·拉吉普特 / Sara Ali Khan / Nitish Bharadwaj / 阿尔卡·阿明 Alka Amin / 索纳利·萨查德夫 / Pooja Gor / Nishant Dahiya / Tarun Gahlot / Mir Sarwar
6.9, 印度, Bhavesh Mandalia / Gaurav Shukla / Vinay Chhawal / Sara Bodinar, 145分钟,2488, Homi Adajania, 剧情 / 喜剧, English Medium, 印地语, tt8907986, 2020-03-13(印度),起跑线2, 伊尔凡·可汗 / 卡琳娜·卡普尔 / Radhika Madan / 迪帕克·迪布里亚尔 / 迪宝·卡帕蒂娅 / 兰维尔·肖里 / 潘卡·特里帕蒂 / Kiku Sharda / 蒂洛塔玛·索姆 / 萨基尔·侯赛因 / 梅娜·马里克 / 马努·里希·查达 / Poorvi Jain / Myrah Dandekar / Manish Gandhi / 马克·班宁顿 / 马诺伊·阿南德 / 蒂利亚纳·布克丽瓦 / 丹尼尔·厄根 / 李·尼古拉斯·哈里斯 / John Last / 希滕·珀泰尔 / 阿图尔·夏尔马
6.2, 印度, 吉里什·科赫利 / 安劳格·辛格, 150分钟,1282, 安劳格·辛格, 历史 / 战争, 橙黄色的头巾, 印地语, tt6264938, 2019-03-21(印度),凯萨里, 阿克谢·库玛尔 / 帕丽莱蒂·曹帕拉 / 苏文德·维奇 / 万什·巴德韦杰 / 苏密特·巴士兰 / 阿吉特·辛格 / 维维克·塞尼 / 马克·班宁顿
7.5, 印度,, 117分钟,390, 苏妮·塔拉普莱瓦拉, 剧情,, 印地语, tt10230436, 2020-02-21(荷兰),欧耶芭蕾, 朱利安·山德斯 / Danish Husain / 希巴·沙阿 / 萨拉·简·迪亚斯 / Vijay Maurya / 拉胡尔·康纳 / Achintya Bose / Manish Chauhan / Sasha Shetty / Kalyani Mulay / Nizamuddin Shah / 博曼·伊拉尼 / Mekhola Bose / Purva Bharve
