评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
8.5, 中国香港, 罗维 / 倪匡, 102分钟,37346, 罗维, 剧情 / 动作 / 爱情 / 惊悚, Fist of Fury, 粤语 / 英语, tt0068767, 1972-03-22,精武门, 李小龙 / 苗可秀 / 田俊 / 田丰
8.1, 中国香港, 张华标 / 朱镜祺,,25994, 刘仕裕, 剧情 / 喜剧 / 动作 / 奇幻 / 古装, 云海翻腾孙悟空 / 西游记2 / Journey to the West II, 粤语, tt3530256,,天地争霸美猴王, 陈浩民 / 江华 / 黎耀祥 / 麦长青
7.3, 中国香港 / 中国大陆, 杜致朗, 107分钟,80389, 周显扬, 剧情 / 动作 / 悬疑 / 惊悚 / 犯罪, Night Fall / Nightfall, 粤语 / 英语 / 汉语普通话, tt2171993, 2012-03-15(中国香港/中国大陆),大追捕, 张家辉 / 任达华 / 王敏德 / 文咏珊 / 谢安琪 / 余安安 / 张国强 / 骆应钧 / 洪卓立 / 窦骁 / 田壮壮 / 刘家辉 / 恭硕良 / 卢惠光
5.9, 中国大陆 / 中国香港, 黄浩华 / 林德禄, 95分钟,65487, 林德禄, 剧情 / 犯罪, Z风暴2 / S Storm, 汉语普通话 / 粤语, tt5998744, 2016-09-14(中国大陆),反贪风暴2, 古天乐 / 张智霖 / 周渝民 / 蔡少芬 / 林保怡 / 卢海鹏 / 石修 / 曾志伟 / 陈静 / 曾国祥 / 夏嫣 / 张松枝 / 姜皓文 / 蔡洁 / 欧锦棠 / 徐靖雯 / 宋海颉 / 陈宇琛 / 陆骏光 / 李忠希 / 张同祖 / 郑敬基 / 郭锋 / 尹子维
8.3, 美国 / 中国香港, Michael Allin, 102分钟,25509, 罗伯特·高洛斯, 动作 / 犯罪,, 英语 / 粤语, tt0070034, 1973-07-26,龙争虎斗, 李小龙 / 石坚 / 茅瑛 / 约翰·萨克松 / 吉米·凯利 / 安娜卡普莉 / 罗伯特·沃尔 / 钟玲玲 / 杨斯 / Peter Archer / 郝履仁 / 玛琳·克拉克 / 乔宏 / 洪金宝 / 成龙 / 元华
8.4, 中国香港, 阮世生 / 陈可辛 / 李志毅 / 陈宝华 / 许愿 / 许月珍 / 奚仲文 / 张国荣, 107分钟,86959, 陈可辛, 喜剧 / 爱情 / 同性," He's a Woman, She's a Man", 粤语, tt0109958, 1994-07-23(中国香港),金枝玉叶, 袁咏仪 / 张国荣 / 刘嘉玲 / 陈小春 / 曾志伟 / 罗家英 / 林晓峰 / 郑丹瑞
6.6, 中国大陆 / 中国香港, 张家鲁, 123分钟,255691, 徐克, 动作 / 悬疑 / 古装, 通天神探狄仁杰 / Detective Dee and the Mystery of the Phantom Flame, 汉语普通话 / 粤语, tt1123373, 2010-09-29(中国大陆) / 2010-09-05(威尼斯电影节),狄仁杰之通天帝国, 刘德华 / 刘嘉玲 / 李冰冰 / 梁家辉 / 邓超 / 泰迪·罗宾 / 吴耀汉 / 姚橹 / 刘金山 / 马今 / 秦焰 / 王德顺 / 赵家林 / 何晟铭 / 蒋燕鸣 / 黄信纲 / 陈晓 / 哈罗扬 / 符荷晴 / 徐楠 / 柴进 / 沈盈辛 / 姜倩 / 张家鲁 / 成红军 / 教学海 / 陆明 / 贾金虎 / 袁征兵
6.9, 中国香港 / 韩国, 成龙, 92分钟,7256, 成龙, 喜剧 / 动作, 笑拳(日) / The Fearless Hyena, 粤语, tt0079315, 1979-02-17,笑拳怪招, 成龙 / 田俊 / 李昆 / 石天 / 任世官 / 程天赐 / 韩鹰 / 金世玉 / 万里鹏 / 朱少华 / 江志平 / 徐沅 / 陈慧楼 / 马场 / 王耀 / 王圻生 / 何兴南
7.8, 中国香港, 阮继志 / 陈嘉上 / 陈建忠, 97分钟,176475, 陈嘉上, 喜剧, Fight Back to School II, 粤语, tt0105534, 1992-04-09(中国香港),逃学威龙2, 周星驰 / 张敏 / 吴孟达 / 朱茵 / 叶德娴 / 方保罗 / 周文健 / 柯受良 / 李丽蕊
7.4, 中国香港, 黄百鸣 / 李居明 / 郑忠泰 / 吴文辉 / 杨振耀, 91分钟,25013, 杜琪峰, 喜剧, 搭错爱情线 / The Eighth Happiness, 粤语, tt0094695, 1988-02-11(中国香港),八星报喜, 周润发 / 黄百鸣 / 张学友 / 钟楚红 / 郑裕玲 / 袁洁莹 / 冯宝宝 / 黄坤玄 / 李香琴 / 郑丹瑞
