评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
7.4, 泰国, Malai Choopiniji, 130分钟 / 184分钟(导演剪辑版),15482, M·L·蓬德菲尼普·杜瓦库, 剧情, Eternity, 泰语, tt1740482, 2010-09-16(泰国),永恒, 阿南达·爱华灵咸 / 赖拉·邦雅淑 / Daraneenuch Pothipithi / Penpetch Penkul
8.2, 泰国,,,2962, 纳塔彭·蒙空萨瓦, 剧情 / 喜剧," 不是同一个Tee / 同名不同Tee / I'm Tee, Me Too / 康惕家园", 泰语, tt13120790,,无可替代, 巴特潘·忽栓 / 钟朋·阿卢迪吉朋 / 林阳 / 提迪蓬·德查阿派坤 / 巴拉奇亚·鲁洛 / 皮拉瓦·山坡提拉 / 苏缇帕·空娜迪 / 拉芘莎拉·瑛特勒素 / 查恩雅·麦克洛里
7.9, 泰国, Panna Rittikrai / 普拉奇亚·平克尧, 108分钟,25687, 普拉奇亚·平克尧, 动作 / 犯罪, 盗佛线 / 拳王 / Ong-bak, 泰语 / 英语, tt0368909, 2003-01-21(泰国),拳霸, 托尼·贾 / 派特察泰·王卡姆劳 / 帕姆瓦瑞·尤德卡默尔
8.7, 泰国,,,7819, 巴卡夫·阿福·努婆法奈克, 爱情 / 同性, Our Skyy, 泰语, tt9578852,,我们的天空, 皮拉瓦·山坡提拉 / 巴拉奇亚·鲁洛 / 钟朋·阿卢迪吉朋 / 巴特潘·忽栓
7.8, 泰国, Mame,,7542, Pique Passawut Sukbua, 爱情 / 同性, TharnType the Series 2, 泰语,,,与爱同居2, 苏帕西·宗澈瓦 / 卡纳吾·翟彼帕塔纳朋 / 金纳·披吉·奥帕坤 / 王敏成 / 塔纳育特·达功塔亚 / 纳帕特·辛纳库安 / 纳塔德·库纳功奇亚
8.2, 泰国, Nuntawan Rungwongpanich,,14557, Chudapa Chantakett, 剧情 / 爱情, 魅力游戏 / Game Sanehha / Buang Sanae Ha / Game of Affection, 泰语,,,炽爱游戏, 娜塔玻·提米露克 / 吉拉宇·唐思苏克
8.3, 泰国, Mame, 92分钟,12582, Tee Sintanaparadee, 爱情 / 同性 / 家庭,, 泰语, tt13033542, 2020-01-29(泰国),与爱同居之永恒的爱, 苏帕西·宗澈瓦 / 卡纳吾·翟彼帕塔纳朋 / 坦纳永·王特拉库 / Ampha Phoosit / 金纳·披吉·奥帕坤 / 纳塔德·库纳功奇亚 / Kaprao Pongkorn Wongkrittiyarat / 纳帕特·辛纳库安 / Kokliang Parinya Angsanan / 甘锡弗·西罗拉塔纳帕尼 / 塔纳文·杜昂纳特 / 王敏成 / 塔纳育特·达功塔亚 / Usuki Ayuta / Khongkao Premsirinithikun / Mac Suthisak Akarapanuwittaya / Khawoat Natthapong Kanthathan
7.5, 泰国,,,29137, Songyos Sugmakanan, 剧情 / 恐怖, 鬼书友(港) / 我的幽灵朋友 / Dorm / Dek hor, 泰语, tt0495824, 2006-02-02,鬼宿舍, 查理·瑞纳 / 金塔拉·舒卡芭 / Sirachuch Chienthaworn
9.6, 泰国, 纳卢拜·库诺, 13min,3759, 纳卢拜·库诺 Naruebet Kuno, 喜剧 / 爱情 / 短片, อย่างอนดิเพื่อน กูไม่อยากเสียฟอร์มง้อ / NADAO x OPPO, 泰语,, 2021-01-31(泰国),I Don't Want to Lose Form, 普提蓬·阿萨拉塔纳功 / 克里特·安努艾德奇康 / 瓦奇拉坦蓬 / Tang Tawanwad Wanavit
7.1, 泰国, 编剧：Best Kittisak Kongka,,302, Jojo Tidakorn Pookaothong, 剧情 / 悬疑 / 同性 / 犯罪, 绝命玩家 / 绝命游戏 / 参与者 / 不能相信谁 / 别信任何人 / THE PLAYER, 泰语, tt13662312,,无人可信, 韦阿·森恩 / 吉拉迪·塔瓦翁 / 娜米妲·吉勒娜拉帕 / 瓦奇拉维·让维瓦 / 林阳 / 提娜丽·维拉瓦诺丹 / 郑壹飞 / 帕查娜·塔布彤 / 那瓦·蓬朴提岸 / 萨塔布·莱德克 / 塔纳本·万罗西力侬 / 丹斯·潘朋 / 纳彭·普洛姆苏万 / 苏珀·臣查罗恩 / 唐·杰克里特·阿马拉特
5.7, 美国,,,1260, 廖士涵 / 松田圣子 / Sittisiri Mongkolsiri / 埃里克·马蒂 / Billy Christian / Nicole Midori Woodford, 剧情 / 悬疑 / 恐怖, 民俗怪谈 / 新亚洲诡谈, 汉语普通话 / 日语 / 泰语 / 菲律宾语 / 印度尼西亚语 / 英语,,,亚洲怪谈 第二季, 宋芸桦 / 吴慷仁 / 森崎温 / 高桥春织 / 元冬树 / 木村多江 / 詹尼斯·奥普拉斯特 / Dolly de Leon / 莉迪亚·坎多 / 王欣 / 林明伦 / Ethan Ng Kai En
8.4, 泰国, 托萨风·利安堂 / 帕特·波尼蒂帕特 / 塔妮达·汉塔维瓦塔娜 / Sirada Tritruengtassana,,7711, Pat Boonnitipat, 剧情 / 悬疑 / 犯罪, 天才枪手 电视剧版 / Bad Genius The Series, 泰语, tt11542210,,天才枪手(剧版), 普莉恩皮察雅·克玛拉娜君 / 金杰特·瓦塔纳辛 / 帕瑞斯·因塔拉科玛亚苏特 / Sawanya Paisarnpayak / 阿帕西里·尼蒂巴 / 克劳迪娜·克雷格 / Tonhon Tantivatchakul / 威利·瑞格特·麦克托什 / 赛克赛特·唐通 / 萨达农·杜隆卡沃
7.0, 泰国, Mame,,5575, New Siwaj Sawatmaneekul, 爱情 / 同性, 不期而爱第二季 / Bangoen Rak 2 / Love By Chance 2 / A Chance to Love, 泰语, tt12928918,,不期而爱2, 王俊勇 / 洪天逸 / 林乐杰 / 陈瑞书 / 南思睿 / 周浩德 / 苏拉特·本朋沙瓦 / 萨曼莎·梅兰妮·蔻兹
7.6, 泰国, 罗宁·提姆 / 韦西·沙赞那庭, 99分钟,15269, 罗宁·提姆, 悬疑 / 惊悚 / 犯罪, 切割 / Slice, 泰语, tt1603807, 2009-10-22(泰国),致命切割, 亚瑞克·阿莫苏帕西瑞 / 桑塔亚·奇曼尼 / Jessica Pasaphan / 察猜·本班尼
, 中国香港 / 泰国, Puangsoi Aksornsawang / 诺塔彭·邦帕卡布 / 纳塔吾·彭皮里亚, 136分钟,, 纳塔吾·彭皮里亚, 剧情, วันสุดท้าย..ก่อนบายเธอ, 泰语, tt11508438, 2021-01-28(圣丹斯电影节) / 2022-02-10(泰国),一杯上路, 朋抔·里拉塔纳卡邹 / 纳塔拉·诺帕卢塔亚朋 / 茱蒂蒙·琼查容苏因 / 瓦尔蕾特·瓦帖儿 / Ploi Horwang / 斯拉潘·瓦塔纳金达 / 芮塔·彭安 / 刘艺 / Lissa Carandang-Sweeney / Daniel Hirsh / Georges Hilaire / Tracy Fisher / Luqman A. Agiya / John Cain / Alberto Fabbretti / John Richard Frey
7.4, 泰国, Jan Puchong Tuntisungwaragul,,1404, 艾卡斯特·泰叻他那, 剧情 / 悬疑 / 惊悚 / 恐怖 / 同性, A Time / อังคารคลุมโปง The Series / Angkaan Klumbpong / 午夜时刻, 泰语,,,诡谈星期二, 林阳 / 亚瑞克·阿莫苏帕西瑞 / 朱塔吾·帕塔拉刚普 / Taro Pongsatorn Jongwilas / 莎达农·巴伦茜雅嘉 / Sakuntala Teinpairoj / 普莉恩皮察雅·克玛拉娜君 / 玛茶榕·栓勒玛 / 艾丽莎·坤匡
7.7, 泰国, 班庄·比辛达拿刚 / 辰塔维·塔纳西维 / 侬特拉·孔旺, 130分钟,72963, 班庄·比辛达拿刚, 喜剧 / 爱情," 只爱陌生人 / 冬日恋爱 / 认识我，认识你 / 两心知 / Hello Stranger / Knowing Me, Knowing You", 泰语 / 韩语, tt1725995, 2010-08-19(泰国),你好，陌生人, 辰塔维·塔纳西维 / 能提妲·索彭 / 瓦拉缇雅·妮枯哈
6.5, 泰国, 皮查农·塔玛杰拉 / 卡洛堤·奈金塔隆 / 伊萨拉·纳迪, 96分钟,12223, 伊萨拉·纳迪 / 卡洛堤·奈金塔隆 / 皮查农·塔玛杰拉, 恐怖, 勾魂3点终(港) / 鬼三惊(台) / 凌晨三点3D / 3 A.M. 3D, 泰语, tt2563548, 2012-11-22(泰国),鬼三惊, 阿萍雅·萨库尔加伦苏 / 霍嘉丝·芝华顾 / 查克利·彦纳姆 / 雷·麦克唐纳 / 彼得·奈特
7.6, 泰国, 纳瓦彭·坦荣瓜塔纳利, 130分钟,9343, 纳瓦彭·坦荣瓜塔纳利, 剧情 / 喜剧 / 爱情,, 泰语, tt4964598, 2015-09-03(泰国),恋爱诊疗中, 桑尼·苏瓦美塔农 / 黛薇卡·霍内 / 班庄·比辛达拿刚 / 瓦尔蕾特·瓦帖儿 / 埃迪森·特斯利卡森 / 诺塔彭·邦帕卡布 / Torpong Chantabubpha
7.8, 泰国 / 法国, 阿彼察邦·韦拉斯哈古,,1549, 阿彼察邦·韦拉斯哈古, 剧情 / 爱情, 极乐森林 / Blissfully Yours, 泰语, tt0317171, 2002-10-09,祝福, Kanokporn Tongaram / Min Oo / 金吉拉·潘帕斯 / Sa-gnad Chaiyapan / Kanitpat Premkij / Jaruwan Techasatiern
