评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
6.8, 印度, 吉里什·科赫利 / 拉维·德耶瓦尔, 146分钟,92919, 拉维·德耶瓦尔, 剧情 / 犯罪, 复仇阿妈(港) / 母亲的告白(台), 印地语, tt5690142, 2019-05-10(中国大陆) / 2017-07-07(印度),一个母亲的复仇, 诗丽黛玮 / 阿克夏耶·坎纳 / 萨佳·阿里 / 阿德南·西德奎 / 纳瓦祖丁·席迪圭
7.5, 印度, 维杰耶德拉·普拉萨德 / S·S·拉贾穆里 / C·H·维杰·库马尔 / 阿贾·库马尔 / 马德汉·卡尔基 / 马努杰·芒塔希尔, 129分钟(中国大陆) / 159分钟,51748, S·S·拉贾穆里, 剧情 / 动作 / 奇幻,, 泰卢固语 / 泰米尔语 / 印地语 / 马拉雅拉姆语, tt2631186, 2016-07-22(中国大陆) / 2015-07-10(印度),巴霍巴利王：开端, 帕拉巴斯 / 拉纳·达格巴提 / 特曼娜·芭蒂亚 / 拉姆亚·克里希南 / 安努舒卡·谢蒂 / 纳赛尔 / 萨嘉拉吉 / 塔尼克拉·巴拉尼 / 苏迪普 / 罗希尼
7.1, 印度, 格丽玛 / 西达尔特·辛格, 155分钟 / 150分钟(中国大陆),96043, 什里·那拉扬·辛, 剧情 / 喜剧,, 印地语, tt5785170, 2018-06-08(中国大陆) / 2017-08-11(印度),厕所英雄, 阿克谢·库玛尔 / 阿努潘·凯尔 / 布米·佩德卡尔 / 拉杰什·沙玛 / 萨钦·克德卡 / 莎娜·可汗 / 迪韦严杜·沙玛
7.5, 印度, 奥库勒·查乌赫雷 / 西达夫·马贺拉 / 巴·哈达普 / 加内萨·潘德特, 120分钟 / 116分钟(中国大陆),87629, 西达夫·马贺拉, 剧情 / 喜剧, 我的破嗝Miss(港) / 我的嗝嗝老师(台) / 图雷特之爱, 印地语 / 英语, tt6588966, 2018-10-12(中国大陆) / 2018-03-23(印度),嗝嗝老师, 拉妮·玛克赫吉 / 内拉吉·卡比 / 萨钦 / 苏普丽雅·皮尔加卡尔 / 罗希特·萨拉夫 / 维克拉姆·戈克哈尔 / 雷伊·舒克拉 / 阿西夫·巴斯拉 / 加纳特·拉玛妮 / 侯赛因·达拉尔 / 伊万·罗德里格斯 / 坤纳·斯内德 / 哈许‧梅尔 / 什库马尔·苏布拉马尼亚姆
8.1, 印度, 毕查德·汉巴塔 / 阿什利·洛博, 128分钟,1014, 毕查德·汉巴塔, 剧情 / 惊悚, 一个周四, 印地语 Hindi, tt13028258, 2022-02-17(印度),星期四, 雅弥·郭德姆 / Karanvir Sharma / 阿图尔·库尔卡尼 / 内哈·迪胡皮阿 / 迪宝·卡帕蒂娅 / Kalyanee Mulay / Maya Sarao / Boloram Das / Sukesh Anand / Adi Irani
8.3, 印度 / 美国 / 英国, 莉娜·亚达夫 / 苏普拉蒂克·森, 116分钟,33621, 莉娜·亚达夫, 剧情,, 英语 / 印地语, tt3043252, 2015-09-12(多伦多电影节) / 2016-06-17(美国) / 2016-07-14(伦敦电影节) / 2016-09-23(印度),炙热, 阿迪勒·侯赛因 / 塔妮莎·查特吉 / 拉迪卡·艾普特 / 法如克·贾法尔 / 苏莉温.查瓦拉 / 萨米特·维亚斯
8.6, 印度,, 92分钟,699, 苏什米特·戈什 / 林图·托马斯, 纪录片,, 印地语, tt13630174, 2021-01-30(圣丹斯电影节),以火书写, Meera Devi / Shyamkali Devi / Suneeta Prajapati
8.3, 印度,,,297, Mari Selvaraj,, கர்ணன், 泰米尔语, tt11581174, 2021-04-09(印度),剑客卡南, 丹努什 / Lakshmi Priyaa Chandramouli / Gouri Kishan / Lal / 约吉·巴布 / Bikram Malati / Nataraja Subramanian / Rajisha Vijayan
8.4, 印度, Umesh Shukla / Bhavesh Mandalia, 125分钟,60871, Umesh Shukla, 剧情 / 喜剧, 噢，我的神啊, 印地语 / 英语, tt2283748, 2012-09-28(印度),偶滴神啊, 阿克谢·库玛尔 / 帕莱什·拉瓦尔 / 米特胡恩·查克拉博蒂 / 欧姆·普瑞 / 康柯纳·森·沙尔玛 / 索娜什·辛哈 / 普拉部·地伐 / 马赫什·曼杰瑞卡 / Govind Namdeo
7.6, 印度, Sudha Kongara / Shalini Ushadevi / Vijay Kumar / Aalif Surti / Ganeshaa, 149分钟,1369, Sudha Kongara, 剧情, Praise the Brave, 泰米尔语 / 印地语, tt10189514, 2020-11-12(印度),英勇赞曲, 苏利耶·西瓦库马 / 阿丘特·库马尔 / 帕莱什·拉瓦尔 / 纳那桑班丹 / Aparna Balamurali / Urvashi / Prakash Belawadi / Mohan Babu / Dan Dhanoa / Vinodhini Vaidynathan / Malini Sathappan / Kaali Venkat / Karunas / Vishalini / Vivek Prasanna / Krishnakumar
8.1, 印度, A·R·拉曼, 183分钟,97902, A.R.目虏古多斯, 剧情 / 动作 / 爱情 / 悬疑 / 惊悚, 凶心人在宝莱坞 / 宝莱坞记忆拼图, 北印度语, tt1166100, 2008-12-25(印度),未知死亡, 阿米尔·汗 / 缇努·阿南德 / 阿辛 / 吉雅·罕 / Pradeep Rawat / Riyaz Khan
7.0, 印度, 曼孔布·戈帕拉克里希南 / 马德汉·卡尔基 / C·H·维杰·库马尔 / 马努杰·芒塔希尔 / 维杰耶德拉·普拉萨德 / S·S·拉贾穆里, 167分钟 / 141分钟(中国大陆),46507, S·S·拉贾穆里, 剧情 / 动作 / 奇幻,, 泰卢固语 / 泰米尔语 / 印地语 / 马拉雅拉姆语, tt4849438, 2018-05-04(中国大陆) / 2017-04-28(印度),巴霍巴利王2：终结, 帕拉巴斯 / 拉纳·达格巴提 / 安努舒卡·谢蒂 / 特曼娜·芭蒂亚 / 萨伯拉杰 / 拉姆亚·克里希南 / 纳赛尔 / 萨嘉拉吉
7.5, 印度 / 瑞典, 米什·沙阿 / 阿德什·普拉萨德 / 拉希·阿尼尔·巴夫 / 安南·甘地 / 那拉扬·达尔普, 104分钟,12461, 拉希·阿尼尔·巴夫 / 安南·甘地 / 阿德什·普拉萨德, 剧情 / 惊悚 / 奇幻, 村魔(港) / 塔巴德魔神 / 女神的子宮 / 塔巴德村庄 / Tumbbad, 印地语, tt8239946, 2018-08-29(威尼斯电影节) / 2018-10-12(印度),塔巴德, 索姆·沙 / 田蒂·马舍 / 安妮塔·戴特 / 朗吉·查克拉博蒂 / 迪普克·达姆利
6.7, 印度, 阿沛·乔普拉 / 施热亚·简 / 尼基尔·麦罗特拉, 105分钟,26530, 阿沛·乔普拉, 悬疑 / 惊悚, 无巧不成书 / 天作凶杀案 / Coincidence, 印地语, tt6692354, 2019-10-25(中国大陆) / 2017-11-03(印度),天作谜案, 施坦·马洛萨 / 索娜什·辛哈 / 阿克夏耶·坎纳 / 曼迪拉·贝迪 / 希曼什·科赫利
