评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
7.3, 泰国 / 英国 / 法国 / 德国 / 西班牙 / 荷兰, 阿彼察邦·韦拉斯哈古, 114分钟,13120, 阿彼察邦·韦拉斯哈古, 剧情, 波米叔叔的前世今生(港/台) / 记忆前世的人 / 能召回前世的汶密叔叔 / 回忆前世的布米叔叔 / 记忆前世的怪叔叔 / Loong Boonmee raleuk chat / Uncle Boonmee Who Can Recall His Past Lives, 泰语 / 法语 / 老挝语, tt1588895, 2010-05-21(法国),能召回前世的布米叔叔, 萨那帕卡·塞塞玛 / 金吉拉·潘帕斯 / 萨卡达·卡温巴迪 / Natthakarn Aphaiwonk / 吉拉萨科·库尔宏 / Kanokporn Tongaram / 菲蒙克·查塔旺
7.5, 泰国, 戴宝拉·卡姆普梅尔, 86分钟,9796, 布朗尼·拉齐塞邦 / 尼亚达·苏达娜, 剧情 / 惊悚 / 恐怖, 细伟 / 利辉 / Zee-Oui, 泰语, tt0471977, 2004-10-28,食人狂魔, 段奕宏 / 察猜·本班尼
7.3, 泰国, Vanridee Pongsittisak / Nitis Napichayasutin / 巴域·普瑞克潘也 / 索分·沙达菲斯, 126分钟,31939, 班庄·比辛达拿刚 / 维苏特·普沃莱拉克斯 / 巴域·普瑞克潘也 / 颂裕·素玛戈南 / 柏德潘·王般, 恐怖, 鬼五虐 / 5条大路通阴间 / 鬼5虐 / 5 แพร่ง / Phobia 2, 泰语, tt1521846, 2009-09-09,鬼乱5, 吉拉育·拉翁马尼 / 雷·麦克唐纳 / 春蓬·塞皮塔克 / Apasiri Nitibhon / 翁韦德·答奴翁 / 甲差·扁威提 / 莎琳雷特·托马斯 / 查理·瑞纳 / 披拉猜·伦波 / 玛莎·华顿娜柏妮
8.4, 泰国, Mame,,30718, Tee Sintanaparadee, 爱情 / 同性, 真爱墨菲定律 / TharnType the Series เกลียดนักมาเป็นที่รักกันซะดีๆ / Tharn Type The Series, 泰语, tt11546860,,与爱同居, 苏帕西·宗澈瓦 / 卡纳吾·翟彼帕塔纳朋 / Kokliang Parinya Angsanan / 纳塔德·库纳功奇亚 / 金纳·披吉·奥帕坤 / Kenji Wasin Panunaporn / 王敏成 / 纳帕特·辛纳库安
7.9, 泰国,,,11789,, 剧情 / 爱情, Lhong Fai, 泰语, tt10899056,,火之迷恋, 平采娜·乐维瑟派布恩 / 玛茶榕·栓勒玛 / 朱塔吾·帕塔拉刚普 / 娜拉·帖努啪 / 帕同朋·任翟迪
7.2, 泰国, 辰塔维·塔纳西维 / 侬特拉·孔旺 / 班庄·比辛达拿刚, 107分钟,23536, 班庄·比辛达拿刚, 喜剧 / 爱情 / 惊悚, 吓鬼阿嫂(港) / 凄厉人妻(台) / 鬼妻的丈夫 / 鬼丈夫 / Pee Mak Phra Khanong / Pee Mak Phrakanong, 泰语, tt2776344, 2013-03-28(泰国),鬼夫, 马里奥·毛瑞尔 / 黛薇卡·霍内 / 查特朋·纳塔彭 / 邦沙敦·宗威拉克 / 威瓦特·康格拉斯里 / 坎塔帕特·帕姆潘帕查拉苏克 / 肖恩·金达科特
7.4, 泰国, 班庄·比辛达拿刚 / 柏德潘·王般 / Youngyooth Thongkonthun / Paween Purikitpanya, 111分钟,44086, 班庄·比辛达拿刚 / 柏德潘·王般 / Youngyooth Thongkonthun / Paween Purikitpanya, 剧情 / 悬疑 / 惊悚 / 恐怖, 鬼4虐 / 4条大路通阴间 / 鬼乱4 / See Prang, 泰语 / 英语, tt1292575, 2008-04-25,死神的十字路口, 赖拉·邦雅淑 / 玛妮娜·甘姆雯 / Apinya Sakuljaroensuk / Pongsatorn Jongwilak / Kantapat Permpoonpatcharasuk / 查特朋·纳塔彭
8.3, 泰国,,,1906,, 爱情 / 同性, 小可爱 / 别动，哥 / 大哥别动 / 甜心蜜恋 / 我的小甜心 / 可爱如你 / 我的小可爱 / Cutie Pie Series / Cutie Pie / นิ่งเฮีย, 泰语,,,甜心派, 李海海 / New Chawarin Perdpiriyawong / Yim Pharinyakorn Khansawa / 萨澜·鲁杰耶拉塔纳福拉潘 / 纳塔西特·尤阿瑞克西 / Tutor Koraphat Lamnoi / 纳坤·斯克瑞艾
6.8, 泰国, 纳瓦彭·坦荣瓜塔纳利, 114分钟,11603, 纳瓦彭·坦荣瓜塔纳利, 剧情, 时光机 / 无痛断舍离(港) / Happy Old Year / ไทม์แมชชีน, 泰语, tt11316824, 2021-06-18(中国大陆) / 2019-12-26(泰国),就爱断舍离, 茱蒂蒙·琼查容苏因 / 桑尼·苏瓦美塔农 / 萨里卡·塞思苏帕 / 阿帕西里·尼蒂巴
8.5, 泰国,,,1720,, 剧情 / 爱情 / 同性, The Best Story / 爱只一次 / ครั้งหนึ่งที่รัก The Best Story, 泰语,,,初心萌动, 亚南·翁 / 瓦纳拉特·拉萨梅拉特 / Bon Phongsakorn Lamprasert / Win Thanakom Minthananan / Prat Itthichaicharoen / Bever Patsapon Jansuppakitkun
8.5, 泰国, BitterSweet,,16247, ผดุง สมาจาร / พงศ์พิสิฐ บทศรี / Jane Botta, 剧情 / 爱情 / 同性, Sotus S The Series, 泰语, tt8403578,,一年生2, 巴拉奇亚·鲁洛 / 皮拉瓦·山坡提拉 / 吴俊 / 帕塔丹·詹金 / 西瓦科恩·勒尔科乔特 / 克里塔奈·阿萨普拉奇 / 坤查努·肯甘卡 / Oranicha Krinchai / 提迪蓬·德查阿派坤 / 琳·苏皖玛 / 娜帕诵·薇拉尤蒂莱 / 纳拉旦·楠布恩吉 / 普洛伊湘普·素帕莎 / 玛琳帕·希芮陂 / 纳查特·佳塔潘 / กิตติพงศ์ ทุมวิภาต / Suttatip Wutchaipradit / 格拉维·伯恩司里 / Nararak Jaibumrung / 彩拿甘· 阿旁苏提南 / 钟朋·阿卢迪吉朋 / 英迪倥·科奈查侬 / 纳塔瓦兰通·坎乔 / 巴特潘·忽栓
6.2, 泰国,,,226,, 爱情 / 同性, 爱要交换 / Club Friday The Series 9 爱一次还不至于死, 泰语,,,爱需要交换, 米提隆·班栓 / 匹萨努·尼萨库
8.8, 泰国,,,3690, 纳塔彭·蒙空萨瓦, 爱情 / 同性,, 泰语,,,爱情理论特别篇, 巴特潘·忽栓 / 钟朋·阿卢迪吉朋 / 那瓦·蓬朴提岸 / 辛纳拉·西里朋查瓦雷
8.4, 泰国, Mame,,29138, ศิวัจน์ สวัสดิ์มณีกุล, 爱情 / 同性, 爱，不期而遇 / Love by Chance, 泰语, tt8360326,,不期而爱, 黄明明 / 王俊勇 / 洪天逸 / 林乐杰 / 陈瑞书 / 南思睿 / 周浩德 / 陈智霆
5.7, 泰国, 瓦苏红·皮娅罗姆娜 / 托萨风·利安堂 / 巴域·普瑞克潘也 / 纳瓦彭·坦荣瓜塔纳利, 117分钟,2900, 巴域·普瑞克潘也, 剧情 / 惊悚 / 恐怖, 亡灵实验室 / 鬼魂实验室 / Ghost Lab, 泰语, tt13446126, 2021-05-26(泰国),猛鬼实验室, 朋抔·里拉塔纳卡邹 / 帕瑞斯·因塔拉科玛亚苏特 / 娜塔妮查·纳瓦塔纳瓦尼
8.6, 泰国,, 110分钟,58076, 威特查·戈杰乌 / 颂裕·素玛戈南 / 尼提瓦·塔拉吞 / 维塔亚·东俞扬 / 埃迪森·特斯利卡森 / 孔里特·契威摩, 喜剧 / 儿童, My Girl / Fan chan, 泰语, tt0399040, 2003-08-01(泰国),小情人, 查理·瑞纳 / 霍嘉丝·芝华顾 / Charwin Jitsomboon / 查卢彭·提坤朋提拉翁 / Wongsakorn Rassamitat
6.9, 泰国, Manow Waneepan Ounphoklang / Baitoey Thanaporn Petcharat,,4333, Koo Ekkasit Trakulkasemsuk, 喜剧 / 爱情, 46天 / 46 Days, 泰语, tt13660272,,46天婚礼大作战, 平采娜·乐维瑟派布恩 / 查侬·散顶腾古 / 钟朋·阿卢迪吉朋 / 娜帕拉·吉拉威宋誊功 / 瓦查拉·苏克丘姆 / 查澈威·德查拉朋 / 辛纳拉·西里朋查瓦雷 / 安比查娅·萨琼 / 阿披南·普拉瑟瓦塔纳坤 / Ployphach Phatchatorn Thanawat
7.5, 泰国 / 英国 / 法国 / 德国 / 马来西亚 / 韩国 / 墨西哥 / 美国 / 挪威, 阿彼察邦·韦拉斯哈古, 122分钟,4951, 阿彼察邦·韦拉斯哈古, 剧情, 爱在孔敬 / 浮華塚(港) / 华丽之墓(台) / Rak Ti Khon Kaen / Love In Khon Kaen / Cemetery of Splendour / Cemetery of Kings, 泰语, tt2818654, 2015-05-18(戛纳电影节),幻梦墓园, 金吉拉·潘帕斯 / 班罗普·洛罗伊
, 泰国,,,, Pongchaiphat Sethanand, 剧情 / 爱情 / 同性, 黑帮保镖 / 他客 / 黑道情人 / 龙裔双雄 / 卫爱而战 / 黑帮罗曼史 / 黑道少爷的保镖情人 / KinnPorsche The Series, 泰语,,,黑帮少爷爱上我, Mile Phakphum Romsaithong / Apo Nattawin Wattanagitiphat / Jeff Satur / Gameplay Garnpaphon  Laolerkiat / 林亦乐 / 塔纳育特·达功塔亚 / Us Nititorn Akkarachotsopon / Build Jakapan Puttha / 佩泰·松楚瓦 / 纳塔德·库纳功奇亚 / Job Yosatorn Konglikit / Nodt Nutthasid Panyangarm / JJ Chalach Tantijibul / Barcode Tinnasit Isarapongporn / Ping Touchchavit Kulkrachang / Ta Nannakun Pakapatpornpob / Pong Pongsakorn Ponsantigul / Thaweesak Alexander Thananan / Sprite Patteerat Laemluang / Blue Burin Utumpon / 纳帕·维凯伦罗 / 塔纳瓦特·斯里瓦塔纳功 / 松希·努诺卡空希 / 卡文帕特·塔纳西兰斯
5.0, 泰国,,,338, new, 爱情 / 同性, 谁的青春不乱爱第二季 / Gen Y 2 The Series, 泰语,,,歪爱时代第二季, 瓦拉丹·肯蒙达 / 帕努瓦·可通塔维 / 敦·朗姆帕 / 苏拉德·皮凌瓦 / Toranin Manosudprasit / Tanadech Deeseesuk / 塔纳科恩·库尔贾拉松巴特 / 塔纳朋·艾恩坤柴 / 塔纳迪普·斯里通苏克 / 杰萨达功·邦迪特
