评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
6.7, 中国大陆 / 中国台湾, 柴智屏 / 杨碧凤,,41272, 唐迪 / 林合隆, 爱情, Corner With Love, 汉语普通话, tt5850976,,转角遇到爱, 徐熙媛 / 罗志祥 / 陈至恺 / 姜超 / 路嘉欣 / 藤冈靛 / 庾澄庆 / 方芳 / 陈珮骐 / 黄鸿升 / 陈彦儒 / 张立威 / 瓦娜 / 范明 / 李晟 / 沈孟生 / 张瑞珈 / 肖剑
, 中国台湾, 王生善,,, 严俊, 动作, The Widow Takes Revenge, 汉语普通话, tt7177020, 1971-10-22(中国台湾),大地春雷, 李丽华 / 严俊 / 陈莎莉 / 魏苏 / 冯海 / 崔福生 / 郎雄 / 山茅 / 文逸民
8.4, 中国台湾, 张毅 / 萧飒, 120分钟,5631, 张毅, 剧情 / 家庭," Kuei-mei, a Woman", 汉语普通话, tt0092231, 1985-10-09(中国台湾),我这样过了一生, 杨惠姗 / 李立群 / 刘明 / 文英 / 英英 / 丁也恬 / 萧志文 / 吴敏 / 邵罗辉 / 胡翔评 / 罗条慧 / 周平 / 林正明 / 蔡瑟芬 / 陈显元 / 陈玉辉 / 庹宗康 / 罗文诚
6.5, 中国台湾, 王宥蓁,,32283, 冯凯, 剧情 / 爱情," Green Forest, My Home", 汉语普通话, tt12833142,,绿光森林, 刘品言 / 立威廉 / 阮经天 / 卜学亮 / 冯玮君
9.1, 美国 / 中国台湾 / 英国 / 加拿大, 扬·马特尔 / 大卫·麦基, 127分钟,1227189, 李安, 剧情 / 奇幻 / 冒险, 少年Pi的奇幻漂流 / 漂流少年Pi, 英语 / 泰米尔语 / 法语 / 日语 / 印地语 / 汉语普通话, tt0454876, 2012-11-22(中国大陆) / 2012-09-28(纽约电影节) / 2012-11-21(美国),少年派的奇幻漂流, 苏拉·沙玛 / 伊尔凡·可汗 / 拉菲·斯波 / 阿迪勒·侯赛因 / 塔布 / 阿尤什·坦东 / 加塔姆·贝鲁尔 / 阿彦·汗 / 穆德·阿巴斯·卡勒里 / 维比什·希瓦库玛 / 热拉尔·德帕迪约 / 詹姆斯·塞托 / 俊·奈托 / 安德里亚·迪·斯戴法诺 / 沙拉万提·塞纳特 / 王柏杰 / 柯一正 / 黄健玮
6.8, 中国台湾, 陈晓冰 / 曾维正,,19768, 李朝永, 爱情, 怀玉格格 / Princess Huai-yu, 汉语普通话,,,怀玉公主, 郑家榆 / 孙耀威 / 王皓 / 张凤书 / 于佳卉 / 施羽 / 杨宝玮 / 陈莎莉 / 林健寰 / 周召栋 / 黄维德 / 李欣 / 许文馨 / 刘克勉 / 高有伦 / 马惠珍 / 李艺民 / 李志坚 / 刘婉慈 / 陈志朋 / 阿雅
7.4, 中国台湾 / 中国大陆, 曾莉婷, 133分钟,78031, 钮承泽, 剧情 / 爱情 / 历史, Paradise in Service, 汉语普通话, tt4012914, 2014-09-05(中国台湾),军中乐园, 阮经天 / 万茜 / 陈意涵 / 陈建斌 / 王柏杰 / 苗可丽 / 陈道贤 / 洪胜德 / 吴志庆 / 廖启智 / 石知田
7.3, 中国台湾, 钟孟宏, 112 分钟,25755, 钟孟宏, 剧情, Parking, 台语 / 粤语 / 汉语普通话, tt1232827, 2008-11-28,停车, 张震 / 桂纶镁 / 戴立忍 / 杜汶泽 Chapman To / 高捷 / 纳豆 / 贾孝国 / 金士杰 / 曾珮瑜 / 庹宗华
6.9, 中国台湾 / 中国大陆, 曾莉婷 / 汪启楠 / 钮承泽, 128分钟(台湾) / 120分钟(中国大陆),221065, 钮承泽, 剧情 / 爱情, LOVE / Love, 汉语普通话, tt2202471, 2012-02-13(中国大陆) / 2012-02-10(中国台湾),爱, 舒淇 / 赵薇 Wei Zhao / 赵又廷 / 阮经天 / 陈意涵 / 郭采洁 / 彭于晏 / 钮承泽 / 龙劭华 / 于美人 / 康晋荣 / 王景春 / 林沐然 / 杨贵媚 / 丁强 / 李璇 / 小野 / 卜学亮 / 朱芷莹 / 张海燕 / 张家鲁 / 杜家毅 / 凤小岳 / 黄镫辉 / 蔡昌宪 / 陈汉典 / 陈玉勋 / 黄健和 / 邱彦翔 / 纪帅 / 邱德洋 / 林玟谊
5.6, 中国大陆 / 中国台湾 / 中国香港, 虞小卉 / 蔡岳勋 / 陈怡方, 126分钟(中国大陆) / 127分钟(台湾),51989, 蔡岳勋, 剧情 / 动作 / 犯罪,, 汉语普通话, tt3421246, 2014-10-01(中国大陆) / 2014-10-02(中国台湾),痞子英雄2：黎明升起, 赵又廷 / 林更新 / 黄渤 / 张钧甯 / 蔡岳勋 / 修杰楷 / 关颖 / 邹承恩 / 刘碧丽 / 古力娜扎
