评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
5.9, 中国大陆 / 中国香港, 张达明, 92分钟,15741, 邱礼涛, 喜剧 / 家庭, A Home with a View, 粤语, tt8443432, 2019-01-18(中国大陆),家和万事惊, 吴镇宇 / 古天乐 / 袁咏仪 / 张达明 / 吴肇轩 / 蔡颂思 / 黄秋生 / 林雪 / 郑丹瑞 / 卢海鹏 / 雷琛瑜 / 江美仪 / 麦长青 / 阮文泰 / 孔令令 / 梁山山 / 杨玉梅 / 谷德昭 / 利颖怡 / 李灿森 / 马蹄露 / 黄文慧 / 泰臣 / 胡枫 / 苑琼丹 / 杨诗敏 / 乔宝宝 / 庄思敏 / 王俊棠 / 刘浩龙 / 林子聪 / 陆永 / 郑诗君 / 余子明 / 徐浩昌 / 安德尊 / 杨偲泳 / 罗家英 / 郑欣宜 / 麦玲玲
5.8, 中国香港 / 中国大陆, 毕国智, 92分钟,24931, 毕国智, 动作 / 科幻 / 悬疑 / 犯罪, 控城计 / 空城计 / Control, 汉语普通话 / 粤语, tt2550112, 2013-11-22(中国大陆),控制, 吴彦祖 / 姚晨 / 任达华 / 戴立忍 / 安以轩 / 邵兵 / 惠英红 / 冯嘉怡 / 郝柏杰 / 王馨平 / 孙佳君
8.0, 中国香港, 刘镇伟 / 陈建忠 / 蔡康永, 106分钟,145937, 元奎, 喜剧 / 动作 / 武侠 / 古装, 功夫皇帝方世玉 / Fong Sai Yuk / The Legend, 粤语, tt0106936, 1993-03-04(中国香港),方世玉, 李连杰 / 萧芳芳 / 陈松勇 / 李嘉欣 / 胡慧中 / 赵文卓 / 朱江 / 郑少秋 / 郭涛 / 高西安 / 刘金山 / 俞立文 / 刘红梅 / 杨青 / 潘粤明
6.8, 中国香港, 邱礼涛 / 田彦二 / 黄爱生,,11238, 邱礼涛, 剧情 / 犯罪, On The Edge, 粤语, tt0845464, 2006-08-31,黑白道, 张家辉 / 黄秋生 / 吴镇宇 / 李彩桦 / 曾国祥 / 陈捷文
8.3, 中国香港, 钟玲, 125分钟 / 191分钟(国际剪辑版),8630, 胡金铨, 剧情 / 奇幻 / 古装, Legend of the Mountain, 汉语普通话, tt0079886, 1979-10-04(中国香港),山中传奇, 石隽 / 徐枫 / 张艾嘉 / 田丰 / 吴明才 / 佟林 / 徐彩虹 / 孙越
6.7, 中国香港 / 中国大陆, 尔冬升 / 秦天南 / 刘浩良, 117分钟,135410, 尔冬升, 动作 / 悬疑 / 惊悚, Triple Tap, 粤语 / 汉语普通话, tt1535495, 2010-07-02(中国大陆),枪王之王, 古天乐 / 吴彦祖 / 李冰冰 / 蔡卓妍 / 杜汶泽 Chapman To / 方中信 / 连凯 / 林雪 / 王敏德
7.7, 中国香港 / 中国大陆, 郭俊立 / 秦天南 / 陈嘉仪, 139 分钟,299542, 陈德森, 剧情 / 动作 / 历史, Bodyguards and Assassins, 汉语普通话 / 粤语 / 英语, tt1403130, 2009-12-18(中国大陆/中国香港),十月围城, 甄子丹 / 王学圻 / 梁家辉 / 胡军 / 王柏杰 / 谢霆锋 / 李宇春 / 巴特尔 / 黎明 / 范冰冰 / 曾志伟 / 任达华 / 周韵 / 张涵予 / 张学友 / 李嘉欣 / 吕中
6.9, 中国香港, 彭美凤 / 许嘉瑜,,1088, 吴冠宇, 喜剧 / 爱情, 坚离地对坚离地 / The Offliners, 粤语,,,坚离地爱坚离地, 张振朗 / 龚嘉欣 / 刘佩玥 / 陈智燊 / 康华 / 李国麟 / 吕珊 / 黄心颖 / 谢东闵 / 张明伟 / 何远东 / 方绍聪 / 胡枫 / 雪妮 / 丁子朗 / 吴嘉仪 / 秦启维 / 何伟业 / 裕美 / 容羨媛 / 陈婉婷 / 周志康 / 阮嘉敏 / 叶蒨文 / 卫志豪 / 谢芷伦 / 王致迪 / 唐嘉麟 / 伍乐怡 / 程皓 / 梁雯蔚 / 黃可盈 / 邱晴 / 胡美贻 / 刘桂芳 / 马蹄露 / 缪家庆 / 谢可逸 / 吴珮如 / 张雪莹 / 钟志光 / 罗梓龙 / 沈可欣 / 曾慧云 / 萧徽勇 / 莫伟文 / 祝文君 / 李君妍 / 温裕红 / 陈靖云 / 吴沚默
6.5, 中国大陆 / 中国香港, 秦天南 / 尔冬升 / 刘浩良, 128分钟,157728, 尔冬升, 剧情 / 喜剧 / 爱情 / 奇幻, The Great Magician, 汉语普通话 / 粤语, tt1869721, 2011-12-22(中国大陆) / 2012-01-12(中国香港),大魔术师, 梁朝伟 / 刘青云 / 周迅 / 闫妮 / 吴刚 / 方中信 / 秦沛 / 林雪 / 泽田谦也 / 王子文 / 王紫逸 / 吴彦祖 / 徐克 / 戎祥 / 陆剑明 / 江道海 / 谷德昭 / 吴廷烨
6.6, 中国香港, 欧健儿 / 游乃海, 95分钟,42738, 杜琪峰 / 罗永昌, 动作 / 犯罪, Running Out Of Time 2 / Am zin 2, 粤语, tt0295578, 2001-12-27(中国香港),暗战2, 郑伊健 / 刘青云 / 林熙蕾 / 许绍雄 / 林雪 / 黄卓玲 / 罗永昌
