评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
8.4, 印度, 拉吉库马尔·希拉尼 / 阿希贾特·乔希, 139分钟(中国大陆) / 153分钟(印度),341764, 拉吉库马尔·希拉尼, 喜剧 / 奇幻, 外星醉汉PK地球神 / 来自星星的傻瓜PK(台) / Peekay / P.K., 印地语 / 英语 / 乌尔都语, tt2338151, 2015-05-22(中国大陆) / 2014-12-19(印度),我的个神啊, 阿米尔·汗 / 安努舒卡·莎玛 / 桑杰·达特 / 博曼·伊拉尼 / 沙鲁巴·舒克拉 / 苏尚特·辛格·拉吉普特 / 帕里卡沙特.萨赫尼 / 阿马尔迪普·杰哈 / 瑞玛·德纳斯 / 迪伦德拉·德维韦迪 / 赛·甘德沃尔 / 拉姆·P·塞蒂
7.5, 印度, Utkarsh Naithani / Siddharth Kumar Tewary / Vinod Sharma,,264, Kamal Moonga / Sumit Thakur / Aviraj D.,, Shani / Karmphal data Shani,, tt8437668,,业果神娑尼, Salil Ankola / Juhi Parmar / Kartikey Malviya
8.8, 美国 / 南非 / 印度, 丹·吉尔罗伊 / Nico Soultanakis, 117分钟,103635, 塔西姆·辛, 剧情 / 喜剧 / 奇幻 / 冒险, 坠落 / 魔幻旅程 / 墜落天使 / 落下的国王, 英语 / 罗马尼亚语 / 拉丁语, tt0460791, 2006-09-09(多伦多电影节) / 2008-05-30(美国),坠入, 凯婷卡·安塔鲁 / 贾斯蒂恩·瓦戴尔 / 李·佩斯 / Kim Uylenbroek / Aiden Lithgow / 肖恩·吉尔德 / Ronald France / Andrew Roussouw / Michael Huff / 格兰特·斯旺比 / 埃米尔奥斯迪那 / 罗宾·史密斯 / Jeetu Verma / 里奥·比尔 / Marcus Wesley
8.9, 印度, 阿莫尔·古普特, 165分钟,185561, 阿米尔·汗, 剧情 / 家庭 / 儿童, 心中的小星星(台) / 每一个孩子都是特别的 / तारे ज़मीन पर / Like Stars on Earth, 印地语 / 英语, tt0986264, 2007-12-21(印度),地球上的星星, 达席尔·萨法瑞 / 阿米尔·汗 / 塔奈·切赫达 / 萨谢·英吉尼尔 / 蒂丝卡·乔普拉 / 维品·沙尔马 / 拉利塔·拉伊米 / 吉里贾·奥克 / 拉维·汗维尔卡尔 / 普拉蒂玛·库尔卡尼 / 梅娜·马里克 / 索纳利·萨查德夫 / 桑贾伊·达迪克 / 拉加·戈帕尔·耶尔 / 布格斯·巴尔加瓦 / 尚卡尔·萨查德夫 / M·K·拉伊纳
7.9, 印度, 萨基特·乔杜里 / 琪娜特·拉克哈尼 / 阿米托什·纳格庖, 132分钟 / 131分钟(中国大陆),199120, 萨基特·乔杜里, 剧情 / 喜剧, 人生起跑线(台) / 可怜天下父母心 / हिंदी, 印地语 / 英语, tt5764096, 2018-04-04(中国大陆) / 2017-05-19(印度),起跑线, 伊尔凡·可汗 / 萨巴·卡玛尔 / 内哈·迪胡皮阿 / 迪帕克·迪布里亚尔 / 蒂希塔·塞加尔 / 阿莫瑞塔·金格 / 蒂洛塔玛·索姆 / 桑贾娜·桑吉 / 拉杰什·沙玛 / 桑贾伊·萨里 / 玛丽卡·杜阿 / 基兰·寇杰 / 丹尼·苏拉 / 斯沃蒂·达斯 / 苏米特·古拉蒂
7.7, 印度, 阿德瓦·香登, 150分钟,392451, 阿德瓦·香登, 剧情 / 音乐, 秘密巨星 / 隐藏的大明星(台) / 打死不离歌星梦(港) / सीक्रेट सुपरस्टार, 印地语 / 英语, tt6108090, 2018-01-19(中国大陆) / 2017-10-18(印度),神秘巨星, 塞伊拉·沃西 / 梅·维贾 / 阿米尔·汗 / 拉杰·阿晶 / 提斯·沙马 / 卡比尔·谢赫 / 法如克·贾法尔 / 马努杰·沙玛 / 莫娜·安伯加卡尔 / 尼基塔·阿南德 / 尚 / 莫纳利·塔库尔
7.6, 印度, R·巴尔基 / 斯南德·柯克尔, 140分钟 / 134分钟(中国大陆),99785, R·巴尔基, 剧情 / 喜剧 / 传记, 护垫侠(台) / M巾侠(港) / 大姨夫(豆友译名), 印地语, tt7218518, 2018-12-14(中国大陆) / 2018-02-09(印度),印度合伙人, 阿克谢·库玛尔 / 拉迪卡·艾普特 / 索娜姆·卡普尔 / 乔蒂·苏巴 / 森尔·辛 / 阿米达普·巴强 / 雷·拉维
7.6, 印度 / 美国, 亚拉文·雅迪嘉 / 拉敏·巴哈尼, 125分钟,22202, 拉敏·巴哈尼, 剧情 / 犯罪, 白老虎, 英语, tt6571548, 2021-01-22(美国网络),白虎, 阿达什·古拉夫 / 佩丽冉卡·曹帕拉 / 拉吉·库玛 / 马赫什·曼杰瑞卡 / 维杰·莫里亚 / 斯瓦普·桑帕特 / 纳尼什·尼尔 / 凯姆利什·吉尔 / Paras Gola / Ansuman Bhagat / Lokesh Mittal / Perrie Kapernaros / Vedant Sinha / Trupti Khamkar / Abhishek Khandekar
8.3, 印度, Saeid Shahi / 吉图·乔瑟夫, 164分钟,5646, 吉图·乔瑟夫, 剧情 / 惊悚 / 犯罪, Visual / Drishyam, 马拉雅拉姆语 / 英语, tt3417422, 2013-12-19(印度),较量, 莫哈恩拉 / 米娜 / 阿莎·莎拉特 / 安西芭 / 艾丝特·阿妮尔 / Baiju V.K. / 卡拉巴万·沙约翰 / Siddique / Roshan Basheer / 尼拉吉·马达夫 / Pradeep Chandran / Kalabhavan Haneef / Irshad / Koottickal Jayachandran / Kunchan / 纳拉南·奈尔
7.3, 印度, Samruoddhi Porey / Rohan Shankar / Laxman Utekar, 132分钟,932, Laxman Utekar, 喜剧, 代孕风波 / 咪咪, 印地语, tt10895576, 2021-07-30(印度),如获至宝, Evelyn Edwards / 克里蒂·萨农 / Sai Tamhankar / 潘卡·特里帕蒂 / 艾丹·怀托克
