评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
6.3, 印度, 普里·贾加纳斯 / Vakkantham Vamsi, 157分钟,494, 罗希特·谢迪, 喜剧 / 动作,, 印地语, tt7212726, 2018-12-28(印度),辛巴, 兰维尔·辛格 / 阿贾耶·德乌干 / 阿明·阿卜杜勒·奎德 / 萨拉·阿里·汗 / 索努·苏德 / Suresh Oberoi / Siddarth Jadhav / Naushaad Abbas / 阿克谢·库玛尔
8.2, 印度, 萨蒂亚吉特·雷伊,,1042, 萨蒂亚吉特·雷伊, 剧情 / 音乐, The Music Room / Jalsaghar, 孟加拉语, tt0051792, 1958-10-10(印度),音乐室, Chhabi Biswas / Padmadevi / Pinaki Sengupta / Gangapada Basu
8.0, 印度, 纳西尔·侯赛因 / Sachin Bhowmick, 161 分钟,5245, 纳西尔·侯赛因, 喜剧 / 爱情 / 歌舞,, 北印度语, tt0066888, 1971,大篷车, 吉滕德拉 / 阿莎·帕雷克 / 阿鲁娜·伊拉尼
7.1, 美国 / 印度 / 阿联酋, 斯蒂文·奈特 / 理查德·C·莫莱斯, 122分钟,18226, 拉斯·霍尔斯道姆, 剧情, 美味不设限(台) / 米芝莲摘星奇缘(港) / 梦飨米其林, 英语 / 印地语 / 法语, tt2980648, 2014-08-08(美国),米其林情缘, 海伦·米伦 / 欧姆·普瑞 / 曼尼什·达亚尔 / 夏洛特·勒·邦 / 阿米特·沙阿 / 法尔扎纳·杜阿·鄂雷恩 / 米歇尔·布朗 / 克莱门特·史鲍尼 / 樊尚·埃尔巴兹 / 玖熹·查瓦拉
7.3, 印度, 帕特里克·格雷厄姆,,3616, 帕特里克·格雷厄姆, 剧情 / 科幻 / 恐怖 / 奇幻, 食尸鬼狱(台) / 恶鬼收押所(港), 印地语 / 英语, tt5909930,,恶鬼, 拉迪卡·艾普特 / 马纳夫·卡尔 / 罗希特·帕萨克 / 巴格兰巴里·辛格 / S.M.扎赫尔 / 马谢什·巴拉吉 / 拉塔纳巴利·巴塔查吉
8.0, 印度,, 168 分钟,4811, Kunal Kohli, 剧情 / 爱情 / 惊悚 / 歌舞,, 北印度语, tt0439662, 2006-05-26,为爱毁灭, Kajol / 阿米尔·汗 / Tabu
, 印度, Mihir Buta,,, Vaibhav Mutha / Gautam Nagrath,,, 印地语,,,太阳之子：迦尔纳, Aditya Redij
8.3, 印度, 阿迪提亚·乔普拉, 192 分钟,2495, Yash Chopra, 剧情 / 爱情 / 歌舞, A Love Legend, 乌尔都语 / 北印度语 / Punjabi, tt0420332, 2004-11-12,爱无国界, 沙鲁克·汗 / 普丽缇·泽塔 / 拉妮·玛克赫吉
, 印度 India,,,,, 爱情 / 奇幻,, 印地语 Hindi, tt11312440,,娜迦女 第四季,
7.3, 印度, Vamshi Paidipally / Vakkantham Vamsi / Abburi Ravi, 166分钟,458, Vamshi Paidipally, 动作 / 歌舞, 我是谁 / 他是谁 / Yaar Ivan?, 泰卢固语, tt2211173, 2014-01-12(印度),变脸, 拉姆·查兰·特哈 / 阿卢·阿尔军 / 施卢蒂·哈森 / 卡加·艾嘉 / 艾米·杰克逊 / 贾雅苏达 / Kota Srinivasa Rao / Chandramohan / 婆罗门·安达姆 / Sai Kumar / 萨伯拉杰 / Shashank / 维尼拉·基肖尔 / Raja Chembolu / L.B. Sriram / 拉胡尔.戴夫 / 穆里·夏尔马 / 阿杰
