评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
8.6, 日本, 坂元裕二, 124分钟,363086, 土井裕泰, 剧情 / 爱情, 她和他的恋爱花期(港) / Hanataba mitaina koi o shita / We Made a Beautiful Bouquet / I Fell in Love Like A Flower Bouquet / 爱如花束 恋恋不忘, 日语, tt11219254, 2022-02-22(中国大陆) / 2021-01-29(日本),花束般的恋爱, 菅田将晖 / 有村架纯 / 细田佳央太 / 清原果耶 / 小田切让 / 押井守 / 户田惠子 / 岩松了 / 小林薰 / 韩英惠 / 中崎敏 / 小久保寿人 / 泷内公美 / 森优作 / 古川琴音 / 篠原悠伸 / 八木亚里纱 / 佐藤宽太 / 冈部崇 / 萩原实里 / 福山翔大 / 萩原利久 / 片山友希 / 宇野祥平 / 佐藤玲 / 水泽绅吾 / 穗志萌香
7.5, 日本, 吉浦康裕 / 大河内一楼, 108分钟,357, 吉浦康裕, 动画, 聆听爱的歌声吧, 日语, tt13064272, 2021-10-29(日本),让我听到爱的歌声吧, 土屋太凤 / 福原遥 / 工藤阿须加
7.7, 日本, 根元岁三,,990, 武居正能, 剧情 / 动作 / 科幻 / 奇幻, 特利迦奥特曼 泽塔篇, 日语,, 2022-03-18(日本),特利迦奥特曼 Episode Z, 寺坂赖我 / 丰田留妃 / 金子隼也 / 细贝圭 / 宅麻伸 / 平野宏周 / 安藤彰则 / 中村优一 / 春川芽生 / 水野直
7.6, 日本, 绫奈由仁子, 22分钟,363, 大桥明代, 爱情 / 动画 / 同性 / 音乐, GIVEN うらがわの存在 / GIVEN 内侧的存在, 日语,, 2021-12-01(日本),GIVEN 反面的存在, 矢野奖吾 / 内田雄马 / 中泽匡智 / 江口拓也 / 今井文也
7.9, 日本, 滨口龙介 / 大江崇允 / 村上春树, 179分钟,56637, 滨口龙介, 剧情, 在车上(台) / Drive My Car, 日语 / 英语 / 韩国手语 / 德语 / 汉语普通话 / 他加禄语 / 韩语 / 印度尼西亚语, tt14039582, 2021-07-11(戛纳电影节) / 2021-08-20(日本),驾驶我的车, 西岛秀俊 / 三浦透子 / 雾岛丽香 / 冈田将生 / 朴有林 / 金大永 / 袁子芸 / 安部聪子 / 吉田大八 / 猪股俊明 / 佩里·迪桑 / 安辉泰 / 松田弘子 / 山村崇子 / 岩濑亮 / 谷川昭一朗 / 西庆子 / 铃木咲
8.3, 日本, 滨口龙介, 121分钟,46539, 滨口龙介, 剧情 / 爱情, 偶然与想象之轮(港) / 命运与幻想之轮 / Wheel of Fortune and Fantasy, 日语, tt14034966, 2021-03-04(柏林电影节) / 2021-12-17(日本),偶然与想象, 古川琴音 / 涩川清彦 / 占部房子 / 中岛步 / 玄理 / 森郁月 / 甲斐翔真 / 河井青叶
7.1, 日本, 山崎贵 / 藤子·F·不二雄, 96分钟,79947, 八木龙一 / 山崎贵, 剧情 / 动画,, 日语, tt13428402, 2021-05-28(中国大陆) / 2020-11-20(日本),哆啦A梦：伴我同行2, 水田山葵 / 大原惠美 / 嘉数由美 / 木村昴 / 关智一 / 妻夫木聪 / 宫本信子 / 三石琴乃 / 松本保典 / 笨蛋节奏 / 羽鸟慎一
5.6, 日本, 樱井武晴 / 青山刚昌, 110分钟,105693, 永冈智佳, 动作 / 动画 / 悬疑 / 冒险,, 日语 / 英语, tt12093860, 2021-04-17(中国大陆) / 2021-04-16(日本),名侦探柯南：绯色的子弹, 高山南 / 山崎和佳奈 / 小山力也 / 林原惠美 / 日高法子 / 田中敦子 / 森川智之 / 池田秀一 / 一城美由希 / 梁田清之 / 土师孝也 / 杉本优 / 滨边美波 / 铃村健一 / 平野绫
7.9, 日本, Ufotable / 吾峠呼世晴, 117分钟,89218, 外崎春雄, 动画,, 日语, tt11032374, 2020-10-16(日本),鬼灭之刃 剧场版 无限列车篇, 花江夏树 / 鬼头明里 / 下野纮 / 松冈祯丞 / 日野聪 / 平川大辅 / 石田彰 / 樱井孝宏 / 小西克幸 / 早见沙织 / 铃村健一 / 关智一 / 杉田智和 / 森川智之 / 佐藤利奈 / 三木真一郎 / 桑岛法子 / 本渡枫 / 大地叶 / 小原好美 / 古贺葵 / 小山力也 / 丰口惠美 / 榎木淳弥 / 伊濑茉莉也 / 笠间淳 / 千本木彩花 / 江口拓也 / 山村响 / 广濑裕也 / 高桥伸也 / 秋保佐永子 / 仲村宗悟 / 中惠光城
9.2, 日本, 庵野秀明, 154分钟,57168, 庵野秀明 / 鹤卷和哉 / 中山胜一 / 前田真宏, 剧情 / 科幻 / 动画,, 日语, tt2458948, 2021-03-08(日本) / 2021-08-13(美国网络),新·福音战士剧场版：终, 绪方惠美 / 林原惠美 / 宫村优子 / 石田彰 / 坂本真绫 / 三石琴乃 / 山口由里子 / 立木文彦 / 清川元梦 / 关智一 / 岩永哲哉 / 岩男润子 / 长泽美树 / 子安武人 / 优希比吕 / 大塚明夫 / 泽城美雪 / 大原沙耶香 / 伊濑茉莉也 / 胜杏里 / 山寺宏一 / 内山昂辉 / 川田绅司 / 兴津和幸 / 下山吉光 / 星野充昭 / 佐藤蓝 / 泷泽罗子 / 堀越真己 / 八百屋杏 / 斋藤千和 / 小野冢贵志 / 仪武祐子 / 手冢弘道 / 塙爱美 / 中务贵幸 / 大南悠 / 丹羽正人 / 广濑小夜 / 中村源太 / 武藏真之介 / 新祐树 / 前田玲奈 / 村田知沙 / 井关花芽 / 虎岛贵明 / 神木隆之介
9.0, 日本, 上野贵美子, 104分钟,13619, 高桥涉, 剧情,, 日语, tt13642590, 2021-07-30(日本),蜡笔小新：谜团！花之天下春日部学院, 小林由美子 / 楢桥美纪 / 森川智之 / 兴梠里美 / 真柴摩利
