评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
8.1, 中国香港, 谢立文 / 麦家碧, 73分钟,49203, 袁建滔, 剧情 / 喜剧 / 动画," 麦兜故事2 / McDull, Prince de la Bun", 粤语, tt0419954, 2004-06-24(中国香港),麦兜，菠萝油王子, 李颖贤 / 吴君如 / 刘德华 / 黄秋生 / 蔡政男 / 林海峰 / 林一峰 / 谢月美 / 林二汶 / 蔡明丽 / Michael Girard
7.6, 中国香港, 洪金宝 / 黄鹰,,24438, 洪金宝, 喜剧 / 动作 / 恐怖 / 奇幻, Encounter of the Spooky Kind, 粤语, tt0080827, 1980-12-24,鬼打鬼, 洪金宝 / 钟发 / 林正英 / 午马 / 陈龙 / 杜少明 / 黄哈 / 太保
7.8, 中国香港, 许冠文, 96 分钟,6303, 许冠文, 喜剧, The Contract, 英语 / 粤语, tt0077892, 1978-08-03,卖身契, 许冠文 / 许冠英 / 许冠杰
7.2, 中国香港, 吴宇森 / 刘天赐, 106 分钟,1535, 吴宇森, 剧情 / 动作 / 武侠 / 古装, Last Hurrah for Chivalry, 粤语, tt0077655, 1979-11-22,豪侠, 刘松仁 / 韦白 / 刘江 / 魏秋桦 / 冯克安 / 李海生
7.4, 中国香港 / 中国台湾, 王晶,,31007, 潘文杰 / 梁德华, 剧情 / 喜剧 / 爱情 / 古装, 小宝传奇 / 鹿鼎记 / The Duke of the Mount Deer 2000, 粤语, tt10685792,,小宝与康熙, 张卫健 / 林心如 / 朱茵 / 舒淇 / 陈法蓉 / 吴辰君 / 张茜 / 麦家琪 / 谭耀文 / 郑伊健 / 吴孟达 / 梁家仁 / 徐锦江 / 黄一飞 / 卓凡
8.9, 中国香港, 金庸 / 陈静仪,,145370, 李添胜, 剧情 / 喜剧 / 古装, The Duke of Mount Deer, 粤语, tt0825898,,鹿鼎记, 陈小春 / 马浚伟 / 刘玉翠 / 梁小冰 / 徐濠萦 / 陈少霞 / 邝文珣 / 王伟 / 冯晓文 / 夏韶声 / 谷峰 / 鲍方
8.0, 中国香港, 梁耀明 / 林纪陶 / 刘大木, 104 分钟,159708, 程小东, 爱情 / 奇幻 / 武侠 / 古装, 倩女幽魂2 / A Chinese Ghost Story II, 粤语, tt0100625, 1990-07-13(中国香港),倩女幽魂2：人间道, 张国荣 / 王祖贤 / 张学友 / 午马 / 李子雄 / 李嘉欣 / 刘洵 / 刘兆铭 / 谷峰
6.5, 中国大陆 / 中国香港, 张家鲁 / 徐克 / 陈国富, 133分钟,204870, 徐克, 动作 / 悬疑 / 古装,, 汉语普通话, tt2992146, 2013-09-28(中国大陆),狄仁杰之神都龙王, 赵又廷 / 冯绍峰 / 林更新 / 金汎 / 杨颖 / 刘嘉玲 / 胡东 / 马京京 / 盛鉴 / 林朝绪 / 陈坤 / 言杰 / 汪汐潮 / 陈国义 / 呈让 / 张山 / 铁男
7.7, 中国香港 / 日本, 王晶, 100分钟,99916, 王晶, 喜剧 / 动作 / 爱情, City Hunter, 粤语, tt0103950, 1993-01-16(中国香港) / 1993-03-20(日本),城市猎人, 成龙 / 王祖贤 / 邱淑贞 / 后藤久美子 / 单立文 / 黎明 / 王敏德
7.0, 中国香港, 陈庆嘉 / 陈嘉上 / 郭伟钟, 110分钟,30128, 陈嘉上, 动作, Thunderbolt, 粤语 / 英语 / 日语, tt0114126, 1995-08-05(中国香港),霹雳火, 成龙 / 袁咏仪 / 王敏德 / 黄子华 / 托斯顿·尼克尔 / 文颂娴 / 加山雄三 / 泽田谦也 / 楚原 / 元奎 / 钱嘉乐
8.9, 中国香港, 周旭明,,130773, 戚其义, 剧情 / 古装, War and Beauty, 粤语, tt0843199,,金枝欲孽, 邓萃雯 / 黎姿 / 张可颐 / 佘诗曼 / 林保怡 / 陈豪 / 梁琤 / 陈秀珠 / 陈鸿烈 / 韦家雄 / 黄德斌 / 简慕华
6.5, 中国香港 / 中国大陆, 袁锦麟, 104分钟(中国大陆) / 109分钟,104828, 袁锦麟, 动作 / 犯罪, Firestorm, 汉语普通话 / 粤语, tt3341072, 2013-12-12(中国大陆) / 2013-12-19(中国香港) / 2013-12-31(中国台湾),风暴, 刘德华 / 姚晨 / 林家栋 / 胡军 / 吕良伟 / 姜皓文 / 黄德斌 / 梁竞徽 / 唐文龙 / 施祖男 / 尹子维 / 洪天照 / 王敏德 / 王祖蓝 / 徐家杰 / 叶山豪 / 徐伟栋 / 张兆辉 / 陈保元 / 陈沛妍 / 黄智贤 / 卢海鹏 / 冼色丽
7.9, 中国香港 / 中国大陆, 吴炜伦 / 冯志丰 / 林超贤 / 梁凤英, 121分钟(中国大陆) / 116分钟(香港),182652, 林超贤, 剧情 / 动作 / 运动, 激战：勇者不败(台) / 激战MMA / Unbeatable, 粤语 / 汉语普通话, tt3003668, 2013-08-16(中国大陆) / 2013-08-15(中国香港) / 2013-06-18(上海国际电影节),激战, 张家辉 / 彭于晏 / 李馨巧 / 梅婷 / 李菲儿 / 安志杰 / 高捷 / 姜皓文 / 刘畊宏 / 王宝强
7.2, 中国香港, 陈嘉上 / 陈庆嘉 / 郑丹瑞 / 石伟文, 96分钟(中国大陆) / 90分钟(香港),24481, 黄泰来, 剧情 / 喜剧 / 爱情, Behind the Yellow Line / 缘分, 汉语普通话 / 粤语, tt0086950, 2016-03-25(中国大陆) / 1984-10-03(中国香港),缘份, 张国荣 / 张曼玉 / 梅艳芳 / 陈友 / 汤镇宗 / 张坚庭 / 郑孟霞 / 郑丹瑞 / 叶夏利 / 陈立品 / 麦当杰 / 邓寄尘 / 麦洁文 / 杨振耀 / 曾道美 / 何永霖 / 施介强 / 林伟祺 / 徐爱心 / 钱似莺
8.3, 中国香港, 张华标 / 朱镜祺,,61778, 刘仕裕, 剧情 / 古装, 爱子情深, 粤语, tt0260931,,封神榜, 陈浩民 / 温碧霞 / 钱嘉乐 / 苑琼丹 / 李家声 / 元华 / 叶璇 / 汤盈盈 / 邓兆尊
7.7, 中国香港, 王晶, 116分钟,118363, 王晶, 喜剧 / 奇幻,, 粤语 / 英语 / 汉语普通话 / 法语, tt0101783, 1991-08-21(中国香港),赌侠2：上海滩赌圣, 周星驰 / 巩俐 / 吕良伟 / 向华强 / 吴君如 / 吴孟达 / 黄韵诗 / 龙方 / 张敏 / 方季韦
7.7, 中国香港 / 中国台湾, 苏照彬 / 陈国富, 113分钟,109601, 陈国富, 剧情 / 悬疑 / 惊悚 / 犯罪, Double Vision, 汉语普通话 / 台语 / 英语, tt0284066, 2002-10-25(中国台湾),双瞳, 梁家辉 / 刘若英 / 戴立忍 / 大卫·摩斯 / 杨贵媚 / 林涵 / 郎雄
7.6, 中国香港, 黄炳耀 / 徐克 / 张同祖, 104分钟,82262, 徐克 / 林岭东, 喜剧 / 动作, Twin Dragons, 粤语, tt0105399, 1992-01-15(中国香港),双龙会, 成龙 / 张曼玉 / 利智 / 泰迪·罗宾 / 黄霑 / 张艾嘉 / 姜大卫 / 张坚庭 / 张婉婷 / 陈友 / 刘家良 / 麦灵芝
4.1, 中国大陆, 王晶 / 邹佩君 / 曾逸, 95分钟,2312, 许悦铭, 剧情 / 犯罪, Chasing The Dragon / 追龙番外之十亿探长, 汉语普通话 / 粤语,, 2020-01-16(中国大陆),追龙番外篇之十亿探长, 王浩信 / 徐冬冬 / 云千千 / 郑则仕 / 李子雄 / 周俊伟 / 尹扬明 / 林子善
5.5, 中国大陆 / 中国香港, 黄子桓 / 陈大利, 107分钟,50212, 袁和平, 剧情 / 动作 / 犯罪,, 汉语普通话 / 粤语 / 英语, tt7262882, 2018-12-21(中国大陆) / 2018-10-13(釜山电影节),叶问外传：张天志, 张晋 / 戴夫·巴蒂斯塔 / 柳岩 / 杨紫琼 / 托尼·贾 / 郑嘉颖 / 周秀娜 / 谭耀文 / 释彦能 / 姜皓文 / 栢天男 / 元华
