评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
7.9, 中国台湾, 杨德昌 / 侯孝贤 / 朱天文, 120分钟,14976, 杨德昌, 剧情, Taipei Story, 闽南语 / 汉语普通话, tt0089866, 1985(中国台湾),青梅竹马, 侯孝贤 / 蔡琴 / 柯一正 / 吴念真 / 杨丽音 / 柯素云 / 林秀玲 / 张世 / 陈淑芳 / 丁乃竺 / 梅芳 / 吴炳南
7.2, 中国台湾, 黄信尧, 22分钟,3272, 黄信尧, 剧情 / 短片 / 犯罪, The Great Buddha / Da Fo, 闽南语 / 汉语普通话, tt4097224,,大佛, 陈竹昇 / 庄益增 / 柯能源 / 洪伯豪 / 李哲光
6.8, 中国台湾, 林彣政, 95分钟,416, 洪伯豪, 剧情, Dad's Suit, 汉语普通话, tt9078412, 2018-11-10(中国台湾金马影展),老大人, 小戽斗 / 喜翔 / 黄嘉千 / 曹晏豪 / 李友珊
8.9, 中国台湾, 吴念真 Nien-Jen Wu / 朱天文, 157分钟,69702, 侯孝贤, 剧情 / 历史, A City of Sadness / A Cidade da Dor, 闽南语 / 汉语普通话 / 日语 / 上海话 / 粤语, tt0096908, 1989-10-21(中国台湾) / 1989-12-21(中国香港) / 1989-09-12(威尼斯电影节),悲情城市, 陈松勇 / 李天禄 / 高捷 / 辛树芬 / 陈淑芳 / 梁朝伟 / 太保 / 梅芳 / 林照雄 / 金士杰 / 柯素云 / 吴义芳
8.8, 中国台湾, 杨德昌, 125 分钟,33443, 杨德昌, 剧情, A Confucian Confusion, 汉语普通话 / 闽南话, tt0109685, 1994-09-12,独立时代, 陈湘琪 / 王柏森 / 邓安宁 / 李芹 / 王维明 / 倪淑君 / 陈以文 / 金燕玲 / 金士杰 / 鸿鸿
7.5, 新加坡 / 中国台湾, 陈哲艺, 103分钟,64164, 陈哲艺, 剧情, Wet Season, 英语 / 汉语普通话 / 闽南语, tt9822706, 2019-09-08(多伦多电影节) / 2019-11-28(新加坡),热带雨, 杨雁雁 / 许家乐 / 李铭顺 / 杨世彬
5.8, 中国台湾, 吴子云,,1601, 吴子云, 剧情 / 喜剧 / 爱情, Triad Princess, 台湾华语 / 台湾闽南语, tt9314996,,极道千金, 刘以豪 / 刘奕儿 / 蔡思韵 / 曹佑宁 / 张再兴 / 黄仲昆 / 天心 / 洪言翔 / 张书伟 / 黄镫辉
7.2, 中国台湾, 张作骥, 107分钟,11362, 张作骥, 剧情 / 同性 / 家庭," 爱是蓝色的 / 醉生梦死 / Thanatos, Drunk", 汉语普通话 / 闽南语, tt4471428, 2015-08-07(中国台湾),醉·生梦死, 李鸿其 / 黄尚禾 / 吕雪凤 / 郑人硕 / 张寗 / 王静婷
9.0, 中国台湾, 多田薰,,170729, 瞿友宁, 喜剧 / 爱情, 恶作剧之吻第一部 / 梦幻华尔兹 / イタズラなKiss～惡作劇之吻～ / It started with a Kiss, 汉语普通话, tt1293316,,恶作剧之吻, 郑元畅 / 林依晨 / 赵咏华 / 唐从圣 / 汪东城 / 许玮甯 / 张永正
8.2, 中国台湾, 程伟豪 / 陈昱俐 / 陈彦齐, 117分钟,164342, 程伟豪, 悬疑 / 惊悚 / 犯罪, Who Killed Cock Robin, 汉语普通话 / 闽南语, tt5576318, 2017-03-31(中国台湾) / 2017-06-21(上海电影节),目击者之追凶, 庄凯勋 / 许玮甯 / 柯佳嬿 / 李铭顺 / 李淳 / 陈彦允 / 郑志伟 / 汤志伟 / 卜国耕
