评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
6.5, 韩国, 赵圣熙, 136分钟,19955, 赵圣熙, 科幻, Space Sweepers, 俄语 / 法语 / 西班牙语 / 韩语 / 英语 / 日语 / 丹麦语 / 汉语普通话 / 阿拉伯语 / 德语 / 菲律宾语, tt12838766, 2021-02-05(韩国网络),胜利号, 宋仲基 / 金泰梨 / 陈善圭 / 柳海真 / 理查德·阿米蒂奇 / 丹尼尔·乔伊·奥尔布赖特 / John D. Michaels / Ana Ruggiero / Milan-Devi LaBrey / Michael Davis
5.6, 韩国, 千成日, 126分钟,2429, 金郑勋, 动作 / 冒险,, 韩语, tt17491040, 2022-01-26(韩国) / 2022-03-02(韩国网络),海盗2：鬼怪的旗帜, 姜河那 / 韩孝周 / 李光洙 / 蔡秀彬 / 吴世勋 / 朴智焕 / 金成伍 / 权相宇 / 金基斗 / 朴勋 / 成东日
7.6, 韩国, 孙珠妍 / 李章焄, 116分钟,5377, 李章焄, 剧情 / 爱情,, 韩语, tt14490546, 2021-10-01(中国台湾) / 2021-09-15(韩国),奇迹, 朴正民 / 林允儿 / 李星民 / 李秀卿
5.8, 韩国, 全哲洪, 113分钟,10056, 金志勋, 剧情 / 灾难, 天坑(台) / 危楼深渊(港) / 水洞 / Sink hole, 韩语, tt12664618, 2021-08-11(韩国),地陷, 车胜元 / 金成均 / 李光洙 / 南多凛 / 高昌锡 / 金惠濬
6.2, 韩国, 이한빈 / 吴城垈, 85分钟,16736, 赵庆勋, 动画 / 恐怖, 整容液(港/台) / Beauty Water, 韩语, tt12354886, 2020-09-02(韩国),奇奇怪怪：整容液, 문남숙 / 장민혁 / 조현정 / 김보영 / 崔乘训 / 김소형 / 강시현 / 朴圣光 / 정유정 / 황창영
6.5, 韩国, 孙元平, 102分钟,27067, 孙元平, 悬疑 / 惊悚, 恶‧回家(港) / 诡妹(台) / 女儿 / Daughter / Intruder / 도터, 韩语, tt12491064, 2020-06-04(韩国),侵入者, 宋智孝 / 金武烈 / 艺秀晶 / 许俊硕 / 李海云 / 崔英佑 / 李济延 / 崔尚熏 / 苏熙静 / 张宋允 / 徐贤宇
7.2, 韩国, 韩在英, 99分钟,5476, 韩在英, 剧情 / 同性, Take Me Home, 韩语, tt13925964, 2020-10-28(韩国),常春藤, 禹美华 / 李妍 / 金宝敏
7.1, 韩国, 洪成恩, 91分钟,3570, 洪成恩, 剧情, Aloners, 韩语, tt14598598, 2021-05-19(韩国),独自生活的人们, Jeong Da-eun / Seo Hyun-woo / 朴政学 / 孔升妍
5.8, 韩国, 杨宇硕, 132分钟,18331, 杨宇硕, 惊悚, 铁雨2：首脑会谈 / 钢铁雨2：核战危机(港) / 钢铁雨：深潜行动(台) / 铁雨2：顶上会谈 / 铁雨2 / 钢铁雨2 / 강철비2-정상회담 / Steel Rain 2, 韩语 / 汉语普通话 / 日语 / 英语 / 俄语, tt10516176, 2020-07-29(韩国),铁雨2：首脑峰会, 郑雨盛 / 郭度沅 / 柳演锡 / 安古斯·麦克菲登 / 徐东甲 / 李南希 / 金重熙 / 柳秀荣 / 李泰亨 / 申正根 / 廉晶雅 / 金容琳 / 金明坤 / 张光 / 李在勇 / 安内相 / 孙钟学 / 白龙 / 寇比·法兰奇 / 斯科特·洛威尔 / 克里斯汀·达尔顿 / 金胜泰 / 郑镇珏 / 刘成柱 / 金重基 / 申秀妍 / 沈熙燮
6.5, 韩国,, 119分钟,2516, 李揆万, 剧情 / 犯罪, 无间对决(台) / The Policeman's Lineage, 韩语, tt16676718, 2022-01-05(韩国),警官之血, 赵震雄 / 崔宇植 / 朴熙顺 / 权律 / 朴明勋 / 李乌 / 洪基俊 / 李铉旭 / 白贤镇 / 朴庭凡
6.3, 韩国, 延尚昊, 109分钟,6215, 金勇完, 悬疑 / 恐怖 / 奇幻,, 韩语, tt13086164, 2021-07-28(韩国),谤法：在此矣, 严志媛 / 吴允儿 / 李雪
6.8, 韩国, 洪常秀, 66分钟,4237, 洪常秀, 剧情, Introduction / 引言(台), 韩语, tt14035108, 2021-03-01(柏林电影节) / 2021-05-27(韩国),引见, 申锡镐 / 朴美姬 / 金英浩 / 艺智苑 / 奇周峯 / 徐永嬅 / 金敏喜 / 赵允熙 / 河成国
6.2, 韩国, 毕感成, 94分钟,5629, 毕感成, 动作 / 惊悚,, 韩语, tt14941222, 2021-08-18(韩国),人质, 黄政民 / 李浩贞 / 金宰范 / 刘庆秀 / 朴圣雄
5.5, 韩国,, 85分钟,3751, 심덕근, 恐怖,, 韩语, tt14922584, 2021-08-25(韩国),鬼门, 金康宇 / 金素慧 / 洪镇基
7.2, 韩国, 李宗弼, 110分钟,8013, 李宗弼, 剧情, 菜英文没在怕(台) / Samjin Group English TOEIC Class / Samjin Company English Class, 韩语, tt13210996, 2020-10-21(韩国),三振集团英语托业班, 高雅星 / 李絮 / 朴惠秀 / 赵贤哲 / 金钟秀 / 金元海 / 裴海善 / 大卫·麦金尼斯 / 白贤镇 / 李成旭 / 崔秀林 / 李周英 / 泰勒
6.9, 韩国,, 102分钟,6113, 李桂碧, 爱情, 酸酸甜甜爱上你 / Sweet & Sour, 韩语, tt14599938, 2021-06-04(韩国网络),酸酸甜甜, 张基龙 / 蔡秀彬 / 郑秀晶 / 赵汉哲 / 李宇济 / 柳善 / 李璟荣 / 朴哲民 / 郑熙泰 / 吴素贤 / 金美京 / 安吉江
6.8, 韩国, 朴勋政, 132分钟,5648, 朴勋政, 剧情, 暗夜天堂 / 天堂长夜 / Night in Paradise, 韩语, tt12792418, 2020-09-02(威尼斯电影节) / 2021-04-09(韩国网络),乐园之夜, 严泰九 / 全余赟 / 车胜元 / 赵东仁 / 朴浩山 / 玄奉植 / 车顺裴 / 孙秉浩 / 李文植 / 安世彬 / 张荣男 / 格雷格·秦 / 诺希尔·达拉尔 / 安吉拉·林 / 马修·杨·金 / 基内·扬
6.8, 韩国, 朴相铉, 110分钟,10207, 朴相铉, 剧情, 洁白 / 翻供(台) / Innocence, 韩语, tt12515958, 2020-06-10(韩国),清白, 申惠善 / 裴宗玉 / 许峻豪 / 洪京 / 太恒浩 / 高昌锡 / 朴哲民 / 车顺裴 / 郑仁谦 / 韩利进 / 崔宏一 / 金重熙 / 夏成光 / 韩哲宇 / 郭子亨 / 郑爱华 / 李智友 / 申文成 / 金英在 / 金锡勋 / 朴成根 / 裴海善 / 朴振英
6.2, 韩国,, 138分钟,3348, 郭在容, 剧情 / 爱情, Happy New Year / A Year-End Medley, 韩语, tt16755970, 2021-12-29(韩国),新年快乐, 韩智敏 / 李栋旭 / 姜河那 / 林允儿 / 元真儿 / 徐康俊 / 李光洙 / 金英光 / 高圣熙 / 李阵郁 / 李奎炯 / 赵俊英 / 郑镇荣 / 元之安
6.7, 韩国, 闵志 / 蔡汝俊 / 李世云(原作), 108分钟,3343, 蔡汝俊, 动作,, 韩语, tt14965934, 2021-06-17(韩国网络),鲨鱼：起点, 金玟锡 / 魏嘏隽 / 郑元昌 / 李在均 / 裴明真 / 李正贤 / 车烨 / 申敏宰 / 李铉旭 / 李恩在
5.8, 韩国, 权吾胜, 103分钟,2833, 权吾胜, 悬疑 / 惊悚, Midnight, 韩语, tt14757872, 2021-06-30(韩国),午夜, 秦基周 / 魏嘏隽 / 朴勋 / 吉海妍 / 金惠奫
6.5, 韩国, 金允心, 101分钟,6397, 李澈河, 喜剧, 特务打爆机(港) / 特务搞飞机(台) / OK! 夫人 / Okay! Madam / Ok! Madam, 韩语, tt12572792, 2020-08-12(韩国),OK老板娘, 严正化 / 朴圣雄 / 李相仑 / 裴正南 / 李先彬
6.6, 韩国, 郑佳映, 95分钟,1650, 郑佳映, 爱情," 配对游戏(台) / 宇利，子英 / 陷入爱情的罗曼史 / 우리, 자영 / Nothing Serious", 韩语, tt16303830, 2021-11-24(韩国),恋爱缺席的罗曼史, 孙锡久 / 全钟瑞 / 孔敏晶 / 金光奎 / 裴侑蓝 / 金瑟祺 / 金在华
6.5, 韩国, 徐宥敏, 99分钟,4035, 徐宥敏, 悬疑 / 惊悚, 回忆(台) / 明日的记忆 / Recalled, 韩语, tt14527836, 2021-04-29(中国台湾) / 2021-04-21(韩国),明天的记忆, 徐睿知 / 金康宇 / 朴相旭 / 廉惠兰 / 裴侑蓝 / 金嫝勋
6.5, 韩国,, 117分钟(韩国),2642, 金宗宽, 剧情 / 爱情, 不能忘记的名字(港) / 乔瑟与老虎、鱼(台) / Jose与虎与鱼们 韩国版 / 乔瑟 / Josée, 韩语, tt13411298, 2020-12-10(韩国),Jose与虎与鱼们, 韩智敏 / 南柱赫
6.4, 韩国, 白承焕, 107分钟,1312, 白承焕, 剧情 / 爱情, Double Patty, 韩语, tt14493552, 2021-02-17(韩国),双层肉排, 申承浩 / 裴柱现 / 郑英珠 / 赵达焕
5.6, 韩国,, 115分钟,2768, 金昌洙, 剧情 / 悬疑 / 惊悚, 极速引爆(台) / 通话限制 / 发信限制 / Hard Hit, 韩语, tt14980972, 2021-06-23(韩国),限制来电, 赵宇镇 / 李在仁 / 池昌旭 / 陈庆 / 金芝荷
6.2, 韩国,, 109分钟,1899, 金曲 / 金宣, 动作 / 犯罪, 拦截声命线(台) / On the Line / Voice, 韩语, tt15426974, 2021-09-15(韩国),通话惊魂, 卞约汉 / 金武烈 / 朴明勋
6.4, 韩国,, 108分钟,1065, 尹宰根, 动作 / 科幻, Fluid Renegades / Spiritwalker, 韩语, tt15108954, 2021-11-24(韩国),灵魂脱离者, 尹启相 / 朴勇宇 / 林智妍 / 刘承睦 / 朴智焕 / 李成旭 / 洪基俊 / 徐贤宇 / 李云山
5.3, 韩国, 이명, 117分钟,2302, Mi Young Lee, 剧情 / 恐怖,, 韩语, tt14821640, 2020-07-09(富川电影节) / 2021-06-17(韩国),女高怪谈重启：母校, 金瑞亨 / 金贤秀 / 崔莉 / 权海骁
5.9, 韩国, Hyung-Joo Kim, 105分钟,1323, Hyung-Joo Kim, 喜剧 / 动作, Mission Possible / 金派特务(台), 韩语, tt14140954, 2021-02-17(韩国),可能的任务, 金英光 / 李先彬 / 吴代焕
6.7, 韩国,, 130分钟(韩国),2845, 李焕庆, 剧情 / 悬疑 / 犯罪, 近邻 / Best Friend, 韩语, tt6985320, 2020-11-25(韩国),邻居, 郑宇 / 吴达洙 / 金熙元 / 李侑菲 / 郑熙泰
5.9, 韩国, 庾河 / 金景灿 / 李英重, 108分钟,1826, 庾河 Ha Yu, 剧情 / 犯罪, 管线 / Pipeline, 韩语, tt14716932, 2021-05-26(韩国),管道, 徐仁国 / 李洙赫 / 音文硕 / 太恒浩 / 柳圣贤 / 裴侑蓝
7.6, 韩国,, 89分钟,2331, Byoung-Wook Ahn, 喜剧 / 动画,, 英语, tt12588448, 2020-07-23(美国),爆笑虫子之冒险岛大电影, 洪范基 / Kang Shi Hyun / Eddy Lee
6.6, 韩国, 朴智媛, 116分钟,1254, 朴智媛, 剧情, 我死去的那天 / 我死的那一天 / The Day I Died, 韩语, tt13423318, 2020-11-12(韩国),我死之日, 金惠秀 / 李姃垠 / 卢正义 / 金善映 / 文晶熙 / 李相烨
6.6, 韩国, 刘圣叶, 117分钟,984, 曹溱模, 剧情 / 爱情, 雨与你的故事 / 如果雨之后(台) / Endless Rain / Rain and Your Story / Waiting for Rain, 韩语, tt14540764, 2021-04-28(韩国),雨和你的故事, 千禹熙 / 姜河那 / 姜素拉 / 林周焕 / 李雪 / 姜英锡 / 成民秀 / 李杭娜 / 吴贞媛 / 高宇临 / 崔明彬 / 高健汉 / 柳惠琳 / 朴世贤 / 玉珠理 / 曹溱模 / 金成均
6.5, 韩国, 崔荷娜, 108分钟(韩国),2295, 崔荷娜, 喜剧, 呼唤老爸(台) / More than Family, 韩语, tt13574232, 2020-10-25(釜山电影节) / 2020-11-12(韩国),悲喜交加, 郑秀晶 / 张慧珍 / 崔德门 / 李海荣 / 姜末琴 / 南文哲 / 申宰辉 / 张阳光 / 李珍珠
6.0, 韩国, 崔在勋, 100分钟,1593, 최재훈, 动作, Swordsman, 韩语, tt7035004, 2020-09-23(韩国),剑客, 张赫 / 郑满植 / 乔·塔斯利姆 / 崔镇浩 / 金贤秀 / 张铉诚 / 李旼赫
5.7, 韩国,, 114分钟,1335, 洪智暎, 爱情, 新年前夕(港) / 今天决定我爱你(台) / New Year Blues, 韩语 / 汉语普通话, tt13893464, 2021-02-10(韩国),新年前夜, 金康宇 / 刘寅娜 / 柳演锡 / 李沇熹 / 李东辉 / 陈都灵 / 廉惠兰 / 崔秀英 / 刘台午 / 艺秀晶 / 崔始源 / 安世河 / 赵汉哲 / 罗美兰 / 李俊赫 / 徐贤宇 / 金光奎 / 金釉利 / 金敏瑞
6.7, 韩国, 朴健 Park Kun-Young, 119分钟,440, 朴健 Park Kun-Young, 同性, Kaugel eemal / Jeong-mal Meon / 爱在春光乍现时 / A Distant Place, 韩语, tt12385988, 2020-05(全州国际电影节) / 2021-03-18(韩国),远方, 姜吉宇 / 洪京 / 李尚熙 / 奇周峯
6.1, 韩国, 金宗宽, 85分钟,586, 金宗宽, 剧情, Shades of the Heart(美), 韩语, tt14425000, 2019-05(全州电影节) / 2021-03-31(韩国),无处寻觅, 延宇振 / 李知恩 / 李周英 / 金相浩
5.5, 韩国, 赵瑟熙,,1076, 赵瑟熙, 悬疑 / 惊悚, 梦魇(港) / 诡忆(台) / Diva, 韩语, tt13155030, 2020-09-23(韩国),欲望跳台, 申敏儿 / 李裕英 / 李奎炯 / 吴荷妮 / 周锡泰
6.7, 韩国,, 115分钟,425, 李承元, 剧情, Three Sisters, 韩语, tt13947302, 2020-10-30(釜山电影节) / 2021-01-27(韩国),三姐妹, 文素丽 / 金善映 / 张允柱
8.5, 韩国, 원영진, 60分钟,433, 郑允秀, 剧情 / 爱情, Cafe Midnight Season 03：The Curious Stalker, 韩语,, 2021-02-19(韩国),深夜咖啡屋3：好奇跟踪者, 金道英 / 金仁怡 / 申柱焕
6.7, 韩国, 金贤卓, 113分钟,345, 金贤卓, 剧情, 孩子别哭(台), 韩语, tt14891034, 2021-02-10(韩国),孩子, 金香起 / 柳贤静 / 廉惠兰
