评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
6.2, 中国大陆 / 中国香港, 关皓月, 98分钟,180960, 文伟鸿, 剧情 / 动作 / 犯罪, Line Walker 2, 粤语 / 汉语普通话, tt10295602, 2019-08-07(中国大陆),使徒行者2：谍影行动, 张家辉 / 古天乐 / 吴镇宇 / 姜珮瑶 / 张亦驰 / 刘宇宁 / 黄志忠 / 蔡洁 / 马德钟 / 袁伟豪 / 陈山聪 / 王君馨 / 张宝儿 / 江嘉敏 / 李忠希 / 刘楚恬 / 欧瑞伟 / 郑启泰 / 黄祥兴 / 徐荣 / 林伟 / 吴瑞庭 / 卫志豪 / 黎振烨 / 汤洛雯 / 许绍雄 / 关婉珊
8.8, 中国香港, 阮继志, 98分钟(香港) / 96分钟,657367, 程小东, 爱情 / 奇幻 / 武侠 / 古装, 倩女幽魂(87版) / 倩女幽魂：妖魔道 / A Chinese Ghost Story, 粤语, tt0093978, 2011-04-30(中国大陆) / 1987-07-18(中国香港),倩女幽魂, 张国荣 / 王祖贤 / 午马 / 刘兆铭 / 林威 / 薛芷伦 / 胡大为 / 王晶
8.6, 中国香港, 陈庆嘉 / 吴宇森 / 梁淑华, 95分钟,471479, 吴宇森, 剧情 / 动作 / 犯罪, A Better Tomorrow / Gangland Boss, 粤语 / 汉语普通话 / 英语, tt0092263, 2017-11-17(中国大陆) / 1986-08-02(中国香港),英雄本色, 周润发 / 狄龙 / 张国荣 / 朱宝意 / 李子雄 / 田丰 / 吴宇森 / 曾江 / 成奎安 / 徐克 / 陈志辉
9.3, 中国香港, 麦兆辉 / 庄文强, 101分钟 / 97分钟(导演剪辑版),1185461, 刘伟强 / 麦兆辉, 剧情 / 惊悚 / 犯罪, Infernal Affairs / Mou gaan dou, 粤语, tt0338564, 2003-09-05(中国大陆) / 2002-12-12(中国香港),无间道, 刘德华 / 梁朝伟 / 黄秋生 / 曾志伟 / 郑秀文 / 陈慧琳 / 陈冠希 / 余文乐 / 杜汶泽 / 林家栋 / 萧亚轩
8.8, 中国香港, 王家卫, 102分钟 / 111分钟(台湾版DVD),713091, 王家卫, 剧情 / 爱情, Chungking Express, 粤语 / 汉语普通话 / 英语 / 印地语 / 日语, tt0109424, 1994-07-14(中国香港),重庆森林, 林青霞 / 金城武 / 梁朝伟 / 王菲 / 周嘉玲
8.5, 中国香港, 韦家辉 / 欧健儿, 90分钟,238598, 杜琪峰 / 韦家辉, 动作 / 悬疑 / 惊悚 / 犯罪, Mad Detective, 粤语 / 英语, tt0969269, 2008-02-22(中国大陆) / 2007-11-29(中国香港) / 2007-09-06(威尼斯电影节),神探, 刘青云 / 安志杰 / 林家栋 / 林熙蕾 / 李国麟 / 李彩宁 / 陈慧珊 / 林雪 / 张兆辉 / 刘锦玲 / 郭少芸 / 郑保瑞
6.6, 中国大陆 / 中国香港, 黄子桓 / 陈大利 / 梁礼彦, 105分钟,150876, 叶伟信, 剧情 / 动作 / 传记 / 历史, Yip Man 3 / Ip Man 3, 汉语普通话 / 粤语 / 英语, tt2888046, 2016-03-04(中国大陆) / 2015-12-24(中国香港),叶问3, 甄子丹 / 迈克·泰森 / 张晋 / 熊黛林 / 谭耀文 / 吴千语 / 喻亢 / 郑则仕 / 梁家仁 / 张继聪 / 陈国坤 / 刘以达 / 宗菲 / 曹操 / 王实 / 崔璨 / 刘艺菲
8.8, 中国香港, 曾瑾昌 / 周星驰 / 李敏 / 郑文辉 / 冯勉恒 / 梁嘉杰, 89分钟,861185, 周星驰 / 李力持, 剧情 / 喜剧 / 爱情, King of Comedy, 粤语, tt0188766, 1999-02-13(中国香港),喜剧之王, 周星驰 / 张柏芝 / 莫文蔚 / 吴孟达 / 林子善 / 田启文 / 李兆基 / 成龙 / 李思捷 / 郑文辉
8.7, 中国香港 / 中国大陆, 罗启锐 / 张婉婷, 117分钟 / 120分钟(柏林电影节),532530, 罗启锐, 剧情 / 家庭, 1969太空漫游 / Echoes Of The Rainbow, 粤语 / 汉语普通话 / 英语 / 上海话 / 法语, tt1602572, 2010-04-16(中国大陆) / 2010-03-11(中国香港) / 2010-02-14(柏林电影节),岁月神偷, 吴君如 / 任达华 / 钟绍图 / 李治廷 / 蔡颖恩 / 秦沛 / 夏萍 / 谷德昭 / 许鞍华 / 张同祖 / 庄域飞 / 威廉希路 / 李健兴 / 林耀祺 / 廖爱玲 / 张翼东 / 钱耀荣 / 谭瓒强 / 陈庆航 / 黎祥荣
8.6, 中国香港, 谢立文 / 麦家碧,,171853, 袁建滔, 剧情 / 喜剧 / 动画, 麦兜的故事 / My Life as McDull, 粤语, tt0312941, 2001-12-15,麦兜故事, 李晋纬 / 林海峰 / 吴君如 / 黄秋生 / Buxx Banner
8.7, 中国香港, 王家卫, 98 分钟,525414, 王家卫, 剧情 / 爱情, In the Mood for Love, 粤语 / 上海话 / 法语, tt0118694, 2000-09-29(中国香港) / 2000-05-20(戛纳电影节),花样年华, 梁朝伟 / 张曼玉 / 潘迪华 / 萧炳林 / 张耀扬 / 孙佳君 / 钱似莺 / 顾锦华
7.8, 中国香港, 王家卫, 102 分钟,185871, 王家卫, 剧情 / 爱情 / 犯罪, 热血男儿(台) / As Tears Go By, 粤语, tt0096461, 1988-06-09(中国香港),旺角卡门, 刘德华 / 张学友 / 张曼玉 / 万梓良 / 林蛟 / 黄斌 / 陈志辉 / 王剑风 / 江道海 / 张叔平
5.4, 中国香港 / 中国大陆, 王晶 / 吕冠南, 103分钟,137510, 王晶 / 关智耀, 剧情 / 动作 / 犯罪,, 粤语 / 汉语普通话, tt10279010, 2019-06-06(中国大陆),追龙Ⅱ, 梁家辉 / 古天乐 / 林家栋 / 邱意浓 / 叶项明 / 任达华 / 杜江 / 王敏德 / 余安安 / 韦家雄 / 陈伟雄 / 黄竣锋 / 王宝葆 / 秦煌
8.7, 中国香港, 麦兆辉 / 庄文强, 119分钟 / 110 分钟(德国电视版),399516, 刘伟强 / 麦兆辉, 剧情 / 惊悚 / 犯罪, 无间道前传 / Infernal Affairs II / Infernal Affairs 2 / 无间道II, 粤语 / 英语 / 汉语普通话 / 泰语, tt0369060, 2003-10-17(中国大陆) / 2003-10-01(中国香港),无间道2, 陈冠希 / 余文乐 / 曾志伟 / 黄秋生 / 吴镇宇 / 刘嘉玲 / 胡军 / 张耀扬 / 杜汶泽 / 连凯 / 廖启智 / 惠英红
8.0, 中国香港 / 中国大陆, 周星驰 / 曾瑾昌 / 冯勉恒 / 冯志强 / 卢薇, 113分钟 / 102分钟(香港) / 87分钟(美国),371693, 周星驰, 喜剧 / 动作 / 运动, Shaolin Soccer, 粤语, tt0286112, 2001-07-05(中国大陆) / 2001-07-12(中国香港),少林足球, 周星驰 / 赵薇 Wei Zhao / 吴孟达 / 谢贤 / 莫文蔚 / 张柏芝 / 黄一飞 / 田启文 / 林子聪 / 陈国坤 / 莫美林 / 林子善 / 李卉 / 谷德昭
9.2, 中国香港 / 中国大陆, 刘镇伟, 95分钟 / 110分钟(重映版),1380515, 刘镇伟, 喜剧 / 爱情 / 奇幻 / 古装, 西游记完结篇仙履奇缘 / 齐天大圣西游记 / 大话东游之二 / A Chinese Odyssey Part Two - Cinderella / 大话西游之大圣娶妻, 粤语 / 汉语普通话, tt0114996, 2014-10-24(中国大陆) / 2017-04-13(中国大陆重映) / 1995-02-04(中国香港),大话西游之大圣娶亲, 周星驰 / 吴孟达 / 朱茵 / 蔡少芬 / 蓝洁瑛 / 莫文蔚 / 罗家英 / 刘镇伟 / 陆树铭 / 李健仁
8.7, 中国香港, 刘镇伟, 113分钟(香港) / 98分钟(翡翠高清版) / 103分钟(修复版),572646, 刘镇伟, 喜剧 / 奇幻 / 武侠 / 古装, 东成西就 / 大英雄 (日本) / The Eagle Shooting Heroes, 粤语, tt0108074, 1993-02-05(中国香港),射雕英雄传之东成西就, 梁朝伟 / 林青霞 / 张国荣 / 叶玉卿 / 张学友 / 王祖贤 / 张曼玉 / 梁家辉 / 刘嘉玲 / 钟镇涛 / 鲍起静
3.2, 中国大陆 / 中国香港, 吕冠南 / 谭广源, 90分钟,2100, 吕冠南 / 谭广源, 喜剧 / 动作 / 爱情 / 犯罪, 卧虎潜龙 / 潜龙狙击 / Undercover vs Undercover / Undercover Punch and Gun, 汉语普通话 / 粤语, tt10427010, 2019-06-28(中国大陆),潜行者, 伍允龙 / 吴建豪 / 安志杰 / 谢霆锋 / 冯文娟 / 蒋璐霞 / 赵慧珊 / 迟帅 / 孟佳 / 伦阿兹 / 吴家丽 / 邵音音 / 林雪
9.0, 中国香港 / 中国大陆, 刘镇伟 / 吴承恩, 87分钟,1100475, 刘镇伟, 喜剧 / 爱情 / 奇幻 / 古装, 西游记101回月光宝盒 / 齐天大圣东游记 / 大话东游之一 / A Chinese Odyssey Part One - Pandora's Box, 粤语 / 汉语普通话, tt0112778, 2014-10-24(中国大陆) / 1995-01-21(中国香港),大话西游之月光宝盒, 周星驰 / 吴孟达 / 罗家英 / 蓝洁瑛 / 莫文蔚 / 江约诚 / 陆树铭 / 刘镇伟 / 朱茵 / 李健仁
6.8, 中国香港, 黄炳耀 / 邓景生 / 成龙, 102分钟,11795, 成龙, 喜剧 / 动作 / 运动, Dragon Lord, 粤语, tt0084266, 1982-01-21,龙少爷, 成龙 / 元奎 / 冯克安 / 陈惠敏 / 郑康业 / 火星
