评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
7.7, 中国香港 / 中国大陆 / 法国 / 意大利 / 德国, 王家卫, 129 分钟,209217, 王家卫, 剧情 / 爱情 / 奇幻,, 粤语 / 汉语普通话 / 日语, tt0212712, 2004-09-28(中国大陆) / 2004-09-29(中国香港) / 2004-05-20(戛纳电影节),2046, 梁朝伟 / 章子怡 / 王菲 / 木村拓哉 / 巩俐 / 刘嘉玲 / 张震 / 张曼玉 / 董洁 / 通猜·麦金泰 / 萧炳林 / 吴廷烨 / 张睿羚
8.1, 中国香港, 陈嘉上 / 黄炳耀, 100分钟,297080, 陈嘉上, 喜剧 / 动作 / 爱情, Fight Back to School, 粤语, tt0103045, 1991-07-18(中国香港),逃学威龙, 周星驰 / 张敏 / 吴孟达 / 张耀扬 / 黄一山 / 秦沛 / 苑琼丹 / 陈国新
5.3, 中国大陆 / 中国香港, 吴孟璋 / 畅游, 94分钟,121945, 雷尼·哈林, 动作 / 犯罪, Bodies at Rest, 汉语普通话 / 粤语, tt7937440, 2019-08-16(中国大陆) / 2019-03-18(中国香港国际电影节) / 2019-08-22(中国香港),沉默的证人, 张家辉 / 杨紫 / 任贤齐 / 克拉拉 / 冯嘉怡 / 陈家乐 / 马书良 / 欧阳靖 / 郭晋安 / 吴卓羲 / 郭羡妮 / 明鹏
8.3, 中国香港, 王家卫, 99分钟,160094, 王家卫, 剧情 / 喜剧 / 爱情 / 犯罪, Fallen Angels, 粤语, tt0112913, 1995-09-06(中国香港),堕落天使, 黎明 / 李嘉欣 / 金城武 / 杨采妮 / 莫文蔚 / 陈辉虹 / 陈万雷 / 关莉娜 / 江道海
7.9, 中国香港, 史美仪 / 陈锦昌 / 沈治樑, 86 分钟,37005, 林正英, 喜剧 / 动作 / 恐怖 / 奇幻, Vampire Vs Vampire, 粤语, tt0098690, 1989-07-26,一眉道人, 林正英 / 钱小豪 / 吕方 / 吴君如 / 楼南光 / 玛利亚
8.9, 中国香港, 岸西, 118分钟(中国大陆) / 116分钟(台湾),466822, 陈可辛, 剧情 / 爱情,, 粤语 / 汉语普通话 / 英语, tt0117905, 2015-02-13(中国大陆) / 1996-11-02(中国香港),甜蜜蜜, 黎明 / 张曼玉 / 杨恭如 / 曾志伟 / 杜可风 / 张同祖 / 诸慧荷 / 丁羽
2.8, 中国香港 / 中国大陆, 王晶,,3913, 张敏, 喜剧 / 奇幻 / 古装, Flirting Scholar from the Future, 粤语 / 汉语普通话, tt12228850, 2019-01-25(中国大陆),唐伯虎点秋香2019, 陈浩民 / 陈百祥 / 林子聪 / 何浩文 / 曹思诗
9.0, 中国香港 / 日本 / 韩国, 王家卫, 96分钟,560115, 王家卫, 剧情 / 爱情 / 同性, 一起快乐 / Happy Together / Buenos Aires Affair, 粤语 / 汉语普通话 / 西班牙语, tt0118845, 1997-05-30(中国香港) / 1997-05-17(戛纳电影节),春光乍泄, 张国荣 / 梁朝伟 / 张震 / 格利高里·戴顿
5.4, 中国香港 / 中国大陆, 麦兆辉 / 凌志民 / 韦浩川, 114分钟,91628, 麦兆辉, 剧情 / 悬疑 / 犯罪, 廉政风云·烟幕 / Integrity, 粤语, tt9575160, 2019-02-05(中国大陆/中国香港),廉政风云, 刘青云 / 张家辉 / 林嘉欣 / 袁咏仪 / 方中信 / 陈家乐 / 汤怡 / 骆应钧 / 吴岱融 / 常倩 / 吴浩康
6.5, 中国大陆 / 中国香港, 陈淑贤, 107分钟,33630, 罗永昌, 剧情, 再见了！小Q(台) / Little Q, 汉语普通话 / 粤语, tt10584272, 2019-09-20(中国大陆) / 2019-08-15(中国香港),小Q, 任达华 / 梁咏琪 / 罗子溢 / 杨采妮 / 袁姗姗 / 袁澧林 / 刘楚恬 / 林文龙 / 郭晋安 / 胡明 / 余佳哝 / 陈雅丽 / 贾晓晨 / 鲁牛 / 刘永
8.6, 中国香港, 焦雄屏 / 邱刚健, 121分钟 / 154分钟(导演剪辑版),95476, 关锦鹏, 剧情 / 爱情 / 传记, Center Stage / Actress / Yuen Ling Yuk / The New China Woman, 粤语 / 汉语普通话 / 上海话, tt0102816, 1991-11-29(中国台湾) / 1992-02-20(中国香港),阮玲玉, 张曼玉 / 梁家辉 / 秦汉 / 刘嘉玲 / 吴启华 / 叶童 / 李子雄 / 张冲 / 叶晨 / 萧湘
5.9, 中国香港 / 中国大陆, 黄浩华 / 何文龙, 96分钟,158523, 林德禄, 动作 / 犯罪, P Storm, 粤语 / 汉语普通话, tt10017680, 2019-04-04(中国大陆),反贪风暴4, 古天乐 / 郑嘉颖 / 林峯 / 林家栋 / 周秀娜 / 张智霖 / 谭耀文 / 张继聪 / 蔡瀚亿 / 廖启智 / 艾威 / 卢海鹏 / 夏嫣 / 黄祥兴 / 张松枝 / 张建声 / 栢天男 / 丁海峰 / 刘梦娜 / 陈静 / 朱鉴然 / 苏宸褕 / 石修 / 陈曼娜 / 关礼杰 / 薛世恒
4.4, 中国香港 / 中国大陆, 王晶, 112分钟,136187, 王晶 / 刘伟强, 喜剧 / 动作, 赌城风云III(港) / The Man From Macau 3 / From Vegas to Macau 3 / From Vegas To Macau III, 汉语普通话 / 粤语, tt5237980, 2016-02-08(中国大陆) / 2016-02-06(中国香港),澳门风云3, 周润发 / 刘德华 / 张家辉 / 张学友 / 余文乐 / 李宇春 / 刘嘉玲 / 王诗龄 / 向佐 / 胡然 / 元秋 / 鸟叔 / 童飞 / 罗家英 / 卢海鹏
8.0, 中国香港, 陈建忠 / 陈嘉上, 96分钟(台湾) / 101分钟(香港) / 93分钟(英国),333472, 陈嘉上, 喜剧 / 动作 / 武侠 / 古装, King of Beggars, 粤语, tt0100963, 1992-12-17(中国香港),武状元苏乞儿, 周星驰 / 张敏 / 吴孟达 / 徐少强 / 林威 / 陈百祥 / 郑丹瑞 / 苑琼丹 / 陈慧仪
7.5, 中国香港, 翁子光, 120分钟(导演版) / 98分钟(香港),176787, 翁子光, 剧情 / 悬疑 / 犯罪, Port of Call, 粤语 / 汉语普通话 / 湖南方言, tt4417522, 2015-12-03(中国香港) / 2015-04-06(香港国际电影节),踏血寻梅, 郭富城 / 春夏 / 白只 / 谭耀文 / 金燕玲 / 邵美琪 / 李日朗 / 杨诗敏 / 蔡洁 / 吴嘉星 / 何卓霖 / 艾迪 / 谭炳文 / 梁小冰 / 车保罗 / 太保
8.3, 中国香港, 陈淑贤 / 李恩霖, 118分钟,291510, 许鞍华, 剧情 / 家庭, A Simple Life, 英语 / 汉语普通话 / 粤语, tt2008006, 2012-03-08(中国大陆) / 2012-03-09(中国香港) / 2011-09-05(威尼斯电影节),桃姐, 叶德娴 / 刘德华 / 秦海璐 / 秦沛 / 黄秋生 / 王馥荔 / 朱慧敏 / 江美仪 / 罗兰 / 谭炳文 / 梁天 / 宫雪花 / 徐克 / 洪金宝 / 于冬 / 宁浩 / 杜汶泽
