评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
7.8, 日本, 又吉直树 / 蓬莱龙太, 136分钟,20953, 行定勋, 剧情 / 爱情, Theatre / Theater / A Love Story, 日语, tt10650424, 2020-07-17(日本),剧场, 山崎贤人 / 松冈茉优 / 宽一郎 / 伊藤沙莉 / 井口理 / 浅香航大 / 上川周作 / 大友律 / 三浦诚己
7.6, 日本, 堀泉杏 / 水城雪可奈, 131分钟,23840, 行定勋, 剧情 / 同性, 爱在末路之境(港/台) / 优柔有情人 / 穷鼠梦见奶酪 / 穷鼠的奶酪之梦 / The Cornered Mouse Yearns Cheese, 日语, tt9770716, 2020-09-11(日本),穷途鼠的奶酪梦, 大仓忠义 / 成田凌 / 吉田志织 / 咲妃美悠 / 佐藤穗奈美 / 小原德子
4.3, 日本, 徳尾浩司, 108分钟,3050, 清水康彦, 悬疑 / 惊悚, 心慌方 日本版 / 死亡立方(港) / 超栗方杀阵(台) / CUBE异次元杀阵：最后一次进去 / CUBE, 日语, tt13975458, 2021-10-22(日本),心慌方, 菅田将晖 / 杏 / 冈田将生 / 斋藤工 / 吉田钢太郎 / 田代辉 / 柄本时生
7.8, 日本, 佐藤大, 87分钟,15455, 石黑恭平, 动画, 言语如汽水般喷涌而出 / Words Bubble Up Like Soda Pop, 日语, tt12735338, 2020-07-25(上海电影节) / 2021-07-22(日本),言语如苏打般涌现, 藤间斋 / 杉咲花 / 潘惠美 / 花江夏树 / 梅原裕一郎 / 中岛爱 / 诸星堇 / 伊藤静 / 铃木实里 / 神谷浩史 / 坂本真绫 / 内匠靖明 / 森奈奈子 / 久川绫 / 沼仓爱美 / 柳田淳一 / 津田英三 / 所河瞳 / 佐久间元辉 / 三轮夏纪 / 吉富英治 / 平真纯 / 杉崎亮 / 江越彬纪 / 村上裕哉 / 小林千晃 / 真木骏一 / 大地叶 / 清水彩香 / 长谷川育美 / 贯井柚佳 / 井上喜久子 / 山寺宏一
8.1, 日本, 晓佳奈 / 吉田玲子, 140分钟,12163, 石立太一, 剧情 / 爱情 / 动画 / 奇幻,, 日语, tt8652818, 2020-09-18(日本) / 2021-10-13(美国网络),紫罗兰永恒花园 剧场版, 石川由依 / 浪川大辅 / 子安武人 / 木内秀信 / 户松遥 / 内山昂辉 / 远藤绫 / 茅原实里 / 水桥香织 / 佐藤利奈 / 松元惠 / 诸星堇 / 中田让治 / 间宫康弘 / 宫本充 / 筱原惠美 / 京田尚子 / 引坂理绘 / 川澄绫子 / 远藤大智 / Mayuno Yasokawa
7.0, 日本, 林民夫, 130分钟,11949, 濑濑敬久, 爱情, 情系一线(港) / Yarn / Threads - Our Tapestry Of Love / 线：爱在相逢时(台), 日语, tt10467054, 2020-08-21(日本),线, 菅田将晖 / 小松菜奈 / 荣仓奈奈 / 斋藤工 / 成田凌 / 二阶堂富美 / 山本美月 / 高杉真宙 / 倍赏美津子 / 片寄凉太 / 松重丰 / 竹原皮斯托 / 田中美佐子 / 山口纱弥加 / 永岛敏行 / 马场富美加
9.0, 日本, 大森贵弘 / 村井贞之 / 绿川幸, 51分钟,12571, 大森贵弘 / 伊藤秀树, 动画 / 奇幻, 夏目友人帐 特别上映版 唤石与可疑访客(港) / 夏目友人帐 特别上映版(台) / 夏目友人帐 唤石者与怪异的访客, 日语, tt13210990, 2021-01-16(日本),夏目友人帐：石起和可疑来访者, 神谷浩史 / 井上和彦 / 堀江一真 / 黑田崇矢 / 冈村明美 / 长岛雄一 / 松山鹰志 / 下崎纮史
7.3, 日本, 古泽良太, 124分钟,31827, 田中亮, 剧情 / 喜剧, 信用欺詐師JP：公主篇(港) / 行骗天下 剧场版：公主篇 / コンフィデンスマンJP 続編, 日语, tt12767996, 2020-07-23(日本),行骗天下JP：公主篇, 长泽雅美 / 东出昌大 / 小日向文世 / 白滨亚岚 / 关水渚 / 古川雄大 / 柴田恭兵 / 北大路欣也 / 三浦春马 / 竹内结子 / 广末凉子 / 江口洋介
6.6, 日本, 长崎尚志, 125分钟,8937, 永井聪, 悬疑 / 犯罪, Character, 日语, tt14118266, 2021-06-11(日本),角色, 菅田将晖 / 深濑慧 / 小栗旬 / 高畑充希 / 中村狮童
8.5, 日本, 富野由悠季 / 武藤康之, 98分钟,11424, 村濑修功, 剧情 / 科幻 / 动画 / 战争, Mobile Suit Gundam Hathaway, 日语, tt13288678, 2021-06-11(日本),机动战士高达 闪光的哈萨维, 小野贤章 / 上田丽奈 / 诹访部顺一 / 齐藤壮马 / 津田健次郎 / 石川由依 / 落合福嗣 / 武内骏辅 / 早见沙织 / 松冈美里 / 泽城千春 / 宫崎游 / 天崎滉平 / 绵贯龙之介 / 田中光 / 草野峻平 / 种崎敦美 / 新祐树 / 绫见有纪 / 鹫见昂大 / 尼古拉·法莱那泽 / 越后屋浩介 / 藤高智大 / Volcano太田 / 川口启史 / 田村千惠 / 井川秀荣 / 吉富英治 / 木曾宽子 / 佐佐木祐介 / 吉田健司 / 高桥雏子 / 高桥大辅 / 泷村直树 / 福西胜也 / 佐伯美由纪 / 本多新也 / 木野日菜 / 内田绅一郎 / 樱冈敦子 / 地藏堂武大 / 川上洋平 / 矶部宽之 / 白井真辉 / ASHLEY / JAMES / SAYAKA / 山寺宏一 / 佐佐木望 / 川村万梨阿 / 古谷彻
