评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
7.0, 泰国,,,2903,, 爱情 / 同性,, 泰语, tt8403550,,醉后爱上你2, 巴功·他那瓦凌猜 / 纳塔朋·迪洛那瓦立
7.7, 中国大陆, 陈思诚 / 程佳客 / 刘凯 / 白鹤, 135分钟,758161, 陈思诚, 喜剧 / 动作 / 悬疑, 唐人街·探案 / 唐探 / Detective Chinatown, 汉语普通话 / 泰语 / 英语, tt5290882, 2015-12-31(中国大陆),唐人街探案, 王宝强 / 刘昊然 / 佟丽娅 / 陈赫 / 肖央 / 小沈阳 / 潘粤明 / 马浴柯 / 张子枫 / 赵英俊 / 桑平 / 金士杰 / 大鹏 / 张国强 / 李叶青 / 陈祉希 / 戴墨
7.5, 泰国,,,734,, 剧情 / 爱情, Krachao Seeda / 攀龙附凤, 泰语,,,马兜铃, 沃拉娜特·旺萨莞 / 吉拉宇·丹特古 / 安莎达彭·斯莉瓦塔娜功 / 皮特.考普.狄瑞恩达尔
7.9, 泰国, 韦西·沙赞那庭, 100分钟,7327, 韦西·沙赞那庭, 喜剧 / 爱情 / 奇幻, 城里的乡下人 / Mah nakorn / Citizen Dog, 泰语, tt0444778, 2004-12-12,大狗民, 马哈萨穆特·布恩亚鲁克 / Saengthong Gate-Uthong / 彭力·云旦拿域安
7.8, 泰国, 巴妮丽,,10361, 安湃鹏·吉美诺, 爱情, 法定丈夫 / Ok Keub Hak Ab Ruk Khun Samee / My Husband in Law, 泰语,,,我的法定老公, 普林·苏帕拉 / 尼塔莎·吉拉尤吉恩 / 皮察帕·潘瑟麦察达 / 叻叻那·功多尔宁 / 阿玉松·玛尼提 / 那·特哈沙丁·那·阿育他亚
5.7, 泰国,, 107分钟,5908, 普安农, 惊悚 / 恐怖, 鬼婴庙(台) / 未出生的婴儿 / 2002 The Unborn Child / Sop Dek 2002, 泰语, tt2372429, 2011-03-10(泰国),婴尸, Arisara Tongborisuth / Pitchanart Sakakorn / Somchai Khemklad
7.9, 泰国, 尼提瓦·塔拉吞 / 梭巴纳·曹威瓦恭, 130分钟,53077, 尼提瓦·塔拉吞, 剧情 / 爱情, 与伽利略一起逃亡 / Dear Galileo / 旅逃愉快(港), 泰语 / 英语 / 法语 / 意大利语, tt1865460, 2009-07-23(泰国),亲爱的伽利略, 楚缇玛·提潘娜特 / 札玲朋·尊克迪 / 雷·麦克唐纳 / 阿黛尔·海瑟·泰勒 / 塔妮雅·乌玛里楚蒂 / 塔纳恭·秦棍 / 汪撒孔·拉萨米塔特 / 吉拉瓦·瓦吉纳萨兰帕 / Chamni Thipmanee / 甘·纯郝哇
7.4, 泰国, 班庄·比辛达拿刚 / Nontra Khumvong / 辰塔维·塔纳西维, 134分钟,7879, 班庄·比辛达拿刚, 剧情 / 爱情, 一日情人(港) / 一日恋人(台) / 一日情侣 / One Day / Fan­day / Fan Kun Khae Wan Diaw, 泰语, tt6168298, 2017-04-07(中国台湾) / 2016-09-15(泰国),相爱一天, 辰塔维·塔纳西维 / 尼塔莎·吉拉尤吉恩 / 提叻巴·萨乍恭
6.3, 泰国,,,251, Achira Nokthet, 剧情 / 爱情 / 同性, The Tuxedo / สูทรักนักออกแบบ, 泰语,,,裁定终身, 林亦乐 / 蔡辰逸 / 甘塔帕·凯森山·那·阿育他亚 / 坤纳帕·琵查沃拉邬 / Tape Worrachai Sirikongsuwan / Ormsin Supitcha Limsommut
6.2, 泰国, 阿瑟·F·古德里奇, 105分钟,30415, 萨拉萨瓦蒂·翁索姆佩奇, 剧情 / 爱情," 是否敢爱2 / Not Love, Don't Block the Heart / Yes or No2", 泰语, tt2589640, 2012-08-16(泰国),想爱就爱2, 苏查拉·玛娜英 / 素帕娜·吉塔勒拉 / 李敏恩
