评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
5.5, 日本, 大森立嗣 / 今村夏子, 110分钟,551, 大森立嗣, 家庭, 星星的孩子 / Child of the Stars, 日语, tt11409136, 2020-10-09(日本),星之子, 芦田爱菜 / 永濑正敏 / 原田知世 / 冈田将生 / 大友康平 / 高良健吾 / 黑木华 / 莳田彩珠 / 新音
5.8, 日本, 清水友佳子,,548, 武正晴, 剧情, 皇家酒店, 日语, tt12440108, 2020-11-13(日本),皇家宾馆, 波瑠 / 松山研一 / 余贵美子 / 原扶贵子 / 伊藤沙莉 / 冈山天音 / 夏川结衣 / 安田显
6.3, 日本,, 103分钟,347, 川上亮, 惊悚 / 恐怖,, 日语,, 2020-11-12(日本),人狼游戏 死亡游戏的运营人, 小越勇辉 / 中岛健 / ウチクリ内倉 / 花柳のぞみ
6.6, 日本, 江良至 / 松井香奈 / 角川春树 / 髙田郁, 132分钟,762, 角川春树, 剧情,, 日语, tt12299728, 2020-07-26(上海电影节) / 2020-10-16(日本),澪之料理帖, 松本穗香 / 奈绪 / 若村麻由美 / 浅野温子 / 洼冢洋介 / 小关裕太 / 永岛敏行 / 中村狮童 / 藤井隆 / 野村宏伸 / 渡边典子 / 卫藤美彩 / 村上淳 / 反町隆史 / 榎木孝明 / 鹿贺丈史 / 药师丸博子 / 石坂浩二
6.0, 日本, 富永昌敬 / 劔樹人, 117分钟,763, 今泉力哉, 剧情, 那个时候 / あの頃。男子かしまし物語, 日语, tt14799066, 2021-02-19(日本),那个时候～男子喧闹物语, 松坂桃李 / 仲野太贺 / 山中崇 / 若叶龙也 / 芹泽兴人 / 大下浩人 / 小門建太郎 / 木口健太 / 中田青渚 / 片山友希 / 西田尚美
5.7, 日本, 冈崎京子, 105分钟,369, 濑田夏希, 剧情 / 爱情, 透视画男孩，全景画女孩(台) / Diorama Boy and Panorama Girl, 日语, tt13977868, 2020-11-06(日本),透视画男孩与全景画女孩, 山田杏奈 / 铃木仁 / 森田望智 / 成海璃子 / 大塚宁宁 / 齐藤阳一郎 / 黑田大辅
7.1, 日本, 福田卓郎 / 石森章太郎,,341, 柴崎贵行, 动作 / 奇幻,, 日语, tt13291194, 2020-12-18(日本),剧场短篇 假面骑士圣刃 不死鸟的剑士与破坏的书, 内藤秀一郎 / 山口贵也 / 川津明日香 / 青木瞭 / 生岛勇辉 / 岡宏明 / 谷口贤志
6.2, 日本, 小川智子 / 椰月美智子, 124分钟,510, 濑濑敬久, 剧情, 明日的餐桌, 日语, tt14424482, 2021-05-28(日本),明天的餐桌, 菅野美穗 / 高畑充希 / 尾野真千子 / 外川燎 / 柴崎枫雅 / 阿久津庆人 / 和田聪宏 / 大东骏介 / 真行寺君枝 / 烏丸せつこ / 山口纱弥加 / 山田真步 / 藤原季节 / 菅田俊 / 水崎绫女 / 宇野祥平 / 大岛优子
5.3, 日本, 山浦雅大 / 秦建日子, 99分钟,1298, 波多野贵文, 剧情 / 悬疑, Silent Tokyo / 圣诞杀戮日(台), 日语, tt12735178, 2020-12-04(日本),沉默东京, 佐藤浩市 / 石田百合子 / 西岛秀俊 / 中村伦也 / 广濑爱丽丝 / 井之胁海 / 胜地凉 / 白石圣
7.0, 日本, 松居大悟, 96分钟,509, 松居大悟, 剧情 / 喜剧, Remain in Twilight, 日语, tt14404728, 2021-04-29(日本),日暮将暮, 成田凌 / 高良健吾 / 若叶龙也 / 滨野谦太 / 目次立树 / 前田敦子 / 饭丰万理江 / 城田优 / 内田理央 / 小林喜日 / 都築拓纪 / 泷藤贤一 / 近藤芳正 / 岩松了 / パパイヤ鈴木 / 藤原季节
