评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
7.5, 日本, 内田英治, 124分钟,1847, 内田英治, 同性, Midnight Swan, 日语, tt12774954, 2020-09-25(日本),午夜天鹅, 草彅刚 / 服部树咲 / 田中俊介 / 吉村界人 / 真田怜臣 / 上野铃华 / 佐藤江梨子 / 平山祐介 / 根岸季衣 / 水川麻美 / 田口智朗 / 真飞圣
7.8, 日本, 田岛列岛 / ふじきみつ彦, 139分钟,2034, 冲田修一, 家庭, 不让孩子知道 / Child Does Not Understand / One Summer Story, 日语, tt11273452, 2020-07-27(上海电影节) / 2021-08-20(日本),孩子不想理解, 上白石萌歌 / 细田佳央太 / 千叶雄大 / 古馆宽治 / 齐藤由贵 / 丰川悦司
6.5, 日本,, 72分钟,2543, 市野龍一, 科幻 / 冒险,, 日语, tt11540212, 2020-08-07(日本),泰迦奥特曼剧场版：新生代之巅, 井上祐贵 / 諒太郎 / 吉永亚由里 / 七濑公 / 新山千春 / 平田雄也 / 小池亮介 / 滨田龙臣 / 石黑英雄 / 高桥健介 / 宇治清高 / 根岸拓哉 / 石丸博也
6.9, 日本, 吉野耕平, 104分钟,2336, 吉野耕平, 剧情, 消失的星期三(台) / Gone Wednesday / Wednesday Disappears, 日语, tt11085478, 2020-06-19(日本),星期三消失了, 中村伦也 / 石桥菜津美 / 中岛步 / 和田理生 / 深川麻衣 / 古关安广
5.8, 日本, 黑田洋介 / 堀越耕平, 104分钟,465, 长崎健司, 动画,, 日语, tt13544716, 2021-08-06(日本),我的英雄学院：世界英雄任务, 山下大辉 / 冈本信彦 / 梶裕贵 / 稻田彻 / 中村悠一 / 三宅健太 / 吉泽亮 / 林原惠美 / 中井和哉 / 伊濑茉莉也 / 榎木淳弥 / 梅原裕一郎 / 坂田将吾 / 野岛裕史
8.8, 日本, 福田卓郎,,566, 上堀内佳寿也, 剧情 / 科幻,, 日语,, 2022-01-28(日本),假面骑士圣刃 深罪的三重奏, 内藤秀一郎 / 山口贵也 / 青木瞭 / 飞鸟凛
8.2, 日本, 村井贞之 / 山田哲弥 / 弐瓶勉, 110分钟,897, 濑下宽之 / 吉平直弘, 科幻 / 动画,, 日语, tt12642574, 2021-05-14(日本),希德尼娅的骑士 编织爱的行星, 逢坂良太 / 洲崎绫 / 丰崎爱生 / 金元寿子 / 樱井孝宏 / 佐仓绫音 / 喜多村英梨 / 大原沙耶香 / 坪井智浩 / 子安武人 / 新井里美 / 田中敦子 / 本田贵子 / 鸟海浩辅 / 阪脩 / 佐藤利奈 / 能登麻美子 / 内田雄马 / 上村祐翔 / 水濑祈 / 冈咲美保
6.8, 日本, 佐藤卓哉 / 井出安轨 / 富田赖子 / 志村贵子, 54分钟,1787, 佐藤卓哉, 剧情 / 动画, 总会有办法的日子 / Happy-Go-Lucky Days, 日语, tt13033818, 2020-10-23(日本),顺其自然的日子, 花泽香菜 / 小松未可子 / 樱井孝宏 / 山下诚一郎 / 木户衣吹 / 石原夏织 / 菲鲁兹·蓝 / 早见沙织 / 岛崎信长 / 田村睦心 / 天崎滉平 / 白石凉子
8.9, 日本, 樋口达人, 120分钟,1318, 古川知宏, 动画 / 奇幻, Revue Starlight the Movie, 日语, tt13593042, 2021-06-04(日本),少女☆歌剧 Revue Starlight 剧场版, 小山百代 / 三森铃子 / 富田麻帆 / 佐藤日向 / 岩田阳葵 / 小泉萌香 / 相羽爱奈 / 生田辉 / 伊藤彩沙 / 津田健次郎 / 名塚佳织 / 筱宫明日香 / 广濑小夜 / 大原沙耶香 / 园崎未惠 / 川澄绫子
8.7, 日本, 高桥悠也 / 石森章太郎,,1921, 杉原辉昭, 科幻,, 日语, tt11928960, 2020-12-18(日本),剧场版 假面骑士零一 REAL×TIME, 高桥文哉 / 冈田龙太郎 / 鹤岛乃爱
