评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
6.6, 日本, 山田あかね, 114分钟,553, 筱原哲雄, 剧情, Inubu, 日语, tt14474554, 2021-06-16(上海国际电影节) / 2021-07-22(日本),犬部！, 林遣都 / 中川大志 / 大原樱子 / 浅香航大 / 田中丽奈 / 酒向芳 / 萤雪次朗 / 岩松了 / 田边桃子 / 安藤玉惠 / しゅはまはるみ / 坂东龙汰
7.0, 日本, 藤井道人, 115分钟,1316, 藤井道人, 剧情, The Brightest Roof in the Universe （英）, 日语, tt12490780, 2020-09-04(日本),宇宙中最明亮的屋顶, 清原果耶 / 桃井薰 / 伊藤健太郎 / 水野美纪 / 山中崇 / 醍醐虎汰朗 / 坂井真纪 / 吉冈秀隆
6.6, 日本, 西条光利 / Kaoru Yukinari, 101分钟,1148, 佐藤祐市, 剧情 / 悬疑, 无名世界的片尾, 日语, tt14393202, 2021-01-29(日本),无名世界的终结, 岩田刚典 / 新田真剑佑 / 山田杏奈 / 中村安奈 / 石丸谦二郎 / 大友康平 / 柄本明
5.7, 日本, 德永友一 / 金田一蓮十郎, 117分钟,841, 耶云哉治, 爱情, liar×liar, 日语, tt12579926, 2021-02-19(日本),谎言×谎言, 松村北斗 / 森七菜 / 小关裕太 / 堀田真由 / 七五三掛龙也 / 相田翔子 / 板橋駿谷 / 竹井亮介
6.2, 日本, 荒木伸二, 111分钟,1304, 荒木伸二, 剧情 / 悬疑, The Town of Headcounts, 日语,, 2020-09-04(日本),人数之町, 中村伦也 / 石桥静河 / 立花惠理 / 山中聪 / 柳英里纱
5.3, 日本, 山本透 / 山浦雅大, 115分钟（日本）,1556, 本广克行, 动作 / 奇幻,, 日语, tt11354144, 2021-03-12(日本),群青战记, 新田真剑佑 / 三浦春马 / 松山研一 / 山崎纮菜 / 铃木伸之 / 渡边圭祐 / 滨田龙臣 / 铃木仁 / 饭岛宽骑 / 福山翔大 / 水谷果穂 / 宫下加奈子 / 市川知宏 / 高桥光臣
5.5, 日本, 池田千寻 / 青山真治 / 小竹正人, 118分钟,718, 青山真治, 剧情, Living in Your Sky, 日语, tt13039130, 2020-10-23(日本),住在空中, 多部未华子 / 岸井雪乃 / 美村里江 / 岩田刚典 / 鹤见辰吾 / 岩下尚史 / 高桥洋 / 大森南朋 / 永濑正敏 / 柄本明
7.1, 日本, 石井裕也, 144分钟,355, 石井裕也, 剧情, 茜色照映 / Burned in Akane / A Madder Red, 日语, tt14316810, 2021-05-21(日本),茜色如烧, 尾野真千子 / 永濑正敏 / 和田庵 / 片山友希 / 小田切让
6.9, 日本, 笔安一幸 / 武内直子, 80分钟,1054, 今千秋, 动画, Pretty Guardian Sailor Moon Eternal The MOVIE Part 2 / 美少女战士Crystal 死亡之月篇 后篇 / 美少女戦士セーラームーンCrystal デッド・ムーン編 後編, 日语,, 2021-02-11(日本) / 2021-06-03(日本网络),美少女战士Eternal 剧场版 后篇, 三石琴乃 / 福圆美里 / 金元寿子 / 佐藤利奈 / 小清水亚美 / 伊藤静 / 野岛健儿 / 藤井雪代 / 大原沙耶香 / 前田爱 / 皆川纯子 / 广桥凉 / 中川翔子 / 村田太志 / 松冈祯丞 / 渡边直美 / 菜菜绪
7.4, 日本, 高桥悠也 / 石森章太郎, 50分钟,475, 笕昌也, 动作,, 日语, tt13667552, 2021-03-26(日本),零一 Others 假面骑士灭亡迅雷, 中川大辅 / 山口大地 / 中山咲月 / 砂川脩弥
7.6, 日本, 东出祐一郎 / 橘公司, 25分钟,855, 中川淳, 动画, 约会大作战 DATE A BULLET / デート・ア・バレット, 日语, tt12350118, 2020-08-14(日本),约会大作战 赤黑新章：虚或实, 真田麻美 / 大西沙织 / 本渡枫 / 伊濑茉莉也 / 日高里菜 / 濑户麻沙美 / 藤原夏海
7.1, 日本, 山田隆司, 92分钟,939, 佐藤顺一 / 镰谷悠, 动画 / 奇幻, 尋找小魔女DoReMi(台), 日语, tt11867418, 2020-11-13(日本),寻找见习魔女, 森川葵 / 松井玲奈 / 百田夏菜子 / 千叶千惠巳 / 秋谷智子 / 松冈由贵 / 宍户留美 / 宫原永海 / 石田彰 / 滨野谦太 / 三浦翔平
7.3, 日本, 能年玲奈, 116分钟,333, 能年玲奈, 剧情, Ribbon, 日语, tt14703070, 2021-06-12(上海电影节) / 2022-02-25(日本),蝴蝶结, 能年玲奈 / 山下莉绪 / 渡边大知 / 菅原大吉 / 春木美沙代 / 小野花梨
