评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
8.3, 泰国, Yingyod Panya,,693, 彭拍·瓦奇拉班桌, 剧情 / 爱情, Thong Neua Kao, 泰语,,,赤金, 沃拉娜特·旺萨莞 / 纳塔吾·斯金杰
7.7, 泰国, 阿努查·本尼雅瓦塔纳 / 瓦苏蒂克·特皮奇, 97分钟,3040, 阿努查·本尼雅瓦塔纳, 剧情 / 爱情 / 同性 / 奇幻, 杀佛美少年(港) / Onthakan / The Blue Hour, 泰语, tt4536494, 2015-02-09(柏林电影节),蓝色时分, Gun Atthaphan Poonsawas / 抔米提·米弯投瓦兰 / Duangjai Hirunsri
7.0, 泰国, JittiRain, 1小时47分钟,147, 维拉奇·通吉拉 / 巴卡夫·阿福·努婆法奈克 / 卡尼萨·坤宇, 爱情 / 同性, 因为我们在交往电影版 / 只因我们天生一对大电影：十年后 / 2gether the Movie / Still 2gether / 命定姻缘 假意成真电影版 / 假偶天成 剧场版 / 假偶天成 大电影, 泰语, tt14296268, 2021-04-22(泰国),假偶天成 电影版, 梅塔文·欧帕西安卡琼 / 辛纳拉·西里朋查瓦雷 / 邱常誉 / 瓦奇拉维特·奇瓦雷 / 萨塔布·莱德克 / 塔纳萨兰·萨姆通莱 / 彩拿甘· 阿旁苏提南 / 格拉维·伯恩司里 / 查亚功·朱塔玛斯 / 塔纳瓦·拉达纳奇派山 / Film Rachanun Mahawan / 帕兰妮·琳帕缇雅空 / 西瓦科恩·勒尔科乔特
4.3, 泰国,, 112分钟,106, 普万尼特·弗迪, 喜剧 / 惊悚, My Boss is a Serial Killer / 老板冲杀小(台), 泰语,, 2021-04-01(泰国),我的老板是连环杀手, 萨哈拉·桑卡布理查 / 莫妲·娜琳叻 / 波莉雀娅·彭娜妮可 / 邦沙敦·宗威拉克
8.0, 泰国,,,4857, 楚克·萨克瑞科, 剧情 / 悬疑 / 同性 / 犯罪, พฤติการณ์ที่ตาย, 泰语, tt13829184,,亡者之谜, 纳塔朋·迪洛那瓦立 / 巴功·他那瓦凌猜 / 格雷特·萨博尔 / 纳塔蓬·皮布塔纳杰
7.4, 中国香港 / 韩国 / 泰国, 苏照彬 / Ek Iemchuen / 金知云 / 陈德森 / 邹凯光 / 许月珍 / 朗斯·尼美毕达 / Nitas Singhamat, 140 分钟 / 120 分钟(香港) / 137 分钟(韩国),29614, 金知云 / 朗斯·尼美毕达 / 陈可辛, 爱情 / 悬疑 / 恐怖 / 奇幻, 쓰리 / Saam gaang / Three, 韩语 / 英语 / 汉语普通话 / 泰语 / 粤语, tt0324242, 2002-08-15(中国香港),三更, 黎明 / 曾志伟 / 原丽淇 / 金惠秀 / 郑普硕 / 李霆锋 / 文晶熙 / 朴熙顺 / 岑建勋 / Suwinit Panjamawat / 崔汀友 / 崔贞媛 / Pornchai Chuvanon
7.0, 法国 / 泰国, 阿彼察邦·韦拉斯哈古, 13分钟,1163, 阿彼察邦·韦拉斯哈古, 剧情 / 短片, 蓝, 泰语, tt9104810, 2018-09-07(多伦多电影节),镜中忧郁, 金吉拉·潘帕斯
7.5, 中国大陆, 杨薇薇 / 翟培 / 李鹏 / 范凯华 / 秦语谦 / 雷声, 112分钟,807238, 柯汶利, 剧情 / 悬疑 / 犯罪, 误杀瞒天记中国版 / Sheep Without a Shepherd / Visual, 汉语普通话 / 泰语, tt11210032, 2019-12-13(中国大陆) / 2020-07-20(中国大陆重映) / 2019-12-07(大规模点映),误杀, 肖央 / 谭卓 / 陈冲 / 姜皓文 / 秦沛 / 边天扬 / 许文姗 / 张熙然 / 施名帅 / 黄健玮 / 陈志朋
7.9, 泰国, Chiffon_Cake / หมีตกมัน,,20145, กาญจนพันธุ์ มีสุวรรณ, 剧情 / 爱情 / 同性, 两个月亮 / 逐月 / 2 Moons the series / เดือนเกี้ยวเดือน เดอะซีรีส์, 泰语, tt8283046,,逐月之月, 苏拉德·皮凌瓦 / 英迪帕·塔尼
7.3, 泰国, 纳瓦彭·坦荣瓜塔纳利, 75分钟,7428, 纳瓦彭·坦荣瓜塔纳利, 剧情, 哪一天我们会死(港) / 明天，最后一天(台), 泰语 / 英语, tt7683696, 2017-09-23(泰国),死于明日, 桑尼·苏瓦美塔农 / 帕查·朋皮雷亚 / 茱蒂蒙·琼查容苏因 / 瓦尔蕾特·瓦帖儿 / 淳妮苷·内醉 / 札玲朋·尊克迪
