评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
8.1, 印度, 维德胡·维诺德·乔普拉 / 拉吉库马尔·希拉尼 / 阿希贾特·乔希, 144分钟,2451, 拉吉库马尔·希拉尼, 剧情 / 喜剧 / 奇幻, 黑道大哥再出击, 北印度语, tt0456144, 2006-09-01(印度),黑帮大佬和平梦, 桑杰·达特 / 阿尔沙德·瓦尔西 / 薇迪亚·巴兰 / 吉米·舍尔吉勒 / 迪雅·莫扎 / 博曼·伊拉尼 / Dilip Prabhavalkar / 库尔布尚·卡尔班达 / 帕里卡沙特.萨赫尼 / 沙鲁巴·舒克拉
9.1, 美国 / 印度 India, 维尔·达斯, 75分钟,879, Ajay Bhuyan / Vir Das, 脱口秀,, 英语, tt11611314, 2020-01-26(美国),维尔·达斯：为了印度, 维尔·达斯
7.6, 印度, 苏乔伊·高什 / 苏雷什·奈尔 / 尼基尔·维亚斯 / 瑞提什·沙阿, 122分钟,7118, 苏乔伊·高什, 剧情 / 惊悚, 追击枕边谜(港) / Story, 印地语 / 孟加拉语 / 英语, tt1821480, 2012-03-09(印度),无畏之心, 薇迪亚·巴兰 / 帕拉姆巴拉塔·查特吉 / 纳瓦祖丁·席迪圭 / 特里蒂曼·查特吉 / 沙肖特·查特吉 / 因德兰尼尔·森古普多 / 达尔尚·杰里瓦拉
, 印度,, 122分钟,, Milind Rau, 剧情 / 悬疑 / 犯罪,, 泰米尔语, tt10973118, 2021-08-13(印度),第三只眼, Ajmal Ameer / M·马尼康丹 / Saran Shakthi / 纳彦塔拉
, 印度,,,,,,, 印地语, tt8240188,,除障者伽内什, Uzair / Akanksha Puri / Makhan Singh / Basant Bhatt
7.8, 印度, 维克拉姆·库马尔, 164分钟,4079, 维克拉姆·库马尔, 动作 / 爱情 / 科幻,, 泰米尔语, tt4981966, 2016-05-06(印度),24：逆转时空, 苏利耶·西瓦库马 / 萨曼莎·鲁斯·帕布 / 内森·梅农
9.0, 中国大陆, 韩家女 / 钟伟 / 文牧野, 117分钟,1887805, 文牧野, 剧情 / 喜剧, 中国药神 / 印度药神 / 印度药商 / 生命之路 / Dying to Survive / Drug Dealer, 汉语普通话 / 英语 / 上海话 / 印地语, tt7362036, 2018-07-05(中国大陆) / 2018-06-30(大规模点映),我不是药神, 徐峥 / 王传君 / 周一围 / 谭卓 / 章宇 / 杨新鸣 / 王佳佳 / 王砚辉 / 贾晨飞 / 龚蓓苾 / 宁浩 / 李乃文 / 岳小军 / 苇青 / 富冠铭 / 巴拉特·巴蒂 / 喜利图 / 张海艳 / 朱耕佑
7.1, 印度, Aseem Arora / Aniruddha Guha / 莫希特·苏里, 135分钟,780, 莫希特·苏里, 动作 / 犯罪, 马郎 / Malang - Unleash the Madness / Vagrant, 印地语, tt9877170, 2020-02-07(印度),疯狂流浪者, 阿迪亚·罗伊·卡普尔 / 亚尼·卡普 / 迪莎·帕塔尼 / 库纳尔·赫姆 / 阿姆鲁塔·可汗维卡尔 / Devika Vatsa / Mehak Manwani / Angela Krislinzki / Elli AvrRam / Shaad Randhawa
7.5, 印度 / 美国 / 法国 / 意大利 / 德国, 萨布里纳·德霍万, 114分钟,2322, 米拉·奈尔, 剧情 / 喜剧 / 爱情, 偷欢嫁期(港) / 雨季的婚礼, 英语 / 北印度语 / 旁遮普语 / 乌尔都语, tt0265343, 2001-08-31(威尼斯电影节) / 2001-12-12(法国),季风婚宴, 纳萨鲁丁·沙 / 莉蕾特·杜贝 / 莎法莉·什提 / 维贾伊·拉齐 / 蒂洛塔玛·索姆 / 瓦孙达拉·达斯 / 帕尔文·达巴斯 / 库尔布尚·卡尔班达 / Kamini Khanna / 拉贾特·卡普尔 / Neha Dubey / Kemaya Kidwai / 伊沙·奈尔 / 兰迪普·弘达 / 罗珊·塞斯 / 索妮·拉兹丹 / 拉姆·卡普尔 / 萨布里纳·德霍万 / 米拉·奈尔
7.1, 印度, 李维克·伽塔克, 143 分钟 / 128 分钟(BFI print),81, 李维克·伽塔克, 剧情,, Bengali, tt0056537, 1965-10-01(印度),金线, Abhi Bhattacharya
