评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
6.3, 中国大陆, 青枚 / 武聪,,206465, 谢泽, 剧情 / 悬疑 / 古装, 洛阳, 汉语普通话, tt16527564,,风起洛阳, 黄轩 / 王一博 / 宋茜 / 宋轶 / 咏梅 / 刘端端 / 张铎 / 张俪 / 张晞临 / 高曙光 / 施羽 / 宁文彤 / 冯晖 / 郑家彬 / 蒋龙 / 张峻鸣 / 韩帅 / 刘梦珂 / 刘恩佳 / 张芷箖 / 宁小花 / 李俊贤 / 王漪淼 / 王霏 / 令卓 / 蔡卓音 / 张兴泽 / 孟秀 / 易照博 / 王伟华 / 曾一萱 / 从瑞麟 / 韩朔 / 赵茜 / 李淑婷 / 李晟烨 / 何星雨 / 于永海 / 李子峰 / 宫正楠 / 言杰 / 魏辰妃 / 胡博 / 吴濠 / 褚翰
7.7, 中国大陆, 贾玲 / 孙集斌 / 王宇 / 刘宏禄 / 卜钰 / 郭宇鹏, 128分钟,1255374, 贾玲, 剧情 / 喜剧 / 奇幻," Hi, Mom / こんにちは、私のお母さん", 汉语普通话, tt13364790, 2021-02-12(中国大陆),你好，李焕英, 贾玲 / 张小斐 / 沈腾 / 陈赫 / 刘佳 / 丁嘉丽 / 王琳 / 杜源 / 何翯 / 何欢 / 韩云云 / 包文婧 / 葛珊珊 / 史策 / 黄小猫 / 许君聪 / 卜钰 / 刘宏禄 / 魏翔 / 孙集斌 / 张泰维 / 郭宇鹏 / 朱天福 / 王宇 / 冯巩 / 乔杉 / 王小利 / 宋晓峰 / 董若溪 / 曹贺军 / 赵婷婷 / 姬晴 / 郭祥鹏 / 李一峰 / 潘斌龙
7.6, 中国大陆 / 中国香港, 全勇先 / 张艺谋, 120分钟,656468, 张艺谋, 剧情 / 动作 / 悬疑, Impasse / Cliff Walkers, 汉语普通话 / 英语 / 俄语, tt11448076, 2021-04-30(中国大陆),悬崖之上, 张译 / 于和伟 / 秦海璐 / 朱亚文 / 刘浩存 / 倪大红 / 李乃文 / 余皑磊 / 飞凡 / 雷佳音 / 沙溢 / 韩昊霖 / 赵毅
, 中国大陆, 蓝白色 / 胡一然 / 刘美丽 / 童靓妮 / 赵卓琳,,, 臧溪川, 剧情 / 爱情 / 悬疑, Dream Garden, 汉语普通话, tt14496552,,沉睡花园, 龚俊 / 乔欣 / 经超 / 孙铱 / 张铎 / 周奇奇 / 王泽轩
4.3, 中国大陆, 陈珠珠 / 罗兆粦 / 别克 / 赵颢喆, 105分钟,114684, 别克, 剧情 / 惊悚 / 犯罪, The Door Lock, 汉语普通话, tt13010918, 2021-11-19(中国大陆),门锁, 白百何 / 白客 / 范丞丞 / 王紫璇 / 马浴柯 / 刘欢 / 刘頔 / 吕晓霖 / 沙宝亮 / 朱泳腾 / 杜若溪 / 郭佳伊 / 金車厘子
5.9, 中国大陆, 朱炫 / 范文文 / 黄海 / 王亚鹤 / 潘依然 / 常小琥, 123分钟,186426, 郭子健, 剧情 / 悬疑 / 冒险, 古董局中局电影版 / Schemes In Antiques, 粤语 / 汉语普通话, tt11482948, 2021-12-03(中国大陆),古董局中局, 雷佳音 / 李现 / 辛芷蕾 / 葛优 / 郭涛 / 咏梅 / 王庆祥 / 赵燕国彰 / 杨新鸣 / 阿如那 / 纪焕博 / 秦焰 / 佐藤丽 / 松峰莉璃
7.7, 中国大陆, 陈宇, 96分钟,177737, 张艺谋 / 张末, 剧情 / 历史 / 战争, 最冷的枪 / Snipers, 汉语普通话 / 英语, tt13317320, 2022-02-01(中国大陆),狙击手, 陈永胜 / 章宇 / 张译 / 刘奕铁 / 黄炎 / 王梓屹 / 陈铭杨 / 王乃训 / 程泓鑫 / 赵琥成 / 李汶聪 / 林博洋 / 王佑名 / 代文博 / 李昆 / 曹操 / 柯国庆 / 钱焜 / 暗真 / 柯南·何裴 / 李凯文 / 勃小龙 / 孟丹青 / 叶风光
6.5, 中国大陆, 邢文雄, 109分钟,329712, 邢文雄, 喜剧, Too Cool To Kill, 汉语普通话, tt16254308, 2022-02-01(中国大陆),这个杀手不太冷静, 马丽 / 魏翔 / 陈明昊 / 周大勇 / 黄才伦 / 艾伦 / 高海宝 / 韩笑 / 孙贵权 / 许猛 / 全容杓 / 卜俊男 / 张志忠 / 张建新 / 马驰 / 陶亮 / 詹卢卡·佐帕
7.4, 中国大陆, 周楚岑 / 修梦迪 / 文牧野 / 韩晓邯 / 钟伟, 106分钟,311446, 文牧野, 剧情, 奇迹 / 奇迹年代 / Nice View, 汉语普通话, tt15783462, 2022-02-01(中国大陆),奇迹·笨小孩, 易烊千玺 / 田雨 / 陈哈琳 / 齐溪 / 公磊 / 许君聪 / 王宁 / 黄尧 / 巩金国 / 田壮壮 / 王传君 / 章宇 / 张志坚 / 咏梅 / 杨新鸣 / 徐峥 / 岳小军 / 朱俊麟 / 王丽涵 / 贾弘逍 / 韩笑 / 孙征宇 / 黄艺馨 / 修梦迪 / 苏子航 / 郑伊倩 / 丁文博 / 陈翊曈
9.0, 中国大陆, 韩家女 / 钟伟 / 文牧野, 117分钟,1887632, 文牧野, 剧情 / 喜剧, 中国药神 / 印度药神 / 印度药商 / 生命之路 / Dying to Survive / Drug Dealer, 汉语普通话 / 英语 / 上海话 / 印地语, tt7362036, 2018-07-05(中国大陆) / 2018-06-30(大规模点映),我不是药神, 徐峥 / 王传君 / 周一围 / 谭卓 / 章宇 / 杨新鸣 / 王佳佳 / 王砚辉 / 贾晨飞 / 龚蓓苾 / 宁浩 / 李乃文 / 岳小军 / 苇青 / 富冠铭 / 巴拉特·巴蒂 / 喜利图 / 张海艳 / 朱耕佑
