评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
5.3, 印度, 约瑟夫·巴西莱, 158分钟,175, 约瑟夫·巴西莱, 喜剧 / 动作,, 印地语, tt7268738, 2021-12-24(印度),闪电重生, 托维诺·托马斯 / Guru Somasundaram / 阿朱·瓦尔吉斯 / Baiju / Harisree Asokan / Sneha Babu / Mammukoya
8.6, 印度, Sahir Raza,,1950, Sahir Raza, 同性,, 印地语 / 英语, tt11646658,,已婚的女人, 莫妮卡.朵格拉 / 里迪·多格拉
7.5, 印度 / 伊朗, 迈赫兰·卡沙尼 / 马基德·马基迪, 120分钟,12878, 马基德·马基迪, 剧情 / 家庭, 云之上 / Floating Gardens, 英语 / 印地语, tt3224288, 2019-05-24(中国大陆) / 2017-10-13(伦敦电影节) / 2018-04-20(印度),云端之上, 艾萨·安哈尔 / 马拉维卡·莫哈南 / 哥泰·高斯 / G·V·沙拉达 / 塔妮莎·查特吉 / 沙山克·申德 / 赫马·辛格 / 阿卡什·戈帕尔 / 达万尼·拉杰什 / 阿姆鲁塔·桑托什·塔库尔 / 希瓦姆·普加利 / 雷蒙德·狄索萨 / 米尔·马尔泽 / 萨塔吉特·拉吉普特 / 希巴·沙阿
, 印度, 阿鲁拉贾·卡马拉吉, 145分钟 / 120分钟(中国大陆),, 阿鲁拉贾·卡马拉吉, 剧情 / 运动, 加纳, 泰米尔语, tt8458718, 2022-03-18(中国大陆) / 2018-12-21(印度),印度女孩, 艾西瓦娅·拉杰什 / 萨嘉拉吉 / 斯瓦卡蒂恩
9.0, 英国 / 印度, 雷思丽·尤德文, 63分钟,18702, 雷思丽·尤德文, 纪录片 / 犯罪,, 英语, tt4058426, 2015-01(美国) / 2015-03-04(英国),印度的女儿, 阿莎·德维 / 巴德里·辛格 / Satendra / 穆克什·辛格 / M.L. Sharma / Vinay Sharma / Pawan Gupta / Akshay Thakur / A.P. Singh / Leila Seth / Maria Misra / Sandeep Govil / Raj Kumar / Rashmi Ahuja / Pramod Kushwa / 索尼娅·甘地
7.7, 印度, 安布哈雅·辛哈, 141分钟,4229, 安布哈雅·辛哈, 剧情 / 惊悚 / 犯罪, 印度宪法第15条, 印地语, tt10324144, 2019-06-28(印度),第15条, 阿尤斯曼·库拉纳 / Manoj Pahwa / Isha Talwar / 沙尤尼·古普塔 / Ashish Verma / 朗吉·查克拉博蒂 / Aakash Dabhade
6.8, 印度 India, 苏库玛 / 斯里坎特·维萨, 179分钟,116, 苏库玛, 剧情 / 动作 / 犯罪 / 冒险,, 泰卢固语 Telugu, tt9389998, 2021-12-17(印度),普什帕：崛起-第1部分, 阿卢·阿尔军 / 法哈德·法西尔 / 拉什米卡·曼丹娜 / 贾加帕蒂·巴布 / 普拉卡什·拉贾 / 达南再也 / 苏尼尔 / 哈里什·乌达曼 / 维尼拉·基肖尔 / 安那莎·巴拉德瓦杰 / 拉伊斯卡尔·阿宁吉 / 萨曼莎·鲁斯·帕布 / 拉奥·拉梅什 / 戴亚南德·雷迪
8.5, 加拿大 / 印度, 阿努拉格·卡施亚普 / 迪帕·梅塔, 117分钟,5119, 迪帕·梅塔, 剧情 / 爱情, 祸水 / 月亮河 / River Moon / 止水上的浮花, 北印度语, tt0240200, 2005-11-04,水, Lisa Ray / John Abraham / Seema Biswas
7.5, 印度, Crazy Mohan / S·S·拉贾穆里 / Janardhan Maharshi / Vijayendra Prasad / S.S. Kanchi, 134分钟,39074, S·S·拉贾穆里 / J.V.V. Sathyanarayana, 喜剧 / 动作 / 奇幻, 终极唬神：爱的大复仇(台) / 蝇侠传说 / 苍蝇侠, 泰卢固语 / 泰米尔语 / 印地语 / 坎纳达语 / 马拉雅拉姆语, tt2258337, 2012-07-05(印度),功夫小蝇, 纳尼 / 萨曼莎·鲁斯·帕布 / 苏迪普 / Santhanam / Srinivasa Reddy
7.0, 印度, 桑杰·马索姆 / 维贾伊·库马尔·米什拉 / 拉吉施里·苏德哈卡尔, 133分钟,23672, 桑吉·古普塔, 动作 / 悬疑 / 犯罪,, 印地语, tt5460276, 2019-06-05(中国大陆) / 2017-01-25(印度),无所不能, 赫里尼克·罗斯汉 / 雅弥·郭德姆 / 洛尼特·罗伊 / 罗伊特·罗伊 / 纳任迪拉·吉哈 / 吉里什·库卡尼 / 萨希杜·拉哈曼 / 苏雷什·梅农 / 阿西夫·阿里·贝格 / 沙棘·乔杜里 / 海伦娜·方塞卡 / 帕尔维·雅斯瓦尔 / 赫希尔德拉·米什拉 / 罗基·雷纳 / 玉尔娃希.拉吾塔拉 / 拉杰·夏尔马
