评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
9.0, 泰国, Bee Pongset Laksamipong / Pratchaya Thavornthummarut / Best Kittisak Kongka,,31631, 巴卡夫·阿福·努婆法奈克, 喜剧 / 爱情 / 同性, 坏哥们 / 是朋友还是男友 / 冤家男友 / 非敌非友 / 是朋友啊朋友 / Bad Buddy Series / Bad Buddy, 泰语, tt13660938,,两小无拆, 格拉帕·格潘 / 欧帕瓦·吉沙晚迪 / 帕兰妮·琳帕缇雅空 / Jitaraphol Potiwihok / 萨塔布·莱德克 / 帕洪·吉亚查陇 / Theepakorn Kwanboon / Thakorn Promsatitkul / Pakin Kunaanuvit / Leo Putt / 塔纳瓦特·斯里瓦塔纳功 / Passin Reungwoot / Paradee Yupasuk / Chertsak Pratumsrisakhon / 帕恩莎·沃斯拜茵 / 罗宁·提姆 / 吉迪朋·瑟利维查亚萨瓦 / 纳帕特·帕查拉恰瓦雷 / 巴卡夫·阿福·努婆法奈克
8.4, 泰国, 普特鹏·普罗萨卡·那·萨克那卡林, 118分钟(泰国) / 100分钟(中国大陆),904355, 普特鹏·普罗萨卡·那·萨克那卡林 / 华森·波克彭, 剧情 / 喜剧 / 爱情, 初恋那件小事(港) / 暗恋那点小事 / 叫做爱的小事 / Sing lek lek tee reak wa rak / A Little Thing Called Love / First Love, 泰语 / 印度尼西亚语 / 英语, tt1859438, 2012-06-05(中国大陆) / 2010-08-12(泰国),初恋这件小事, 平采娜·乐维瑟派布恩 / 马里奥·毛瑞尔 / 苏达拉·布查蓬 / 雅尼卡·桑普蕾舞 / 诺特·阿查拉那·阿瑞亚卫考 / 皮拉瓦特·赫拉巴特 / 普特鹏·普罗萨卡·那·萨克那卡林 / 华森·波克彭
6.4, 泰国 / 韩国, 辰塔维·塔纳西维 / 罗泓轸 / 班庄·比辛达拿刚 / Siwawut Sewatanon / Cha-won Choi, 130分钟,116778, 班庄·比辛达拿刚, 恐怖, 萨满(台) / 凶灵祭(港) / 朗宗 / Rang Zong / Rang Song / Rangjong / The Medium / 랑종, 泰语, tt13446168, 2021-07-14(韩国),灵媒, 纳瑞拉·库尔蒙科尔佩特 / 萨尼·乌托玛 / 邦松·纳卡普 / Sirani Yankittikan / Yasaka Chaisorn / Arunee Wattana / Thanutphon Boonsang / Pakapol Srirongmuang / Akkaradech Rattanawong / Chatchawat Sanveang / Yossawat Sittiwong / Arnon Losiripanya / Klangchon Chuekham / Sayan Phiwchan / Sakchai Yukhachen
8.9, 美国,, 107分钟,7294, 金国威 / 伊丽莎白·柴·瓦沙瑞莉, 纪录片,, 英语, tt9098872, 2021-09-02(特柳赖德电影节) / 2021-10-08(美国),泰国洞穴救援, Bancha Duriyapunt / Apakorn Youkongkaew / Anan Surawan / Woranan Ratrawiphukkun / Vern Unsworth / Weerasak Kowsurat / Rick Stanton / John Volanthen / Connor Roe / Richard Harris / Siriporn Bangnoen / Ruengrit Changkwanyuen / Suratin Chaichoomphu / Ben Svasti Thomson / Saman Gunan
7.7, 哥伦比亚 / 泰国 / 法国 / 德国 / 墨西哥 / 卡塔尔 / 英国 / 中国大陆 / 瑞士, 阿彼察邦·韦拉斯哈古, 136分钟,6002, 阿彼察邦·韦拉斯哈古, 剧情,, 英语 / 西班牙语, tt8399288, 2022(中国大陆) / 2021-07-15(戛纳电影节) / 2021-09-30(哥伦比亚),记忆, 蒂尔达·斯文顿 / 让娜·巴利巴尔 / 艾格尼丝·布雷克 / 埃尔金·迪亚兹 / 胡安·帕布罗·乌雷戈 / 丹尼尔·希梅内斯·卡乔 / Jerónimo Barón / Constanza Gutierrez / Daniel Toro
8.2, 泰国, 塔妮达·汉塔维瓦塔娜 / 瓦苏红·皮娅罗姆娜 / 纳塔吾·彭皮里亚, 130分钟,664956, 纳塔吾·彭皮里亚, 剧情 / 悬疑 / 犯罪, 出猫特攻队(港) / 模犯生(台) / 完美作弊 / 高智商的作弊游戏 / 坏天才 / Bad Genius / Chalard games goeng, 泰语 / 英语, tt6788942, 2017-10-13(中国大陆) / 2017-05-03(泰国),天才枪手, 茱蒂蒙·琼查容苏因 / 查侬·散顶腾古 / 依莎亚·贺苏汪 / 披纳若·苏潘平佑 / 塔内·瓦拉库努娄 / 莎琳雷特·托马斯 / 伊戈·米基塔斯 / 帕辛·宽萨塔彭 / 萨哈贾克·波斯安吉特 / 坎嘉娜·维耐潘尼 / 育塔彭·瓦拉努科洛楚 / 诺帕瓦特·里基特王
9.3, 泰国, 纳卢拜·库诺 / Naron Cherdsoongnern / Karakade Norasethaporn,,196610, 纳卢拜·库诺, 剧情 / 爱情 / 同性, 一心一译 / 请用一心爱我 / 君心释爱 / I Told Sunset About You / BKPP The Series, 泰语 / 汉语普通话, tt13368804,,以你的心诠释我的爱, 普提蓬·阿萨拉塔纳功 / 克里特·安努艾德奇康 / 纳特·奇查理 / 朋抔·潘亚密特 / 吉拉宇·考拜迈 / 提塔特·苏克因 / 克里斯蒂安·波斯 / Parada Thitawachira / Kanchana Pakviwat / Prapassorn Chansatitporn / Udom Lalitnithi / Fu Nan / Pitchanan Jiemsirikarn / Inthanon Seangsiripaisarn / Rapeepat Aimphan
8.9, 泰国, 纳塔彭·蒙空萨瓦,,7913, 阿努查·本尼雅瓦塔纳, 剧情 / 悬疑 / 同性 / 犯罪, 他...不是我 / 我非我 / 那不是我 / 不是我 / Not Me, 泰语, tt13661118,,他不是我, 巴特潘·忽栓 / 钟朋·阿卢迪吉朋 / 卡纳潘·佩泽坤 / 福卢克·加温·卡斯基 / 塔纳查·威吉翁通 / 张翊昕 / 普洛姆皮亚·通普塔拉克 / 拉查楠·玛哈菀 / Bhasidi Petchsutee
8.8, 泰国, 小纳隆·切德索恩, 14分钟,20438, 纳卢拜·库诺, 剧情 / 喜剧 / 短片 / 同性, Last Twilight in Phuket / 以你的心诠释我的爱 番外篇, 泰语,, 2021-05-20(中国大陆),普吉岛的最后黄昏, 普提蓬·阿萨拉塔纳功 / 克里特·安努艾德奇康
7.5, 中国大陆, 徐峥 / 丁丁 / 束焕, 105分钟,723349, 徐峥, 喜剧, 泰囧 / 人在囧途2 / Lost in Thailand, 汉语普通话 / 英语 / 泰语, tt2459022, 2012-12-12(中国大陆),人再囧途之泰囧, 徐峥 / 王宝强 / 黄渤 / 陶虹 / 谢楠 / 范冰冰
