评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
6.8, 日本, 柿原优子 / 清水茜, 112分钟 / 111分钟(中国大陆),8650, 小仓宏文, 喜剧 / 动画, 工作细胞！！强菌袭来，人体肠道大骚动！ / 工作細胞 特別上映版：強「菌」襲來！人體腸道大騷動！, 日语, tt13054188, 2021-04-09(中国大陆) / 2020-09-05(日本),工作细胞：细胞大作战, 花泽香菜 / 前野智昭 / 小野大辅 / 井上喜久子 / 长绳麻理亚 / 早见沙织 / 行成桃姬 / 小林裕介 / 吉田有里 / 高桥李依 / 藤原夏海 / 久保由利香 / 石田彰 / 能登麻美子
7.2, 日本, 山田洋次 / 朝原雄三, 125分钟,3985, 山田洋次, 剧情, 向影神祈祷 / It's A Flickering Life / Kinema no Kamisama, 日语, tt15254730, 2021-08-06(日本),电影之神, 泽田研二 / 菅田将晖 / 永野芽郁 / 宫本信子 / 野田洋次郎 / 小林稔侍 / 寺岛忍 / 北川景子
7.5, 日本, 吉野龙平, 118分钟,3261, 吉野龙平, 剧情, 永远比那些笨蛋年轻(港) / Eternally Younger Than Those Idiots / きみはえいえんにそいつらよりわかい, 日语,, 2020-11-01(东京电影节) / 2021-09-17(日本),你永远比那些家伙年轻, 佐久间由衣 / 奈绪 / 笠松将 / 小日向星一 / 葵扬 / 森田想
7.5, 日本, 江口幹 / 山浦雅大 / 南胜久, 132分钟,6791, 江口幹, 喜剧 / 动作,, 日语, tt13017204, 2021-06-12(上海国际电影节) / 2021-06-18(日本),杀手寓言 第二章, 冈田准一 / 木村文乃 / 平手友梨奈 / 安藤政信 / 黑濑纯 / 桥本爱实 / 井之胁海 / 宫川大辅 / 佐藤二朗 / 佐藤浩市 / 堤真一 / 山本美月 / 安田显 / Masao Yoshii
7.5, 日本, 燃え殻 / 高田亮, 124分钟,4850, 森义仁, 爱情, 原来我们都没长大 / 最后我们都没长大 / We Couldn’t Become Adults, 日语, tt14236064, 2021-11-05(日本),我们都无法成为大人, 森山未来 / 伊藤沙莉 / 东出昌大 / 浅野堇 / 筱原笃 / 大岛优子 / 萩原圣人 / 冈山天音 / 奥野瑛太 / 原日出子 / 平岳大 / 片山萌美 / 高岛政伸 / 拉沙尔石井 / 丁瑞奇
6.9, 日本, 柏叶幸子 / 吉田玲子, 100分钟,997, 川面真也, 动画, 海岬的迷家 / The House of the Lost on the Cape / Misaki no Mayoiga, 日语, tt13404868, 2021-08-27(日本),海岬的迷途之家, 芦田爱菜 / 粟野咲莉 / Takuya Tasso / 大竹忍
8.9, 日本,, 86分钟,2637, 外崎春雄, 动画, 鬼滅之刃 鼓之宅院篇(台), 日语, tt16492678, 2021-09-18(日本),鬼灭之刃 鼓屋敷篇, 花江夏树 / 鬼头明里
8.9, 日本,, 102分钟,2087, 外崎春雄, 动画,, 日语,, 2021-09-12(日本),鬼灭之刃 浅草篇, 花江夏树 / 鬼头明里
7.8, 日本, 毛利亘宏 / 石森章太郎,,908, 田崎龙太, 剧情,, 日语, tt15850452, 2022-03-12(日本),假面骑士欧兹 10周年 复活的核心硬币, 渡部秀 / 高田里穗 / 三浦涼介 / 宇梶刚士
7.2, 日本, 西野亮广, 100分钟,1542, 广田裕介, 剧情 / 动画, 烟囱小镇的普佩(台) / 烟囱之城 / Poupelle of Chimney Town, 日语, tt13276012, 2020-12-25(日本),烟囱小镇的普佩尔, 芦田爱菜 / 洼田正孝 / 立川志の輔 / 小池荣子 / 藤森慎吾 / 野间口彻 / 伊藤沙莉 / 宫根诚司 / 大平祥生 / 饭尾和树 / 山内圭哉 / 国村隼
6.3, 日本, 桑村沙也香 / 田边圣子, 99分钟,6314, 田村耕太郎, 动画," Jose与虎与鱼们 / 乔瑟与虎与鱼群动画版(台) / 乔瑟的虎与鱼群 / Josee, the Tiger and the Fish", 日语, tt12879624, 2021-08-20(中国大陆) / 2020-10-30(釜山电影节) / 2020-12-25(日本),乔西的虎与鱼, 清原果耶 / 中川大志 / 宫本侑芽 / 兴津和幸 / 松寺千恵美 / 河西健吾 / 尾花かんじ / 内田夕夜 / 浦山迅 / 寺杣昌纪
5.6, 日本, 山室有纪子, 96分钟,335, 柿本宪作, 爱情, Parasite in Love, 日语, tt16059146, 2021-11-12(日本),恋爱寄生虫, 林遣都 / 小松菜奈 / 井浦新 / 石桥凌
