评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
7.6, 泰国, Pong Pattarawalai Wongsinwises,,322, Golf Sakon Wong, 爱情 / 同性 / 奇幻, 丘比特的遗嘱 / 丘比特的心愿 / 丘比特最后的愿望 / 丘比特之愿 / 爱神夙愿 / Cupid's Last Wish, 泰语,,,丘比特的遗愿, 皮拉帕·瓦塔纳汕西瑞 / 汪始慧 / 那瓦·蓬朴提岸 / 塔纳本·万罗西力侬 / 普洛伊湘普·素帕莎
7.6, 泰国, 提拉帕·洛翰那,,369, 克里迪德·辛杰西里, 喜剧 / 爱情 / 同性,, 泰语,,,驶入心途, 查温洛·里奇查力安沙功 / 彭沙贡·翁皮安 / 维拉帕特·尼迈农 Mike Weerapat Nimanong / 普沙努·翁沙瓦尼查功 / 皮拉维奇·普洛伊南彭 / Cholsawas Tiewwanichkul / Areeya Pholphutrakul / Pat Chatburirak / 素撒·猜唷罗 / Manao Sornsin Maneewan / 帕特斯通.萨利英杜 / 加图蓬·丹古来 / 维拉帕特·尼迈农
, 泰国, Kapper Worarit Ninklom,,, Kapper Worarit Ninklom, 爱情 / 同性, 检验 / 那天晚上和北星先生在一起 / 北极星之恋 / 北极星恋人 / Check Out Series / Check Out, 泰语,,,恋恋北极星, 迈鲁特·戈莫丁 / 维塔文·维拉维达亚南特
6.9, 泰国,,,2653, New Siwaj Sawatmaneekul, 同性, 谁的青春不乱爱 / วัยรุ่นวุ่นYรัก, 泰语,,,歪爱时代, 帕努瓦·可通塔维 / Varodom Khemmonta
8.2, 泰国,,,15500, Yuthana Lorphanpaiboon / Hathairat, 剧情 / 爱情, Vanida / วนิดา, 泰语,,,一诺倾情, 杰西达邦·福尔迪 / 泰莎昂·派索克乔纶
6.6, 泰国, 帕塔拉纳德·比博索瓦德 / 梅兹·塔拉 / 汤萨蓬·逖提拿坎, 127分钟,4229, 梅兹·塔拉, 喜剧 / 爱情, 骗骗爱上你 / 呃Love天团(港) / 英俊的骗子 / The Con-Heartist, 泰语, tt13393728, 2020-12-03(泰国),恋爱局中局, 纳得克·库吉米亚 / 平采娜·乐维瑟派布恩 / 提顶·玛哈由踏纳 / 卡达莉亚·麦金多斯 / 邦沙敦·宗威拉克 / 辰塔维·塔纳西维 / Tanachporn Rakharutai / Natthachai Sirinanthachot / Nadech Kugimiya / Nattanan Junsakuna / Parit Permnak / Khemjirus Chankijthanaworrakul / Sarocha Suntronkul Na Chonburi / Chananticha Chaipa / Kittiphong Dumavibhat / Sanhanut Tiracheep
7.4, 泰国, 拿柏里 / 柏也路斯芳迪 / 祖云拿柏 / 江迪积杜云华斯美, 111分钟,20590, 普拉奇亚·平克尧, 剧情 / 动作 / 惊悚 / 犯罪, 托尼佳新冒险 / Tom Yum Goong / The Protector / Honour of the Dragon, 泰语 / 英语 / 汉语普通话 / 越南语, tt0427954, 2005-08-11,冬荫功, 托尼·贾 / Petchtai Wongkamlao / 金星
6.0, 泰国,,,1464,, 爱情, 杉杉来了泰国版 / Boss & Me, 泰语,,,杉杉来吃, 普提查·克瑟辛 / 苏查拉·玛娜英
6.9, 泰国, 蒙松 / Sompope Vejchapipat, 108 分钟,15520, 蒙松, 悬疑 / 惊悚 / 恐怖, 凶案还魂 / The Victim / Phii khon pen / Spirit of the Victim, 泰语, tt0889212, 2006-10-12,吓死鬼, Pitchanart Sakakorn / Apasiri Nitibhon / Penpak Sirikul
7.4, 泰国,, 89分钟,1997, 阿彼察邦·韦拉斯哈古, 剧情 / 悬疑, 人造传说 / Mysterious Object At Noon / Dokfa nai meuman, 泰语, tt0269587, 2000-10-02(温哥华电影节),正午显影, 朱安贾伊·伊鲁斯里 / 罗宁·提姆 / Saisiri Xoomsai
6.9, 泰国,,,346, Jariwat Uppakharnchaiyaphat, 剧情 / 爱情, Si Nae Ha Saree, 泰语,,,纱丽迷情, 肖恩·金达科特 / 平采娜·乐维瑟派布恩 / 奥兰娜特·D·卡芭蕾斯 / 潘缇娜·维·班秀理维塔那措 / 卡达莉亚·麦金多斯
8.0, 泰国, Kate Pimmada Pattana-alongkorn,,152,, 剧情 / 喜剧 / 爱情 / 同性, Rak Diao / One Love / 刁蛮的爱 / 唯爱 / 唯一的爱 / 唯爱满心房 / 鬼马租客俏房东, 泰语,,,刁爱, Earth Thanakrit Talasopon / Win Songsin Jaipan / Yong Chernyim / Graphic Ratchawit Chanrunganan / Sujira Arunpipat / Mook Napapach Thitakawin / Ampere Suttatip Wutchaipradit
, 泰国,,,, 纳塔彭·蒙空萨瓦, 爱情 / 同性 / 奇幻, 切换世界的爱 / 反之亦然 / 换个世界相爱 / 异世爱中恋 / 异世恋中恋 / Vice Versa / Vice Versa รักสลับโลก, 泰语,,,反之亦爱, 塔文岸·阿努库帕拉瑟 / 吉塔拉番·坡提维赫 / 奥乌·萨那博·奇塔澜 / 格拉帕·格潘 / 柴·尼姆塔瓦特 / 坦塔尔·简坦霍拉侃 / 欧帕瓦·吉沙晚迪 / 叻叻那·功多尔宁
7.4, 泰国 / 葡萄牙,, 15分钟,399, 阿彼察邦·韦拉斯哈古, 短片, 发光的人, 泰语,, 2007,发亮的人们,
4.3, 泰国,, 1小时37分55秒,98, ศุภกร เหรียญสุวรรณ, 恐怖, Haunted Tales, 泰语,, 2021-03-11(泰国),鬼故事, 亚瑞克·阿莫苏帕西瑞 / 普林·苏帕拉 / 塔内·瓦拉库努娄 / 坎娜楠·翁卡琼莱
8.2, 泰国,, 14分钟,113, 阿彼察邦·韦拉斯哈古, 短片,,, tt14900652, 2021-07-17(戛纳电影节),夜间集落,
7.2, 泰国,,,117,, 剧情 / 爱情, Sroi Sabunnga, 泰语,,,皇家项链, 平采娜·乐维瑟派布恩 / 奈哈·西贡索邦 / 卡文·英玛诺泰 / 恰约隆·西岚亚堤迪
6.8, 泰国, 楚克·萨克瑞科, 114 分钟,22408, 楚克·萨克瑞科, 悬疑 / 惊悚 / 犯罪,, 泰语 / 英语, tt0883995, 2006-10-05,13骇人游戏, 克里萨达·苏克索 / Sarunyu Wongkrachang / Penpak Sirikul / Achita Wuthinounsurasit / Nattapong Arunnate
4.3, 泰国,, 90分钟,122,, 剧情 / 动作 / 爱情 / 悬疑, the secret weapon, 泰语,, 2021(泰国),泰版赤裸特工之秘密武器, Pichana Yoosuk / Ticha Wongtipkanon
