评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
6.6, 日本, 津田肇, 106分钟,2062, 津田肇, 剧情, 女儿们, 日语, tt11974766, 2020-07-27(上海电影节) / 2020-09-18(日本),亲爱的她, 三吉彩花 / 阿部纯子 / 黑谷友香 / 大方斐纱子 / 鹤见辰吾 / 大塚宁宁
7.0, 日本, 奈须蘑菇 / 小太刀右京, 96分钟,536, 荒井和人, 动画 Animation / 奇幻 Fantasy, FGO 神圣圆桌领域 剧场版 后篇, 日语,, 2021-05-15(日本),命运 冠位指定 神圣圆桌领域卡美洛 后篇, 宫野真守 / 岛崎信长 / 高桥李依 / 坂本真绫 / 川澄绫子 / 水岛大宙 / 泽城美雪 / 置鲇龙太郎 / 内山昂辉 / 安元洋贵 / 子安武人 / 田中美海 / 小松未可子 / 鹤冈聪 / 稻田彻 / 千本木彩花 / 铃村健一 / 中田让治 / 樱井孝宏
5.8, 日本, 菅野友惠, 118分钟,1062, 三木孝浩, 剧情 / 科幻, 夏之门 / The Door Into Summer, 日语, tt13757540, 2021-06-25(日本),进入盛夏之门, 山崎贤人 / 清原果耶 / 夏菜 / 真岛秀和 / 藤木直人 / 滨野谦太 / 田口智朗 / 高梨临 / 原田泰造
6.9, 日本, 渡边航 / 三木康一郎 / 板谷里乃, 113分钟,1808, 三木康一郎, 运动, 飙速宅男剧场版, 日语, tt11628788, 2020-08-14(日本),飙速宅男, 永濑廉 / 伊藤健太郎 / 桥本环奈 / 坂东龙汰 / 龙星凉 / 柳俊太郎 / 菅原健 / 井上瑞稀 / 皆川猿时
8.3, 日本, 久米田康治 / 村野佑太 / あおしまたかし, 79分钟,907, 村野佑太, 动画,, 日语,, 2021-07-09(日本),隐瞒之事 剧场剪辑版 秘密是什么, 神谷浩史 / 高桥李依 / 花江夏树 / 八代拓 / 安野希世乃 / 佐仓绫音 / 村瀬步 / 内田真礼 / 浪川大辅 / 小泽亚李 / 本渡枫 / 和气杏未 / 逢田梨香子
5.6, 日本, 高田亮 / 加藤卓哉, 102分钟,1289, 加藤卓哉, 剧情 / 爱情, 私慾帳號(台), 日语, tt14662420, 2021-04-02(日本),秘密账号, 泷内公美 / 神尾枫珠 / 市川知宏 / 浅野堇 / 田中要次 / 神户浩 / 松浦祐也 / 仁科贵 / 布施绘里
6.9, 日本, 广田光毅 / 许斐刚, 97分钟,675, 川口敬一郎, 动画,, 日语,, 2021-02-13(日本),新网球王子 冰帝 vs 立海 Game of Future, 诹访部顺一 / 木内秀信 / 楠田敏之 / 保志总一朗 / 上田祐司 / 鹤冈聪 / 浪川大辅 / 岩崎征实 / 永井幸子 / 楠大典 / 竹本英史 / 增田裕生 / 津田英佑 / 高桥直纯 / 桧山修之 / 森久保祥太郎 / 榎木淳弥
6.8, 日本, 楠野一郎 / 吉田大八 / 塩田武士, 113分钟,1092, 吉田大八, 剧情,, 日语, tt11679950, 2021-03-26(日本),错视画的利牙, 大泉洋 / 松冈茉优 / 佐藤浩市 / 宫泽冰鱼 / 池田依来沙 / 中村伦也 / 佐野史郎 / 木村佳乃 / 斋藤工 / 坪仓由幸 / 和田聪宏 / 中川雅也 / 冢本晋也 / 国村隼 / 小林聪美
6.7, 日本, ふじきみつ彦 / 宫本武史, 100分钟,1304, 松居大悟, 喜剧,, 日语,, 2021-04-09(日本),Byplayers：如果100名配角一起拍电影, 田口智朗 / 松重丰 / 光石研 / 远藤宪一 / 滨田岳 / 菜菜绪 / 高杉真宙 / 芳根京子 / 胜村政信 / 渡边一计 / 安藤玉惠 / 近藤芳正 / 津田宽治 / 西村雅彦 / 本宫泰风 / 菅田俊 / 小泽仁志 / 岸井雪乃 / 木村多江 / 绪方义博 / 北村一辉 / 北香那 / 有村架纯 / 天海祐希 / 役所广司 / 石丸谦二郎 / 阿部亮平 / 宇野祥平 / 柄本时生 / 大仓孝二 / 尾美利德 / 加藤谅 / 金子大地 / 佐佐木希 / 宍户美和公 / 志田未来 / 杉野遥亮 / 醍醐虎汰朗 / 泷藤贤一 / 田中要次 / 寺岛忍 / 长谷川京子 / 林泰文 / 原田龙二 / 布施绘里 / 堀内敬子 / 观月亚理莎 / 向井理 / 村田雄浩 / 森下能幸 / 凉 / 六角精儿 / 池谷伸枝 / 宇梶刚士 / 冈田浩辉 / 小木茂光 / 高畑淳子 / 富田望生 / 波冈一喜 / 滨野谦太 / 本田博太郎 / 本田望结 / 升毅 / 吉田羊 / 利重刚
7.5, 日本, 毛利亘宏,,470, 田崎龙太, 科幻, 幪面超人聖刃 + 機界戰隊全開者 SUPERHERO戰記(港), 日语, tt14727298, 2021-07-22(日本),圣刃＋全开者 超级英雄战记, 内藤秀一郎 / 驹木根葵汰 / 高桥文哉 / 奥野壮 / 山口贵也 / 川津明日香 / 青木瞭 / 生岛勇辉 / 富樫慧士 / 岡宏明 / 知念里奈 / 增子敦贵
