评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
7.9, 中国香港, 麦曦茵 / 彭浩翔, 104分钟(香港),462814, 彭浩翔, 剧情 / 喜剧 / 爱情, 谈恋爱 / Love in a Puff, 粤语, tt1602479, 2010-06-18(中国大陆) / 2010-03-25(中国香港),志明与春娇, 杨千嬅 / 余文乐 / 黄德斌 / 陈逸宁 / 谷祖琳 / 司徒慧焯 / 谷德昭 / 张达明 / 方皓玟 / 林兆霞 / 关逸基 / 林耀声 / 缪非临 / 辛格·哈提汗·比托 / 陆诗韵 / 徐天佑 / 邹凯光 / 王宗尧 / 朱慧敏 / 刘伟恒 / 筱靖 / 骆应钧
5.7, 中国大陆 / 中国香港, 王晶, 93分钟,160798, 王晶 / 钟少雄, 喜剧 / 动作, 赌神4：谁与争锋 / The Man From Macau / From Vegas to Macau, 汉语普通话 / 粤语 / 英语 / 葡萄牙语 / 泰语 / 韩语 / 日语, tt3444184, 2014-01-31(中国大陆),澳门风云, 周润发 / 谢霆锋 / 杜汶泽 Chapman To / 景甜 / 高虎 / 吴辰君 / 许绍雄 / 张晋 / 王敏德 / 沈震轩 / 童飞 / 伍允龙
7.9, 中国香港, 麦浚龙 / 翁子光 / 梁礼彦, 103分钟,155358, 麦浚龙, 恐怖, 七日重生 / Rigor Mortis, 粤语, tt2771800, 2013-10-24(中国香港) / 2013-08-30(威尼斯电影节),僵尸, 钱小豪 / 惠英红 / 鲍起静 / 陈友 / 吴耀汉 / 卢海鹏 / 钟发 / 楼南光
8.5, 中国香港, 游乃海 / 劳伦特·考蒂奥德 / 朱连·卡邦, 93 分钟,216852, 杜琪峰, 剧情 / 动作 / 犯罪, 谈判专家(台) / Running Out of Time, 粤语 / 英语, tt0216165, 1999-09-23(中国香港),暗战, 刘德华 / 刘青云 / 蒙嘉慧 / 李子雄 / 许绍雄 / 林雪 / 黄卓玲 / 艾威 / 林伟健 / Robert Sparks / 洪伟良 / 罗靖庭 / 邱万城 / Paco Yick / South Kei Lee / 张浚鸿 / 李子明 / 李寿祺
7.9, 中国香港, 邵丽琼, 102 分钟,190191, 杜琪峰, 喜剧 / 古装," 威龙闯天关(台) / Justice, My Foot!", 粤语, tt0105385, 1992-07-02(中国香港),审死官, 周星驰 / 梅艳芳 / 吴家丽 / 吴孟达 / 秦沛 / 梁家仁 / 苑琼丹 / 黄一飞 / 朱咪咪
7.9, 中国香港, 劳文生 / 谷德昭 / 周星驰, 89分钟,338595, 谷德昭 / 周星驰, 喜剧 / 动作 / 爱情 / 古装, 鹿鼎大帝(台) / Forbidden City Cop / Dai lap mat tam 008, 粤语, tt0116014, 1996-02-16(中国香港),大内密探零零发, 周星驰 / 刘嘉玲 / 李若彤 / 罗家英 / 张达明 / 刘以达 / 李力持 / 江欣燕 / 苑琼丹 / 朱咪咪 / 李健仁 / 袁祥仁 / 袁信义 / 植敬雯 / 潘恒生 / 谷德昭 / 文隽 / 黄老邪 / 黄一飞 / 查尔斯·沈 / 吴育枢 / 王均康 / 陈剑云 / 欧锦棠 / 叶伟信
8.5, 中国香港, 邱刚健 / 李碧华, 96分钟,253249, 关锦鹏, 剧情 / 爱情 / 奇幻, Rouge, 粤语, tt0093258, 1987-12-05(中国台湾),胭脂扣, 梅艳芳 / 张国荣 / 万梓良 / 朱宝意 / 温碧霞 / 谭倩红 / 汪禹 / 刘家荣 / 惠英红 / 谢贤 / 黄卓玲
7.6, 中国香港 / 中国大陆, 麦兆辉 / 庄文强, 117分钟(中国大陆) / 121分钟(香港),228548, 麦兆辉 / 庄文强, 剧情 / 动作 / 悬疑 / 犯罪, 操盘风云2 / Overheard 2, 粤语 / 汉语普通话, tt1852904, 2011-08-18(中国大陆/中国香港),窃听风云2, 古天乐 / 刘青云 / 吴彦祖 / 曾江 / 叶璇 / 黄奕 / 刘浩龙 / 胡枫 / 骆应钧 / 江毅 / 焦姣 / 郭锋 / 林迪安 / 邹凯光 / 方中信 / 钟均呈
8.8, 中国香港, 吴宇森 / 高志森 / 秦小珍, 108分钟,371795, 吴宇森, 剧情 / 喜剧 / 动作 / 犯罪, Once a Thief, 粤语 / 汉语普通话 / 客家话 / 英语 / 法语, tt0101020, 1991-02-02(中国香港),纵横四海, 周润发 / 张国荣 / 钟楚红 / 朱江 / 曾江 / 胡枫 / 唐宁 / 邓一君
8.4, 中国香港, 谷德昭 / 李力持 / 张肇麟 / 周星驰, 83分钟,360589, 李力持 / 周星驰, 喜剧 / 动作, 凌凌漆大战金枪客 / 国产零零漆 / 国产007 / From Beijing with Love, 汉语普通话 / 粤语, tt0109962, 1994-10-13(中国香港),国产凌凌漆, 周星驰 / 袁咏仪 / 罗家英 / 陈宝莲 / 郑祖 / 黄锦江 / 李力持 / 于荣光 / 李健仁 / 古明华 / 黄一飞 / 梁思浩 / 梁小熊 / 曾守明 / 邓兆尊 / 梁克逊 / 黄老邪 / 叶进
