评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
6.8, 中国大陆 / 中国香港, 唐季礼 / 王蕙玲 / 李海蜀, 122分钟,239082, 唐季礼, 剧情 / 喜剧 / 动作 / 奇幻 / 冒险, 惊天传奇 / 钛雨 / The Myth / San wa, 英语 / 汉语普通话 / 粤语 / 韩语, tt0365847, 2005-09-23(中国大陆/中国香港) / 2005-09-15(多伦多电影节),神话, 成龙 / 金喜善 / 梁家辉 / 玛丽卡·沙拉瓦特 / 孙周 / 邵兵 / 于荣光 / 谭耀文
7.7, 中国香港 / 日本, 庄文强, 109分钟,345248, 刘伟强 / 麦兆辉, 剧情 / 动作, 飘移族 / Initial D, 粤语 / 英语, tt0439630, 2005-06-23(中国大陆/中国香港) / 2005-06-19(北京首映),头文字D, 周杰伦 / 陈冠希 / 黄秋生 / 杜汶泽 / 铃木杏 / 余文乐 / 钟镇涛 / 陈小春 / 津村和幸 / 阿部力 / 田中千绘 / 刘畊宏
5.6, 中国香港 / 中国大陆, 王晶, 110分钟,156909, 王晶 / 张敏, 喜剧 / 动作, The Man From Macau 2 / From Vegas to Macau 2, 粤语 / 汉语普通话 / 泰语 / 四川话 / 英语, tt4310772, 2015-02-19(中国大陆/中国香港),澳门风云2, 周润发 / 张家辉 / 刘嘉玲 / 余文乐 / 王诗龄 / 胡然 / 姜大卫 / 童飞 / 吴樾 / 金巧巧 / 黄德斌 / 姜皓文 / 曾国祥 / 袁泉 / 曾志伟 / 陈百祥 / 孟瑶 / 刘德华
8.6, 中国香港 / 中国大陆, 李碧华 / 徐克, 99分钟,465778, 徐克, 剧情 / 爱情 / 奇幻 / 古装, Green Snake, 粤语 / 汉语普通话, tt0106559, 1993-11-04(中国香港),青蛇, 张曼玉 / 王祖贤 / 赵文卓 / 吴兴国 / 马精武 / 田丰 / 刘洵
7.6, 中国香港 / 中国大陆 / 新加坡, 庄文强 / 麦兆辉, 100分钟(香港),263434, 麦兆辉 / 庄文强, 剧情 / 动作 / 惊悚, Overheard, 粤语 / 汉语普通话, tt1349853, 2009-07-24(中国大陆) / 2009-07-30(中国香港),窃听风云, 刘青云 / 古天乐 / 吴彦祖 / 张静初 / 方中信 / 王敏德 / 李子雄 / 陈伟霆
7.5, 中国大陆 / 中国香港, 陈木胜 / 文隽 / 凌志民 / 黄进 / 谭惠贞, 134分钟,246871, 陈木胜, 剧情 / 动作 / 悬疑 / 犯罪, 变役 / 当局者 / The White Storm, 汉语普通话 / 粤语 / 泰语 / 英语, tt2957774, 2013-11-29(中国大陆) / 2013-12-05(中国香港),扫毒, 古天乐 / 张家辉 / 刘青云 / 袁泉 / 卢海鹏 / 吴廷烨 / 林国斌 / 卢惠光 / 吴岱融 / 宝儿 / 马浴柯 / 释彦能 / 罗兰 / 李兆基 / 维他亚·潘斯林加姆 / 罗钧满
6.9, 中国大陆 / 中国香港, 关皓月, 109分钟,194384, 文伟鸿, 剧情 / 动作 / 犯罪, 使徒行者电影版 / Line Walker, 粤语 / 汉语普通话, tt5896962, 2016-08-11(中国大陆/中国香港),使徒行者, 张家辉 / 古天乐 / 吴镇宇 / 佘诗曼 / 许绍雄 / 黄祥兴 / 朱璇 / 梁琤 / 李光洁 / 张慧雯
8.1, 中国香港, 劳文生 / 周星驰 / 曾瑾昌, 88分钟,372497, 李力持 / 周星驰, 喜剧 / 动作, The God of Cookery, 粤语, tt0116426, 1996-12-21(中国香港),食神, 周星驰 / 莫文蔚 / 刘以达 / 吴孟达 / 薛家燕 / 谷德昭 / 李兆基 / 江希文 / 田启文 / 欧锦棠 / 罗家英 / 钟丽缇 / 林雪
8.2, 中国大陆 / 中国香港, 麦兆辉 / 庄文强, 107分钟(公映版) / 118分钟,302343, 刘伟强 / 麦兆辉, 剧情 / 惊悚 / 犯罪,, 汉语普通话 / 粤语, tt0374339, 2003-12-12(中国大陆/中国香港/中国台湾),无间道3：终极无间, 梁朝伟 / 刘德华 / 黎明 / 陈道明 / 陈慧琳 / 黄秋生 / 曾志伟 / 杜汶泽 / 郑秀文 / 刘嘉玲 / 林家栋 / 陈冠希 / 余文乐 / 尹扬明
8.6, 中国香港, 尔冬升, 92分钟,17429, 尔冬升, 剧情, 天天星期七 / The Lunatics, 粤语, tt0090940, 1986-06-05(中国香港),癫佬正传, 冯淬帆 / 叶德娴 / 秦沛 / 陈国新 / 周润发 / 梁朝伟 / 岑建勋 / 马斯晨
