评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
6.7, 中国香港, 沈锡然 / 向西村上春树, 90分钟,14073, 孙立基, 悬疑, Deception of the Novelist, 粤语, tt10545040, 2019-06-20(中国香港),作家的谎言：笔忠诱罪, 张建声 / 松冈李那 / 何珮瑜 / 陈嘉莉 / 王宗尧 / 赵永洪 / 陆永 / 郑诗君 / 吴岱融 / 邹文正 / 方咏琳 / 陈浩民 / 陈国坤 / 张沛乐 / 陈诗慧 / 姚学智
8.2, 中国香港, 罗志良 / 杨倩玲 / 李厚颀 / 杨展鸿, 96 分钟 / 89 分钟(美国),69885, 罗志良, 动作 / 犯罪, Double Tap, 粤语, tt0258489, 2000-05-27(中国香港),枪王, 张国荣 / 方中信 / 黄卓玲 / 陈法蓉 / 谷德昭 / 陈望华
8.3, 中国大陆 / 中国香港, 冯骥 / 陈珠珠 / 林明杰, 138分钟,957397, 林超贤, 动作 / 战争, 刀锋·红海行动 / 红海风暴 / Operation Red Sea, 汉语普通话 / 阿拉伯语 / 英语 / 索马里语 / 粤语, tt6878882, 2018-02-16(中国大陆) / 2020-07-24(中国大陆重映),红海行动, 张译 / 黄景瑜 / 海清 / 杜江 / 蒋璐霞 / 尹昉 / 王强 / 郭家豪 / 王雨甜 / 麦亨利 / 张涵予 / 王彦霖
8.5, 中国香港, 吴宇森, 111分钟,73975, 吴宇森, 剧情 / 动作 / 惊悚 / 犯罪, The Killer / Bloodshed of Two Heroes, 粤语, tt0097202, 1989-07-06,喋血双雄, 周润发 / 李修贤 / 叶倩文 / 曾江 / 朱江 / 成奎安 / 黄光亮
6.8, 中国大陆 / 中国香港, 叶天成 / 黎倩仪,,41715, 苏万聪 / 苏嘉敏, 剧情 / 爱情 / 犯罪,, 粤语, tt10980808,,使徒行者2, 苗侨伟 / 陈豪 / 宣萱 / 袁伟豪 / 周柏豪  / 黄翠如 / 许绍雄 / 麦明诗 / 何佩珉
7.6, 中国香港, 王晶, 89 分钟,115520, 王晶, 喜剧, 逃学威龙3第七感抓财神 / Fight Back to School III, 粤语, tt0108293, 1993-01-14,逃学威龙3之龙过鸡年, 周星驰 / 梅艳芳 / 陈百祥 / 周海媚 / 梁家仁 / 黄秋生 / 陈欣健 / 朱咪咪 / 秦沛 / 张敏
8.0, 中国香港, 王晶, 126 分钟,108939, 王晶, 喜剧 / 动作, God of Gamblers Return / God of Glamblers 2, 粤语 / 汉语普通话 / 英语 / 法语, tt0109683, 1994-12-15(中国香港),赌神2, 周润发 / 梁家辉 / 吴倩莲 / 邱淑贞 / 徐锦江 / 吴兴国 / 向华强 / 谢苗 / 罗家英 / 张敏 / 柯受良
8.8, 中国香港, 游乃海 / 银河创作组, 84分钟(香港),191914, 杜琪峰, 剧情 / 动作 / 犯罪, The Mission, 粤语, tt0220644, 1999-11-19(中国香港),枪火, 吴镇宇 / 任达华 / 黄秋生 / 吕颂贤 / 张耀扬 / 林雪 / 王天林 / 施绮莲 / 高雄
9.0, 中国香港, 金庸 / 梁咏梅,,149362, 李添胜, 剧情 / 武侠 / 古装, Eightfold Path of the Heavenly Dragon, 粤语, tt0827972,,天龙八部, 黄日华 / 陈浩民 / 樊少皇 / 李若彤 / 赵学而 / 刘玉翠 / 刘锦玲 / 张国强 / 潘志文 / 何美钿 / 招石文 / 李国麟 / 雪梨 / 黄纪莹 / 吕有慧 / 冯晓文 / 李桂英 / 马清仪 / 赵静仪 / 陈安莹 / 苏恩磁 / 李成昌 / 刘江 / 王伟 / 冯瑞珍 / 陈燕行 / 郭德信 / 陈荣峻 / 江汉 / 溫雙燕 / 李鸿杰 / 骆应钧 / 骏雄 / 麦子云 / 邵卓尧 / 麦长青 / 梁健平 / 梁钦棋 / 陈狄克 / 罗君左 / 余慕莲 / 李龙基 / 刘丹 / 蔡国庆 / 陈中坚 / 凌汉 / 区岳 / 何图英 / 黄新 / 李耀景 / 曹济 / 梁少秋 / 邱万城 / 郑家生 / 孙季卿 / 吕剑光 / 石云 / 曾健明 / 何璧坚 / 龙志成 / 李海生 / 罗国维 / 艾威 / 鲍方 / 薛纯基 / 郭卓桦 / 沈宝思 / 黄文标 / 金兴贤 / 谈泉庆 / 马海伦 / 张鸿昌 / 郑雷 / 关菁 / 李丽丽 / 秦煌 / 李子奇 / 虞天伟 / 罗兰 / 华忠男 / 郑柏麟 / 张英才 / 博君 / 谭一清 / 杨子韬 / 古明华 / 张汉斌 / 李炜祺 / 王伟梁 / 马蹄露 / 阙可维 / 陆希扬 / 陈楚翘 / 雷颖怡 / 伍慧珊 / 黄凯诗 / 黄仲匡 / 黄成想 / 魏惠文 / 邝佐辉 / 伍文生 / 麦嘉伦 / 邓汝超 / 李煌生 / 焦雄 / 刘桂芳 / 蒋克 / 汤俊明 / 姚杰龙 / 萧玉燕 / 罗立勤 / 王维德
8.3, 中国香港, 游乃海 / 叶天成, 100 分钟 / 85 分钟(删减版),157845, 杜琪峰, 剧情 / 惊悚 / 犯罪, 龙城岁月 / 选老坐 / Election / Hak Se Wui, 汉语普通话 / 粤语, tt0434008, 2005-10-20(中国香港),黑社会, 任达华 / 梁家辉 / 古天乐 / 林雪 / 张家辉 / 张兆辉 / 林家栋 / 王天林 / 谭炳文 / 邵美琪 / 姜大卫 / 尤勇智 / 黄浩然 / 车保罗 / 吴廷烨 / 郭锋 / 王钟 / 陈少鹏 / 元彬 / 甄懋强 / 洪罗拔 / 余袁稳 / 黄志伟 / 赵志诚 / 黄思恩 / 林文伟 / 何汉州 / 唐培中 / 何柱 / 元宝 / 李日升
7.3, 中国香港 / 中国大陆, 彭浩翔 / 陆以心, 111分钟,369702, 彭浩翔, 剧情 / 喜剧 / 爱情, 志明与春娇2 / Love in The Buff, 粤语 / 汉语普通话, tt2238839, 2012-03-30(中国大陆) / 2012-03-29(中国香港),春娇与志明, 杨千嬅 / 余文乐 / 杨幂 / 徐峥 / 陈逸宁 / 林兆霞 / 谷德昭 / 詹瑞文 / 司徒慧焯 / 黄晓明 / 郑伊健 / 王馨平 / 田蕊妮 / 邵音音 / 曾国祥 / 谷祖琳 / 方皓玟 / 闫汶渲 / 刘浩龙 / 周子扬 / 黄素欢 / 王太利 / 彭浩翔 / 郝蕾 / 尹志文 / 魏雨琦
7.9, 中国香港, 邓景生 / 阮继志 / 唐敏明, 102分钟 / 99分钟(美国),65789, 刘家良, 喜剧 / 动作, Drunken Master II / Legend of the Drunken Master, 粤语, tt0111512, 1994-02-03(中国香港),醉拳2, 成龙 / 梅艳芳 / 狄龙 / 黄日华 / 刘家良 / 卢惠光 / 钱嘉乐 / 翁虹 / 鲍方 / 曹颖 / 刘德华
7.6, 中国香港 / 中国澳门, 司徒锦源 / 吴炜伦 / 叶伟信, 93分钟,128780, 叶伟信, 剧情 / 动作 / 犯罪, SPL / Kill Zone / Saat po long, 粤语, tt0478024, 2005-11-18(中国香港),杀破狼, 甄子丹 / 洪金宝 / 任达华 / 廖启智 / 吴京 / 洪天明 / 张智尧 / 夏韶声
8.4, 中国香港, 南燕, 101分钟,107715, 林岭东, 剧情 / 动作 / 犯罪, Prison on Fire, 粤语, tt0093304, 1987-11-13(中国香港),监狱风云, 周润发 / 梁家辉 / 何家驹 / 张耀扬 / 黄光亮 / 吴志雄 / 成奎安
6.8, 中国香港, 陈庆嘉 / 谷德昭, 104分钟,24919, 董玮, 喜剧 / 动作, The Contract Killer, 粤语 / 汉语普通话 / 日语 / 英语, tt0163818, 1998-04-03(中国香港),杀手之王, 李连杰 / 任达华 / 曾志伟 / 梁咏琪 / 何宝生
6.7, 中国香港 / 中国大陆, 袁锦麟 / 陈木胜 / 徐兵, 110分钟,152408, 陈木胜, 剧情 / 动作, Connected, 粤语 / 汉语普通话, tt1156506, 2008-09-25(中国香港),保持通话, 古天乐 / 徐熙媛 / 张家辉 / 刘烨 / 樊少皇 / 龚蓓苾 / 张兆辉 / 陈诗慧 / 贝安琪 / 王祖蓝 / 陈家乐 / 洪卓立 / 谭竣浩
7.7, 中国香港, 王晶 / 吴仁,,88744, 王晶, 武侠 / 古装, 绝代双骄, 汉语普通话, tt11627878,,小鱼儿与花无缺, 谢霆锋 / 张卫健 / 袁泉 / 范冰冰 / 徐锦江 / 柏雪 / 孔琳 / 刘仪伟 / 倪景阳 / 吴庆哲 / 黄浩然 / 孙菲菲 / 郑希怡 / 杨雪
7.0, 中国香港, 王晶, 102分钟,29288, 王晶, 剧情 / 喜剧 / 动作,, 粤语 / 英语, tt0119513, 1996-12-14,赌神3之少年赌神, 黎明 / 袁咏仪 / 陈小春 / 梁咏琪 / 吴镇宇 / 钟景辉 / 张达明 / 徐锦江 / 陈豪 / 邹兆龙 / 龙方
8.1, 中国香港, 张华标 / 叶广荫,,43688, 刘仕裕, 喜剧 / 奇幻 / 冒险, 齐天大圣, 粤语, tt1459024,,西游记, 江华 / 张卫健 / 黎耀祥 / 麦长青
8.3, 中国大陆 / 中国香港, 卢兆璋 / 薛后, 95分钟,93966, 张鑫炎, 动作 / 武侠 / 古装, The Shaolin Temple / Shao Lin tzu, 汉语普通话, tt0079891, 1982-02-01(中国大陆) / 1982-01-21(中国香港),少林寺, 李连杰 / 于海 / 丁岚 / 于承惠 / 计春华 / 王光权 / 胡坚强 / 孙建魁 / 刘怀良 / 张建文 / 阎涤华 / 王珏 / 杜传扬 / 崔志强 / 寻峰 / 潘汉光 / 方平 / 潘清福 / 蒋洪波
