评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
8.2, 美国, 石之予 / 茱莉亚·赵 / 莎拉·施特莱歇尔, 100分钟,116598, 石之予, 喜剧 / 动画 / 奇幻 / 冒险, 熊抱青春记(港) / 青春养成记(台) / 变红, 英语, tt8097030, 2022-03-11(美国网络),青春变形记, 姜晋安 / 吴珊卓 / 艾娃·摩士 / 麦特里伊·拉玛克里斯南 / 朴惠仁 / 奥赖恩·李 / 何炜晴 / 特里斯坦·艾瑞克·陈 / 吴汉章 / 菲尼亚斯·奥康奈尔 / 乔丹·费舍 / 托菲尔-恩戈 / 格雷森·维拉纽瓦 / 乔什·列维 / 洛瑞·坦·齐恩 / 雪莉·可拉 / 莉莉安·林 / 艾迪森·钱德勒 / 莉莉·桑费利波 / 萨沙·罗伊茨 / 安妮-玛丽 / Mia Tagano
6.8, 美国 / 冰岛, 克里斯·麦克纳 / 埃里克·萨默斯 / 斯坦·李 / 史蒂夫·迪特寇, 148分钟,203848, 乔·沃茨, 动作 / 科幻 / 冒险,, 英语 / 他加禄语, tt10872600, 2021-12-15(中国台湾) / 2021-12-17(美国),蜘蛛侠：英雄无归, 汤姆·赫兰德 / 赞达亚 / 本尼迪克特·康伯巴奇 / 雅各布·巴特朗 / 托比·马奎尔 / 安德鲁·加菲尔德 / 玛丽莎·托梅 / 乔恩·费儒 / 本尼迪克特·王 / 威廉·达福 / 阿尔弗雷德·莫里纳 / 托马斯·哈登·丘奇 / 杰米·福克斯 / 瑞斯·伊凡斯 / J·K·西蒙斯 / 查理·考克斯 / 安格瑞·赖斯 / 托尼·雷沃罗利 / 宝拉·纽瑟姆 / 汉尼拔·布勒斯 / 马丁·斯塔尔 / J·B·斯穆夫 / 哈龙·汗 / 本·范德梅 / 加里·维克斯 / 马洛里·霍夫 / 里贾纳·陈婷 / 格伦·基奥 / 帕丽丝·本杰明 / 朱万达斯·坎迪斯 / 泰勒·圣克莱尔 / 小豪尔赫·兰登伯格 / 何塞·阿尔弗雷多·费尔南德斯 / 约翰尼·塞雷 / 罗伯特·廷斯利 / 哈里·赫兰德 / 汤姆·哈迪 / 克里斯托·费尔南德斯 / Arian Moayed
7.8, 奥地利 / 德国, 塞巴斯蒂安·迈泽 / Thomas Reider, 116分钟,307, 塞巴斯蒂安·迈泽, 剧情, 爱你让我自由(台) / Great Freedom, 德语 / 英语, tt14775784, 2021-07-08(戛纳电影节) / 2021-11-18(德国),伟大的自由, 弗兰茨·罗戈夫斯基 / 格奥尔格·弗里德里希 / 安东·范·卢克 / 托马斯·普伦 / 安德烈·巴顿 / Johannes Cramer / Ulrich Faßnacht / Alfred Hartung / Klaus Huhle / Joachim Schönfeld / Ernst Sigot / Thomas Stecher / Fabian Stumm / Daniel Wagner / Thomas Wehling
7.2, 法国, 卡特琳·科西尼 / Agnès Feuvre / Laurette Polmanss, 98分钟,416, 卡特琳·科西尼, 喜剧, 巴黎急诊中, 法语, tt13321730, 2021-07-10(戛纳电影节),破裂, 瓦莱丽亚·布鲁尼·泰德斯基 / 玛琳娜·佛伊丝 / 皮奥·马麦 / 艾萨图·迪亚诺·萨格娜 / Jean-Louis Coulloc'h / Camille Sansterre / Marin Laurens / Caroline Estremo / Ferdinand Perez / Clément Cholet / Ramzi Choukair / Norman Lasker / Chamaïl Kahaloun / Cécile Boncourt / 扬尼克·兰德赖恩
7.5, 日本, 吉浦康裕 / 大河内一楼, 108分钟,353, 吉浦康裕, 动画, 聆听爱的歌声吧, 日语, tt13064272, 2021-10-29(日本),让我听到爱的歌声吧, 土屋太凤 / 福原遥 / 工藤阿须加
6.3, 美国, 乔纳森·崔普尔 / T·S·诺林 / 珍妮佛·弗莱基特 / 马克·莱温, 106分钟,17690, 肖恩·利维, 喜剧 / 动作 / 科幻 / 冒险, 超时空亚当计划(港) / 超时空亚当计画(台) / Our Name Is Adam, 英语, tt2463208, 2022-03-11(美国网络),亚当计划, 瑞安·雷诺兹 / 沃克·斯科贝尔 / 马克·鲁弗洛 / 詹妮弗·加纳 / 佐伊·索尔达娜 / 凯瑟琳·基纳 / 小亚历克斯·马里亚里 / 布拉克斯顿·比肯 / 卡斯拉·王 / 露西·格斯特 / 唐纳德·沙利斯 / Esther Li / 本·威尔金森 / 以赛亚·海格特 / 米洛·山德尔
7.9, 日本, 滨口龙介 / 大江崇允 / 村上春树, 179分钟,56564, 滨口龙介, 剧情, 在车上(台) / Drive My Car, 日语 / 英语 / 韩国手语 / 德语 / 汉语普通话 / 他加禄语 / 韩语 / 印度尼西亚语, tt14039582, 2021-07-11(戛纳电影节) / 2021-08-20(日本),驾驶我的车, 西岛秀俊 / 三浦透子 / 雾岛丽香 / 冈田将生 / 朴有林 / 金大永 / 袁子芸 / 安部聪子 / 吉田大八 / 猪股俊明 / 佩里·迪桑 / 安辉泰 / 松田弘子 / 山村崇子 / 岩濑亮 / 谷川昭一朗 / 西庆子 / 铃木咲
7.4, 中国台湾, 阮凤仪 / 李冰, 101分钟,11854, 阮凤仪, 剧情 / 家庭, American Girl, 汉语普通话 / 英语 / 闽南语, tt15620158, 2021-12-03(中国台湾) / 2021-10-31(东京国际电影节),美国女孩, 林嘉欣 / 庄凯勋 / 方郁婷 / 林品彤 / 曾宝仪 / 夏于乔 / 黄镫辉 / 张诗盈 / 蔡嘉茵 / 蔡明修 / 张允曦 / 郭任峰 / 庞霈心 / 林苡涵 / 蔡斯亿 / 邱诗凌 / 吴廷华 / 林群 / 杨书岚 / 林真亦
7.9, 挪威 / 法国 / 瑞典 / 丹麦, 埃斯基尔·沃格特 / 约阿希姆·提尔, 128分钟,38744, 约阿希姆·提尔, 剧情 / 喜剧 / 爱情, 世界上最烂的人(台) / 尤利娅生命的十二段律动 / 世界上最坏的人 / Julie (en 12 chapitres) / The Worst Person in the World, 挪威语, tt10370710, 2021-07-08(戛纳电影节) / 2021-10-13(法国) / 2021-10-15(挪威),世界上最糟糕的人, 雷娜特·赖因斯夫 / 安德斯·丹尼尔森·李 / 赫伯特·诺德鲁姆 / 汉斯·奥拉夫·布雷内 / 玛丽亚·嘉西亚·狄·梅奥 / Mia McGovern Zaini / Rebekka Jynge / Deniz Kaya / Gisle Tveito / Helene Bjørneby / Thea Stabell / Vidar Sandem / Lasse Gretland / Sofia Schandy Bloch / Savannah Marie Schei
8.4, 美国, 克雷格·勒克 / Ivor Powell, 115分钟,154212, 米格尔·萨普什尼克, 剧情 / 科幻, 芬奇的旅程 / 生化 / 人生 / BIOS, 英语, tt3420504, 2021-11-05(美国),芬奇, 汤姆·汉克斯 / 卡赖伯·兰德里·琼斯 / 希默斯 / 洛拉·玛汀内斯-康宁安 / 玛丽·瓦根曼 / Oscar Avila
