评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
9.1, 印度, Sharmin Joseph / Radhika Anand / Anand Vardhan / Mihir Bhuta / Siddharth Kumar Tewary,,2176, Siddharth Kumar Tewary, 剧情 / 历史 / 战争, Mahabharat / Mahabharath, 印地语, tt3212600,,摩诃婆罗多, Praneet Bhatt / Sayantani Ghosh / Aparna Dixit / 所罗伯·拉兹·迦因 / 阿拉夫·乔杜里
7.6, 印度 India, 阿努拉格·巴苏 / Samrat Chakraborty, 150分钟,1682, 阿努拉格·巴苏, 喜剧, 世事如棋鑊鑊甘(港), 印地语, tt7212754, 2020-03-13(印度),胜赔人生, 潘卡·特里帕蒂 / 阿布舍克·巴强 / 拉吉·库玛 / 法缇玛·萨那·纱卡 / 阿迪亚·罗伊·卡普尔 / 桑亚·玛荷塔 / 罗希特·萨拉夫 / 莎利尼·瓦察 / 阿努拉格·巴苏 / 拉胡尔·巴加 / 维克·阿休亚
5.3, 印度, 杰亚莫汉 / 拉克希米·萨拉瓦纳库马尔 / S·尚卡尔 / 阿巴斯·特里瓦拉, 148分钟 / 108分钟(中国大陆),13840, S·尚卡尔, 动作 / 科幻 / 惊悚, 宝莱坞机器人之恋2 / 宝莱坞机器人之恋2.0 / Enthiran 2, 泰米尔语 / 泰卢固语 / 印地语, tt5080556, 2019-09-06(中国大陆) / 2018-11-29(印度),宝莱坞机器人2.0：重生归来, 拉吉尼坎塔 / 阿克谢·库玛尔 / 艾米·杰克逊 / 阿迪勒·侯赛因 / 苏丹舒·潘迪 / 卡拉巴万·沙约翰 / 阿南特·纳拉扬·马哈德凡 / 梅伊尔萨米 / 伊莎里·加内什 / 凯扎德·科特瓦尔 / 巴拉特·雷迪 / 玛雅·S·克里希南
7.0, 法国 / 印度, 卢克·博西 / 乔恩·戈德曼 / 罗曼·普罗托拉斯 / 肯·斯科特, 92分钟 / 96分钟(中国大陆),10409, 肯·斯科特, 喜剧 / 冒险, 苦行僧的非凡旅程 / 困在宜家衣柜里的苦行僧 / 跟着IKEA衣橱去旅行(台), 英语 / 印度语, tt5371168, 2019-11-29(中国大陆) / 2018-05-30(法国),衣柜里的冒险王, 丹努什 / 贝热尼丝·贝乔 / 艾琳·莫里亚蒂 / 巴克德·阿巴蒂 / 热拉尔·朱尼奥 / 本·米勒 / 阿贝尔·贾夫里 / 莎拉·珍妮·拉布罗丝 / 凯·葛利丹努 / 阿姆鲁塔·桑特 / 希玛·比斯瓦斯 / 克里斯蒂安·伯恩查特 / 斯特凡诺·卡塞蒂 / 乌瓦曼古·科内利斯 / 甘达夫·德万 / 埃德温·吉莱特 / 奥姆卡·凯特卡 / 波林·马雷查尔 / 丹尼勒·尼西 / 哈蒂·辛格 / 玛尔·索度佩
5.0, 中国大陆 / 印度, 唐季礼, 108分钟,172896, 唐季礼, 喜剧 / 动作 / 冒险, Kung Fu Yoga, 汉语普通话 / 英语 / 印地语 / 阿拉伯语, tt4217392, 2017-01-28(中国大陆),功夫瑜伽, 成龙 / 李治廷 / 张艺兴 / 索努·苏德 / 母其弥雅 / 迪莎·帕塔尼 / 艾米拉·达斯特 / 尚语贤 / 姜雯 / 张国立
8.7, 印度, 萨蒂亚吉特·雷伊, 105 分钟,4113, 萨蒂亚吉特·雷伊, 剧情, 阿塔的世界 / 阿菩的世界 / 阿普的世界 / Apur Sansar / The World of Apu, 孟加拉语, tt0052572, 1959-05-01,大树之歌, 松米特拉·查特吉 / 莎米拉·泰戈尔 / Alok Chakravarty
8.0, 印度, Manu Joseph,,79, Hardik Mehta, 剧情 / 喜剧,, 印地语, tt14167338,,印度式离婚, Atul Kumar / Siddhartha Sharma / Navneet Singh Kohli
7.7, 印度, R·巴尔基 / 里希·维尔马尼, 126分钟,6416, R·巴尔基, 喜剧 / 爱情, 男主内 女主外 / 基与卡, 印地语 / 泰米尔语 / 泰卢固语, tt4744086, 2016-04-01(印度),他和她的故事, 阿琼·卡普尔 / 卡琳娜·卡普尔 / 贾雅·巴杜里 / 拉吉特·卡普尔 / 斯瓦普·桑帕特 / 阿米达普·巴强
8.5, 印度, 伦齐尔·达席尔瓦 / 普拉松·乔希 / 拉凯什·奥姆普拉卡西·梅赫拉 / 卡姆利什·潘迪, 167分钟,15261, 拉凯什·奥姆普拉卡西·梅赫拉, 剧情 / 喜剧 / 历史, 染上黄色 / 青春无敌, 乌尔都语 / 印地语 / 英语, tt0405508, 2006-01-26,芭萨提的颜色, 阿米尔·汗 / 悉塔尔特 / 沙尔曼·乔希 / 库纳尔·卡波尔 / 阿图尔·库尔卡尼 / 彭雅思 / 苏哈·阿里·汗 / 斯蒂文·麦金托什 / 马达范 / 瓦希达·拉赫曼 / 阿努潘·凯尔 / 凯伦·凯尔 / 欧姆·普瑞 / Lekh Tandon / Cyrus Sahukar
8.5, 印度, 桑杰·里拉·彭萨里 / 伯瓦尼·艾耶, 126分钟,4747, 桑杰·里拉·彭萨里, 剧情 / 爱情, 请求, 英语 / 印地语, tt1438298, 2010-11-19(印度),雨中的请求, 赫里尼克·罗斯汉 / 艾西瓦娅·雷 / Nafisa Ali / Aditya Roy Kapoor / Monikangana Dutta
