评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
7.9, 法国 / 中国台湾, 蔡明亮 / 杨璧莹, 116 分钟,11321, 蔡明亮, 剧情 / 爱情, 你那边几点？ / What Time Is It There? / 7 to 400 Blows, 英语 / 法语 / 汉语普通话 / 台语, tt0269746, 2001-09-26,你那边几点, 李康生 / 陈湘琪 / 陆弈静 / 苗天 / 叶童 / 让-皮埃尔·利奥德 / Chao-jung Chen / Guei Tsai / Arthur Nauzyciel / David Ganansia
7.5, 中国台湾, 杨雅喆, 106分钟,156922, 杨雅喆, 剧情 / 爱情 / 同性, 女朋友。男朋友 / 女朋友＊男朋友 / 女朋友男朋友 / Girlfriend Boyfriend / Gf*Bf / GF&BF, 闽南语 / 汉语普通话, tt2319760, 2012-08-03(中国台湾),女朋友，男朋友, 桂纶镁 / 张孝全 / 凤小岳 / 张书豪 / 仇泠 / 房思瑜 / 唐国忠 / 关勇 / 秋乃华 / 丁宁 / 夏若妍 / 雷婕熙
6.5, 中国台湾, 黄建铭 / 洪子烜, 105分钟,2261, 洪子烜, 剧情 / 动作 / 犯罪, The Scoundrels, 汉语普通话 / 粤语, tt9081774, 2018-10-26(中国台湾),捍战, 吴慷仁 / 林哲熹 / 李千那 / 谢欣颖 / 李铭忠 / 高捷 / 施名帅
7.2, 中国台湾 / 法国, 朱天文, 119分钟 / 101分钟(DVD),25653, 侯孝贤, 剧情 / 爱情, 千禧曼波之蔷薇的名字 / Millennium Mambo, 汉语普通话 / 日语 / 英语, tt0283283, 2001-11-17(中国台湾) / 2001-05-19(戛纳电影节),千禧曼波, 舒淇 / 高捷 / 段钧豪 / 竹內淳 / 竹內康 / 钮承泽 / 陈顗亘 / 徐慧霓 / 彭康育
7.0, 中国台湾, 徐进良 / 朱永崑,,12088, 徐进良, 剧情 / 喜剧 / 爱情 / 历史, 新梁山伯与祝英台, 汉语普通话,,,少年梁祝, 梁小冰 / 罗志祥 / 陈嘉辉 / 江祖平 / 欧弟 / 蔡君茹 / 吴孟达 / 沈海蓉 / 刘瑞琪 / 李璇
8.7, 中国台湾, 黄建铭 / 王卉竺,,14048, 萧力修, 剧情, Wake Up, 汉语普通话, tt4663630,,麻醉风暴, 许玮甯 / 吴慷仁 / 黄健玮 / 黄仲昆 / 许时豪 / 王自强 / 谢盈萱 / 卜国耕 / 王淮仲 / 叶星辰 / 周心瑜
7.1, 中国台湾, 朱天文, 91分钟,3072, 侯孝贤, 剧情, Daughter of the Nile, 汉语普通话, tt0093633, 1987-08-22(中国台湾) / 2017-09-23(中国台湾重映),尼罗河女儿, 杨林 / 杨帆 / 高捷 / 李天禄 / 崔福生 / 辛树芬 / 吴念真 Nien-Jen Wu
6.1, 中国台湾, 黄荣昇, 95分钟,861, 黄荣昇, 剧情 / 爱情 / 悬疑, Xiao Mei, 汉语普通话 / 粤语, tt7996560, 2018-12-01(中国台湾) / 2018-02-17(柏林电影节),小美, 陈以文 / 饶星星 / 刘冠廷 / 纳豆 / 巫建和 / 尹馨 / 张少怀 / 吴慷仁 / 柯淑勤
6.0, 中国台湾, 琼瑶 / 周旭江, 101分钟,111, 李行, 剧情, Four Loves, 汉语普通话, tt1575711, 1965-08-24(中国台湾),婉君表妹, 唐宝云 / 江明 / 王戎 / 谢玲玲 / 夏玲玲 / 巴戈 / 潘潔漪 / 傅碧辉 / 丁强 / 丁佩 / 馮海 / 魏苏 / 嚴禮 / 余嘉 / 李家志 / 吳可 / 林維君 / 蔡慧华 / 林璣
5.5, 中国台湾, 杨碧凤 / 温郁芳,,24836, 张博昱, 喜剧, Miss No Good, 汉语普通话, tt1313168,,不良笑花, 潘玮柏 / 杨丞琳 / 藤冈靛 / 陈妍希
