评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
6.2, 韩国, 이한빈 / 吴城垈, 85分钟,16737, 赵庆勋, 动画 / 恐怖, 整容液(港/台) / Beauty Water, 韩语, tt12354886, 2020-09-02(韩国),奇奇怪怪：整容液, 문남숙 / 장민혁 / 조현정 / 김보영 / 崔乘训 / 김소형 / 강시현 / 朴圣光 / 정유정 / 황창영
6.5, 韩国, 孙元平, 102分钟,27068, 孙元平, 悬疑 / 惊悚, 恶‧回家(港) / 诡妹(台) / 女儿 / Daughter / Intruder / 도터, 韩语, tt12491064, 2020-06-04(韩国),侵入者, 宋智孝 / 金武烈 / 艺秀晶 / 许俊硕 / 李海云 / 崔英佑 / 李济延 / 崔尚熏 / 苏熙静 / 张宋允 / 徐贤宇
7.2, 韩国, 韩在英, 99分钟,5476, 韩在英, 剧情 / 同性, Take Me Home, 韩语, tt13925964, 2020-10-28(韩国),常春藤, 禹美华 / 李妍 / 金宝敏
7.1, 韩国, 洪成恩, 91分钟,3571, 洪成恩, 剧情, Aloners, 韩语, tt14598598, 2021-05-19(韩国),独自生活的人们, Jeong Da-eun / Seo Hyun-woo / 朴政学 / 孔升妍
5.8, 韩国, 杨宇硕, 132分钟,18331, 杨宇硕, 惊悚, 铁雨2：首脑会谈 / 钢铁雨2：核战危机(港) / 钢铁雨：深潜行动(台) / 铁雨2：顶上会谈 / 铁雨2 / 钢铁雨2 / 강철비2-정상회담 / Steel Rain 2, 韩语 / 汉语普通话 / 日语 / 英语 / 俄语, tt10516176, 2020-07-29(韩国),铁雨2：首脑峰会, 郑雨盛 / 郭度沅 / 柳演锡 / 安古斯·麦克菲登 / 徐东甲 / 李南希 / 金重熙 / 柳秀荣 / 李泰亨 / 申正根 / 廉晶雅 / 金容琳 / 金明坤 / 张光 / 李在勇 / 安内相 / 孙钟学 / 白龙 / 寇比·法兰奇 / 斯科特·洛威尔 / 克里斯汀·达尔顿 / 金胜泰 / 郑镇珏 / 刘成柱 / 金重基 / 申秀妍 / 沈熙燮
6.5, 韩国,, 119分钟,2520, 李揆万, 剧情 / 犯罪, 无间对决(台) / The Policeman's Lineage, 韩语, tt16676718, 2022-01-05(韩国),警官之血, 赵震雄 / 崔宇植 / 朴熙顺 / 权律 / 朴明勋 / 李乌 / 洪基俊 / 李铉旭 / 白贤镇 / 朴庭凡
6.3, 韩国, 延尚昊, 109分钟,6215, 金勇完, 悬疑 / 恐怖 / 奇幻,, 韩语, tt13086164, 2021-07-28(韩国),谤法：在此矣, 严志媛 / 吴允儿 / 李雪
6.8, 韩国, 洪常秀, 66分钟,4237, 洪常秀, 剧情, Introduction / 引言(台), 韩语, tt14035108, 2021-03-01(柏林电影节) / 2021-05-27(韩国),引见, 申锡镐 / 朴美姬 / 金英浩 / 艺智苑 / 奇周峯 / 徐永嬅 / 金敏喜 / 赵允熙 / 河成国
6.2, 韩国, 毕感成, 94分钟,5629, 毕感成, 动作 / 惊悚,, 韩语, tt14941222, 2021-08-18(韩国),人质, 黄政民 / 李浩贞 / 金宰范 / 刘庆秀 / 朴圣雄
5.5, 韩国,, 85分钟,3752, 심덕근, 恐怖,, 韩语, tt14922584, 2021-08-25(韩国),鬼门, 金康宇 / 金素慧 / 洪镇基
7.2, 韩国, 李宗弼, 110分钟,8013, 李宗弼, 剧情, 菜英文没在怕(台) / Samjin Group English TOEIC Class / Samjin Company English Class, 韩语, tt13210996, 2020-10-21(韩国),三振集团英语托业班, 高雅星 / 李絮 / 朴惠秀 / 赵贤哲 / 金钟秀 / 金元海 / 裴海善 / 大卫·麦金尼斯 / 白贤镇 / 李成旭 / 崔秀林 / 李周英 / 泰勒
6.9, 韩国,, 102分钟,6113, 李桂碧, 爱情, 酸酸甜甜爱上你 / Sweet & Sour, 韩语, tt14599938, 2021-06-04(韩国网络),酸酸甜甜, 张基龙 / 蔡秀彬 / 郑秀晶 / 赵汉哲 / 李宇济 / 柳善 / 李璟荣 / 朴哲民 / 郑熙泰 / 吴素贤 / 金美京 / 安吉江
6.8, 韩国, 朴勋政, 132分钟,5649, 朴勋政, 剧情, 暗夜天堂 / 天堂长夜 / Night in Paradise, 韩语, tt12792418, 2020-09-02(威尼斯电影节) / 2021-04-09(韩国网络),乐园之夜, 严泰九 / 全余赟 / 车胜元 / 赵东仁 / 朴浩山 / 玄奉植 / 车顺裴 / 孙秉浩 / 李文植 / 安世彬 / 张荣男 / 格雷格·秦 / 诺希尔·达拉尔 / 安吉拉·林 / 马修·杨·金 / 基内·扬
6.8, 韩国, 朴相铉, 110分钟,10207, 朴相铉, 剧情, 洁白 / 翻供(台) / Innocence, 韩语, tt12515958, 2020-06-10(韩国),清白, 申惠善 / 裴宗玉 / 许峻豪 / 洪京 / 太恒浩 / 高昌锡 / 朴哲民 / 车顺裴 / 郑仁谦 / 韩利进 / 崔宏一 / 金重熙 / 夏成光 / 韩哲宇 / 郭子亨 / 郑爱华 / 李智友 / 申文成 / 金英在 / 金锡勋 / 朴成根 / 裴海善 / 朴振英
6.2, 韩国,, 138分钟,3348, 郭在容, 剧情 / 爱情, Happy New Year / A Year-End Medley, 韩语, tt16755970, 2021-12-29(韩国),新年快乐, 韩智敏 / 李栋旭 / 姜河那 / 林允儿 / 元真儿 / 徐康俊 / 李光洙 / 金英光 / 高圣熙 / 李阵郁 / 李奎炯 / 赵俊英 / 郑镇荣 / 元之安
6.7, 韩国, 闵志 / 蔡汝俊 / 李世云(原作), 108分钟,3343, 蔡汝俊, 动作,, 韩语, tt14965934, 2021-06-17(韩国网络),鲨鱼：起点, 金玟锡 / 魏嘏隽 / 郑元昌 / 李在均 / 裴明真 / 李正贤 / 车烨 / 申敏宰 / 李铉旭 / 李恩在
5.8, 韩国, 权吾胜, 103分钟,2833, 权吾胜, 悬疑 / 惊悚, Midnight, 韩语, tt14757872, 2021-06-30(韩国),午夜, 秦基周 / 魏嘏隽 / 朴勋 / 吉海妍 / 金惠奫
6.5, 韩国, 金允心, 101分钟,6398, 李澈河, 喜剧, 特务打爆机(港) / 特务搞飞机(台) / OK! 夫人 / Okay! Madam / Ok! Madam, 韩语, tt12572792, 2020-08-12(韩国),OK老板娘, 严正化 / 朴圣雄 / 李相仑 / 裴正南 / 李先彬
6.6, 韩国, 郑佳映, 95分钟,1650, 郑佳映, 爱情," 配对游戏(台) / 宇利，子英 / 陷入爱情的罗曼史 / 우리, 자영 / Nothing Serious", 韩语, tt16303830, 2021-11-24(韩国),恋爱缺席的罗曼史, 孙锡久 / 全钟瑞 / 孔敏晶 / 金光奎 / 裴侑蓝 / 金瑟祺 / 金在华
6.5, 韩国, 徐宥敏, 99分钟,4036, 徐宥敏, 悬疑 / 惊悚, 回忆(台) / 明日的记忆 / Recalled, 韩语, tt14527836, 2021-04-29(中国台湾) / 2021-04-21(韩国),明天的记忆, 徐睿知 / 金康宇 / 朴相旭 / 廉惠兰 / 裴侑蓝 / 金嫝勋
