评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
7.8, 中国香港, 洪金宝 / 黄炳耀, 108 分钟,36300, 洪金宝, 喜剧 / 动作 / 犯罪, Winners and Sinners / Five Lucky Stars, 粤语, tt0086605, 1983-07-07,奇谋妙计五福星, 洪金宝 / 吴耀汉 / 冯淬帆 / 岑建勋 / 秦祥林 / 钟楚红 / 成龙 / 叶童 / 林正英 / 夏文汐 / 太保 / 元彪 / 李赛凤 / 午马
5.3, 中国香港 / 马来西亚, 李勇昌 / 曾莹莹, 92分鐘,1375, 李勇昌, 惊悚 / 恐怖, Walk With Me, 粤语, tt11067442, 2019-08-22(中国香港),双魂, 卫诗雅 / 林德信 / 吴耀汉 / 戚玉武 / 吴浣仪 / 关宝慧 / 吴嘉龙 / 秦顺薏 / 庄雪梅 / 朱健美 / 陈芷琳 / 高志森 / 乔宝宝 / 张启乐
6.0, 中国大陆 / 中国香港, 李敏 / 李昇 / 邱礼涛, 99分钟,232906, 邱礼涛, 剧情 / 动作 / 悬疑 / 犯罪,, 汉语普通话 / 粤语, tt8239806, 2019-07-05(中国大陆) / 2019-07-16(中国香港),扫毒2天地对决, 刘德华 / 古天乐 / 苗侨伟 / 林嘉欣 / 周秀娜 / 应采儿 / 陈家乐 / 卫诗雅 / 郑则仕 / 张国强 / 陈佩诗 / 狼森 / 欧阳靖 / 恭硕良 / 林家栋 / 李赏 / 张竣杰 / 李灿森 / 谭小环
9.4, 中国香港, 罗尘,,23347, 蓝凯 / 胡志堂, 纪录片, 凤凰大视野 非典十年祭, 汉语普通话, tt11654262,,非典十年祭, 陈晓楠 / 闾丘露薇 / 何建民 / 毕淑敏
7.4, 中国大陆 / 中国香港, 黄子桓, 108分钟,239106, 叶伟信, 动作 / 传记 / 历史, 叶问2 / Ip Man 2 / Yip Man 2, 粤语 / 汉语普通话 / 英语, tt1386932, 2010-04-27(中国大陆),叶问2：宗师传奇, 甄子丹 / 洪金宝 / 熊黛林 / 黄晓明 / 樊少皇 / 郑则仕 / 敖嘉年 / 杜宇航 / 达伦·萨赫拉维 / 释小龙 / 任达华 / 郑家星 / 陆梅芳
8.7, 中国香港, 李力持 / 谷德昭 / 陈文强, 102 分钟,952792, 李力持, 喜剧 / 爱情 / 古装, Flirting Scholar, 粤语, tt0108289, 1993-07-01(中国香港),唐伯虎点秋香, 周星驰 / 巩俐 / 陈百祥 / 郑佩佩 / 朱咪咪 / 梁家仁 / 苑琼丹 / 梁荣忠 / 黄一山 / 黄霑 / 吴镇宇 / 刘家辉 / 蓝洁瑛 / 谷德昭 / 陈辉虹 / 李健仁 / 宣萱 / 温翠苹
8.2, 日本,, 43分钟,1418, 日下武史, 纪录片 / 短片,, 日语 / 粤语,, 1991,香港女星图鉴, 周海媚 / 蔡少芬 / 王祖贤 / 关之琳 / 李丽珍 / 陈加玲 / 叶蕴仪 / 郑裕玲 / 叶子楣 / 王小凤 / 惠英红 / 梅艳芳 / 张艾嘉 / 刘嘉玲 / 杨宝玲 / 符钰晶 / 吕少玲 / 蔡澜 / 周星驰
8.5, 中国香港, 王家卫, 94分钟,450153, 王家卫, 剧情 / 爱情 / 犯罪, Days of Being Wild, 粤语 / 汉语普通话 / 英语 / 菲律宾语 / 上海话, tt0101258, 2018-06-25(中国大陆) / 1990-12-15(中国香港),阿飞正传, 张国荣 / 张曼玉 / 刘嘉玲 / 刘德华 / 张学友 / 潘迪华 / 梁朝伟
8.6, 中国香港 / 中国大陆, 王晶, 108分钟,573093, 王晶, 剧情 / 喜剧 / 古装, 九品芝麻官之白面包青天 / Hail the Judge, 粤语, tt0110201, 1994-03-31(中国香港),九品芝麻官, 周星驰 / 吴孟达 / 张敏 / 徐锦江 / 钟丽缇 / 蔡少芬 / 吴启华 / 邹兆龙 / 梁荣忠 / 黄一飞 / 苑琼丹 / 刘洵 / 黄一山
4.7, 中国大陆 / 中国香港, 王晶 / 吕冠南 / 陈健鸿, 97分钟,26589, 谷垣健治, 喜剧 / 动作, Enter the Fat Dragon, 粤语 / 汉语普通话 / 日语, tt7335600, 2020-02-01(中国大陆网络) / 2020-01-23(中国香港),肥龙过江, 甄子丹 / 毛舜筠 / 周励淇 / 王晶 / 林秋楠 / 张继聪 / 竹中直人 / 丞威 / 渡边哲 / 王祖蓝 / 詹瑞文 / 陈友 / 伍允龙 / 林晓峰 / 周俊伟 / 林盛斌 / 泰臣 / 叶山豪 / 严华 / 喻亢 / 冯勉恒
