评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
6.7, 中国香港, 司徒卓汉 / 黄百鸣, 99分钟,3945, 徐克, 剧情 / 喜剧, 夜来香 / All the Wrong Clues, 粤语, tt0082485, 1981-07-23,鬼马智多星, 林子祥 / 麦嘉 / 泰迪·罗宾 / 姚炜 / 曹达华 / 岑建勋 / 曾志伟
8.6, 中国台湾 / 中国大陆 / 美国 / 中国香港, 王蕙玲 / 詹姆斯·夏慕斯 / 张爱玲, 158分钟 / 145分钟(中国大陆),657326, 李安, 剧情 / 爱情 / 情色," 色|戒 / 色·戒 / 色戒 / Lust, Caution", 汉语普通话 / 上海话 / 英语 / 粤语 / 日语 / 印地语, tt0808357, 2007-11-01(中国大陆) / 2007-09-24(中国台湾) / 2007-09-26(中国香港) / 2007-08-30(威尼斯电影节) / 2007-10-26(美国),色，戒, 梁朝伟 / 汤唯 / 陈冲 / 王力宏 / 庹宗华 / 朱芷莹 / 高英轩 / 柯宇纶 / 阮德锵 / 钱嘉乐 / 苏岩 / 何赛飞 / 宋茹惠 / 樊光耀 / 卢燕 / 刘洁 / 余娅 / 王琳 / 王侃 / 竹下明子 / 阿努潘·凯尔
8.4, 中国香港, 罗佩清,,53688, 叶镇辉, 剧情 / 悬疑 / 奇幻, Golden Building / Barrack O'Karma, 粤语, tt10280048,,金宵大厦, 陈山聪 / 李施嬅 / 张曦雯 / 谭凯琪 / 林子善 / 黄祥兴 / 邓佩仪 / 高海宁 / 陆永 / 张彦博 / 马贯东 / 郑耀轩 / 黄子雄 / 赵希洛 / 欧阳巧莹 / 卫志豪 / 阮儿 / 陈嘉辉 / 尹诗沛 / 鲁振顺 / 李丽丽 / 叶凯茵 / 方绍聪 / 李家声 / 陈振华 / 何启南 / 黄雪儿 / 梁茵 / 黄文意 / 罗泳娴 / 吴嘉仪 / 范文雅 / 萧凯欣 / 杨家宝 / 林夏薇 / 梁雯蔚
8.1, 中国香港, 刘镇伟, 82分钟,198896, 刘镇伟, 喜剧 / 恐怖 / 奇幻, 整鬼专家 / Out of the Dark, 粤语 / 福建话, tt0113356, 1995-07-06,回魂夜, 周星驰 / 莫文蔚 / 梁家仁 / 黄一飞 / 李力持 / 卢雄 / 张莽 / 谭淑梅 / 黄智贤 / 周志辉 / 侯焕玲
7.3, 中国香港, 张志成 / 陈文强 / 陈德森 / 张丽玲 / 秦天南, 107 分钟 / 103分钟(美国),14228, 黄志强, 剧情 / 动作 / 犯罪, 终级警网 / Crime Story, 粤语, tt0108656, 1993-06-24(中国香港),重案组, 成龙 / 郑则仕 / 伍咏薇 / 柯受良 / 潘玲玲 / 卢惠光 / 欧阳佩珊 / 罗家英
7.3, 中国香港, 萧龙 / 吴思远 / 蔡继光, 98分钟 / 90分钟(日本),20875, 袁和平, 喜剧 / 动作, Snake-shaped hand / Snake in the Eagle's Shadow, 粤语, tt0078252, 1978-03-01,蛇形刁手, 成龙 / 袁小田 / 黄正利 / 石天 / 陈龙 / 赵志凌 / 徐虾
6.8, 中国大陆 / 中国香港, 徐克 / 何冀平 / 朱雅欐, 122分钟,279583, 徐克, 剧情 / 动作 / 武侠 / 古装, Flying Swords of Dragon Gate, 汉语普通话, tt1686784, 2011-12-15(中国大陆),龙门飞甲, 李连杰 / 周迅 / 陈坤 / 李宇春 / 桂纶镁 / 范晓萱 / 樊少皇 / 杜奕衡 / 刘家辉 / 张馨予 / 盛鉴 / 薛剑 / 王双宝 / 韩飞行 / 李炳渊 / 庄杰 / 吴迪 / 李军如 / 李思博 / 翟钢 / 吕德亮 / 戴明 / 周大庆 / 安琪儿 / 高杰 / 钢特木尔 / 张秋风 / 张东 / 白斯古楞 / 石占杰 / 石凯 / 卫博 / 沙学周 / 肖瑞 / 吴飞 / 张兆玉 / 张成林 / 吴正林
8.4, 中国香港, 黄鹰 / 司徒卓汉 / 黄炳耀, 96 分钟,74148, 刘观伟, 喜剧 / 动作 / 奇幻, 暂时停止呼吸(台) / 霊幻道士(日) / Mr. Vampire, 粤语, tt0089371, 1985-11-07,僵尸先生, 林正英 / 许冠英 / 钱小豪 / 李赛凤 / 楼南光 / 王小凤 / 黄哈 / 元华 / 陈友
6.1, 中国大陆 / 中国香港, 张家鲁 / 徐克 / 陈国富, 132分钟,255818, 徐克, 动作 / 悬疑 / 奇幻 / 武侠 / 古装,, 汉语普通话, tt6869538, 2018-07-27(中国大陆),狄仁杰之四大天王, 赵又廷 / 冯绍峰 / 林更新 / 阮经天 / 马思纯 / 刘嘉玲 / 盛鉴 / 杨一威 / 唐古特·宝日夫 / 张傲月 / 孙蛟龙 / 汪汐潮 / 铁男 / 李炳雷 / 许明虎
5.2, 中国香港, 叶曦, 114分钟,1547, 叶曦, 爱情, 初恋日记：贱男蜜扰 / To Love Or Not To Love, 粤语 / 汉语普通话, tt7249784, 2017-09-15(中国大陆) / 2017-03-02(中国香港),初恋日记, 王敏奕 / 马志威 / 符龙飞 / 林雪 / 罗家英 / 苑琼丹 / 黄一山 / 麦家琪 / 利健森 / 杜小乔 / 贝依霖 / 魏文青 / 莫美妮
