评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
8.5, 中国台湾, 张耀升 / 钟孟宏, 155分钟,287148, 钟孟宏, 剧情 / 家庭 / 犯罪, A Sun, 汉语普通话 / 闽南语, tt10883506, 2019-11-01(中国台湾) / 2019-09-06(多伦多电影节),阳光普照, 陈以文 / 柯淑勤 / 巫建和 / 刘冠廷 / 许光汉 / 尹馨 / 温贞菱 / 吴岱凌 / 林志儒 / 龙劭华 / 胡鸿达 / 施名帅 / 张立东 / 张少怀 / 黄信尧 / 张翰 / 范姜泰基 / 张耀升 / 王可元 / 陈冠斌 / 林佑骏 / 林书涵 / 郑楠钟 / 贺龙 / 冯培伦 / 邓安宁 / 廖慧珍
8.4, 中国台湾, 林珮瑜,,29711, 蔡宓洁, 爱情 / 同性, History2, 汉语普通话, tt8481226,,越界, 卢彦泽 / 范少勋 / 杨孟霖 / 施柏宇 / 谢毅宏
7.2, 中国台湾, 林若晞,,3491, 许富翔, 剧情 / 爱情, 遗失的二分之一 / The Missing Half / Finding The Order Half, 汉语普通话,,,遗失的1 2, 黄姵嘉 / 陈玺安 / 王家梁 / 林哲熹 / 韩笙笙
8.4, 中国台湾, 朱天文, 100分钟,38874, 侯孝贤, 剧情, The Boys From Fengkuei / All the Youthful Days, 汉语普通话 / 闽南语, tt0085533, 1983(中国台湾) / 1990-07-21(日本),风柜来的人, 钮承泽 / 张世 / 庹宗华 / 林秀玲 / 杨丽音 / 张纯芳 / 陈博正
9.2, 中国台湾, 简奇峰 / 林欣慧,,685205, 黄天仁, 爱情 / 悬疑 / 奇幻, Someday or One Day, 汉语普通话, tt11262762,,想见你, 柯佳嬿 / 许光汉 / 施柏宇 / 颜毓麟 / 严艺文 / 张翰 / 林鹤轩 / 郭文颐 / 陈匡荣 / 林子珊 / 张毓晨 / 曾之乔 / 徐诣帆 / 朱芷莹 / 简廷芮 / 梁洳瑄 / 马惠珍 / 连晨翔 / 邱胜翊 / 杨翘硕 / 安伟 / 黄鸿升 / 章广辰
6.7, 中国大陆 / 中国台湾, 陈玉勋 / 张耀升, 116分钟,88562, 陈玉勋, 剧情 / 喜剧 / 奇幻 / 古装, The Village of No Return, 汉语普通话, tt6461526, 2017-01-28(中国大陆),健忘村, 舒淇 / 王千源 / 张孝全 / 曾志伟 / 杨祐宁 / 张少怀 / 许杰辉 / 林美秀 / 顾宝明 / 陈竹昇 / 柯宇纶 / 黄健玮
8.6, 中国台湾, 徐誉庭 / 吕莳媛, 100分钟,351870, 徐誉庭 / 许智彦, 剧情 / 喜剧 / 同性, Dear EX, 汉语普通话, tt8443704, 2018-11-02(中国台湾) / 2018-04-22(乌迪内远东电影节),谁先爱上他的, 邱泽 / 谢盈萱 / 陈如山 / 黄圣球 / 周洺甫 / 梁正群 / 杨丽音 / 安哲 / 高隽雅 / 吴定谦 / 刘黛莹 / 钟欣凌 / 万芳 / 高爱伦
8.7, 中国台湾, 黄信尧, 102分钟,385702, 黄信尧, 剧情 / 喜剧, The Great Buddha+, 闽南语 / 汉语普通话, tt7010412, 2017-10-13(中国台湾) / 2017-06-29(台北电影节),大佛普拉斯, 庄益增 / 陈竹昇 / 戴立忍 / 张少怀 / 陈以文 / 纳豆 / 丁国琳 / 李永丰 / 朱约信 / 雷婕熙 / 林美秀 / 小亮哥 / 游安顺 / 梁赫群 / 脱线 / 郑宇彤 / 鲁文学
7.1, 中国台湾, 邵慧婷, 83分钟,54725, 蔡宓洁, 剧情 / 爱情, Hijra In Between, 汉语普通话, tt8523074, 2018-06-10(中国台湾),海吉拉, 许光汉 / 姚爱寗 / 林意箴
7.6, 中国台湾, 钟孟宏, 111分钟,19586, 钟孟宏, 剧情 / 喜剧 / 犯罪 / 冒险, Godspeed, 汉语普通话 / 闽南语 / 粤语 / 泰语, tt5952306, 2016-11-18(中国台湾) / 2016-09-09(多伦多电影节),一路顺风, 许冠文 / 纳豆 / 戴立忍 / 吴中天 / 庹宗华 / 陈以文 / 梁赫群 / 黄健玮 / 林美秀 / 陈玉勋 / 庄益增 / 金士杰 / 维他亚·潘斯林加姆
7.3, 中国台湾, 蔡坤霖 / 张荣吉, 117分钟,1177, 张荣吉, 剧情 / 运动, We Are Champions, 汉语普通话, tt10869364, 2019-08-23(中国台湾),下半场, 范少勋 / 朱轩洋 / 吴大维 / 段钧豪 / 庹宗华 / 陆弈静 / 谢琼煖
8.5, 中国台湾, 杨雅喆, 112分钟,345392, 杨雅喆, 剧情 / 悬疑," 修罗花 / The Bold, the Corrupt, and the Beautiful", 汉语普通话 / 粤语 / 闽南语 / 日语, tt7479784, 2017-11-24(中国台湾) / 2017-10-15(釜山电影节),血观音, 惠英红 / 吴可熙 / 文淇 / 柯佳嬿 / 陈莎莉 / 丁强 / 刘尚谦 / 林志儒 / 王月 / 温贞菱 / 王伟六 / 陈珮骐 / 尹昭德 / 大久保麻梨子 / 巫书维 / 颜毓麟 / 刘越逖 / 傅子纯 / 陈武康 / 施名帅 / 秀兰玛雅 / 应蔚民 / 李铨
