评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
8.5, 中国台湾, 赖声川, 107分钟,51497, 赖声川, 剧情 / 喜剧 / 爱情, 暗恋桃花源 电影版 / The Peach Blossom Land / Secret Love with the Peach Blossom Land, 汉语普通话, tt0103699, 1992-09-10(中国台湾),暗恋桃花源, 林青霞 / 李立群 / 金士杰 / 丁乃筝 / 顾宝明 / 焦阳
6.3, 中国台湾, 钟孟宏, 111分钟,3200, 钟孟宏, 剧情 / 惊悚, Soul, 汉语普通话, tt3091254, 2013-08-30(中国台湾),失魂, 张孝全 / 王羽 / 戴立忍 / 陈湘琪 / 金士杰 / 庹宗华 / 梁赫群 / 纳豆
7.1, 中国台湾, 侯孝贤, 90分钟,1787, 侯孝贤, 剧情," Green,Green Grass of Home", 汉语普通话, tt0086631, 1982-11-27(中国台湾),在那河畔青草青, 钟镇涛 / 江玲 / 崔福生 / 周品君 / 陈美凤 / 郑传文
5.2, 中国台湾, 洪子鹏 / 黄唯哲, 96分鐘,187, 洪子鹏, 剧情, Possession, 汉语普通话, tt10919068, 2018-12-02(中国台湾),灵占, 黄腾浩 / 王净 / 蔡淑臻 / 刘明勋 / 吴震亚 / 吴昆达 / 許元康 / 何夏
5.3, 美国 / 法国 / 英国 / 中国香港 / 中国台湾 / 马耳他 / 西班牙 / 加拿大, 比尔·科拉奇 / 亚当·库珀 / 迈克尔·莱斯利, 116分钟,101069, 贾斯汀·库泽尔, 动作 / 科幻 / 历史 / 冒险, 刺客教条(港/台), 英语 / 西班牙语 / 阿拉伯语, tt2094766, 2017-02-24(中国大陆) / 2016-12-21(美国),刺客信条, 迈克尔·法斯宾德 / 玛丽昂·歌迪亚 / 杰瑞米·艾恩斯 / 布莱丹·格里森 / 夏洛特·兰普林 / 迈克尔·肯尼斯·威廉姆斯 / 德尼·梅诺谢 / 亚里安妮·拉贝德 / 赫立德·阿卜杜拉 / 埃茜·戴维斯 / 马蒂亚斯·瓦雷拉 / 卡勒姆·特纳 / 卡洛斯·巴登 / 哈维尔·古铁雷斯 / 霍威克·库区科利安
7.1, 中国香港 / 中国台湾, 杨凡, 97分钟,4423, 杨凡, 剧情 / 爱情 / 同性, Immortal Story, 汉语普通话, tt0091260, 1986-11-07,海上花, 张艾嘉 / 姚炜 / 鹤见辰吾 / 秦沛 / 樊少皇 / 吴大维 / 金彪 / 连晋 / 黄家驹 / 甄妮 / 杨凡
8.6, 中国台湾, 陈洁莹 / 黄宣颖 / 萧译玮,,5312, 高炳权 / 曾英庭, 剧情 / 爱情, Yong-Jiu Grocery Store, 汉语普通话, tt11127098,,用九柑仔店, 张轩睿 / 莫允雯 / 王柏杰 / 林哲熹 / 卢以恩 / 苏品杰 / 陈鼎中 / 张克帆 / 薛提萦 / 吴碧莲 / 班铁翔 / 吴朋奉 / 蔡明修 / 林义雄 / 王满娇 / 姚以缇 / 王净 / 黄西田 / 龙劭华 / 蔡昌宪 / 钟政均 / 张文绮 / 刘桂莲
7.7, 中国大陆 / 中国台湾, 杨南倩 / 秦海璐 / 席然 / 邓勇星 / 葛文喆, 89分钟,21202, 邓勇星, 剧情, Return Ticket, 汉语普通话 / 上海话, tt1733271, 2011-12-23(中国台湾),到阜阳六百里, 秦海璐 / 唐群 / 李彬彬 / 沈羿铨 / 周益伦
8.4, 中国台湾, 宋纮 / 王小棣, 116 分钟 / 147分钟,4516, 王童, 剧情, Banana Paradise, 汉语普通话, tt0490518, 1989-12-01,香蕉天堂, 钮承泽 / 李昆 / 曾庆瑜 / 张世 / 文英
5.0, 中国台湾, 陈敏郎, 92分钟,1827, 陈敏郎, 剧情 / 爱情 / 同性, My Soul is Made of Love / The Teacher, 汉语普通话, tt11070412, 2019-12-06(中国台湾) / 2019-11-21(金马影展),我的灵魂是爱做的, 邱志宇 / 张晋豪 / 何子华 / 张诗盈 / 薛士凌
6.2, 中国台湾, 王育麟 / 徐华谦 / 花柏容 / 陈慧玲 / 朱丽安娜·许, 97分钟,2603, 王育麟, 剧情 / 同性," Alifu, the Prince/ss", 汉语普通话, tt7491398, 2017-10-27(中国台湾) / 2017-10-26(东京电影节),阿莉芙, 舞炯恩·加以法利得 / 赵逸岚 / 吴朋奉 / 陈竹昇 / 郑人硕 / 胡德夫
6.3, 中国台湾, 齐锡麟,,57182, 林合隆, 喜剧 / 爱情, 我家公主 / Romantic Princess, 汉语普通话, tt2973902,,公主小妹, 张韶涵 / 吴尊 / 顾宝明 / 辰亦儒 / 胡宇威 / 卓文萱 / 夏靖庭
7.0, 中国台湾, 郑有杰 / 勒嘎·舒米, 99分钟,985, 郑有杰 / 勒嘎·舒米, 剧情 / 家庭, Wawa No Cidal, 汉语普通话, tt4801604, 2015-09-25(中国台湾) / 2015-07-04(台北电影节),太阳的孩子, 阿洛·卡力亭·巴奇辣 / 吴燕姿 / 林嘉均 / 许金财 / 徐诣帆
7.0, 中国大陆 / 中国台湾, 秋婷,,16957, 蔡晶盛 / 郑基成 / 黄伟明, 剧情 / 奇幻 / 古装,, 汉语普通话,,,天地传说之宝莲灯, 林志颖 / 于莉 / 郭晋安 / 沈傲君 / 徐锦江 / 陈明真
6.8, 法国 / 中国台湾 / 比利时 / 荷兰, 蔡明亮, 138分钟,1834, 蔡明亮, 剧情 / 喜剧, Face, 法语 / 汉语普通话 / 英语, tt1262420, 2009-10-02(中国台湾) / 2009-11-04(法国),脸, 李康生 / 莱蒂西娅·卡斯塔 / 让-皮埃尔·利奥德 / 芬妮·阿尔丹 / 陆弈静 / 杨贵媚
6.1, 中国台湾, 陈宏一 / 林宴如 / A.D Lin, 106分钟,49917, 陈宏一, 爱情 / 同性, 爱情糖果雨 / Candy Rain, 汉语普通话, tt1252557, 2008-03-18(中国香港电影节) / 2008-09-12(中国台湾),花吃了那女孩, 陈泱瑾 / 辛乐儿 / 张榕容 / 魏如萱 / 吴立琪 / 高伊玲 / 莫子仪 / 林嘉欣 / 王心凌 / 路嘉欣 / 许安安 / 陈绮贞
5.8, 中国台湾, 徐誉庭, 99分钟 / 106分钟(导演剪辑版),2827, 徐誉庭 / 许智彦, 剧情 / 爱情, I Missed You, 汉语普通话, tt14051714, 2021-02-10(中国台湾),我没有谈的那场恋爱, 吴慷仁 / 艾怡良 / 傅孟柏 / 邱泽 / 谢盈萱 / 汤毓绮 / 钟欣凌 / 张耀仁 / 林美秀 / 李英宏 / 陈如山 / 黄圣球 / 林暐恒
5.3, 中国台湾, 卢丰渊 / 廖柏茗, 107分钟,916, 卢丰渊, 剧情 / 悬疑 / 犯罪, Deep Evil, 汉语普通话, tt10240656, 2019-04-13(中国台湾) / 2019-05-03(中国台湾),缉魔, 庄凯勋 / 傅孟柏 / 邵雨薇 / 施名帅
8.1, 中国台湾, 胡金铨, 112分钟,16456, 胡金铨, 动作 / 冒险 / 武侠 / 古装, Dragon Gate Inn / Dragon Inn, 汉语普通话, tt0060635, 1967-10-21(中国台湾),龙门客栈, 上官灵凤 / 石隽 / 苗天 / 徐枫 / 韩英杰 / 田鹏
7.9, 中国台湾, 关展博 / 陈丽华 / 金庸,,25186, 赖水清, 剧情 / 武侠 / 古装, Heaven Sword and Dragon Sabre, 汉语普通话, tt0106181,,倚天屠龙记, 马景涛 / 叶童 / 周海媚 / 孙兴 / 萧大陆 / 潘仪君 / 陈孝萱
